po_no,vendor_code,plant_code,po_date,material,qty,rate,amount
PO-2024-00015,VEND-0046,PLNT-02,2024-10-05,Cold-Chain Haulage,1624,788.5,1280524.0
PO-2024-00016,VEND-0068,PLNT-04,2024-01-24,Corrugated Box,1221,230.45,281379.45
PO-2024-00016,VEND-0068,PLNT-04,2024-01-24,Corrugated Box,3230,379.31,1225171.3
PO-2024-00016,VEND-0068,PLNT-04,2024-01-24,Shrink Sleeve,2877,51.93,149402.61
PO-2024-00016,VEND-0068,PLNT-04,2024-01-24,Shrink Sleeve,85,475.19,40391.15
PO-2024-00017,VEND-0005,PLNT-05,2024-02-20,Secondary Freight,2050,96.41,197640.5
PO-2024-00018,VEND-0088,PLNT-10,2025-03-08,Secondary Freight,1637,703.29,1151285.73
PO-2024-00018,VEND-0088,PLNT-10,2025-03-08,Warehousing,4020,581.1,2336022.0
PO-2024-00018,VEND-0088,PLNT-10,2025-03-08,Secondary Freight,3100,128.02,396862.0
PO-2024-00018,VEND-0088,PLNT-10,2025-03-08,Warehousing,3906,486.17,1898980.02
PO-2024-00019,VEND-0105,PLNT-15,2025-04-08,Security Services,1956,578.49,1131526.44
PO-2024-00019,VEND-0105,PLNT-15,2025-04-08,IT AMC,1286,132.67,170613.62
PO-2024-00019,VEND-0105,PLNT-15,2025-04-08,IT AMC,1368,434.27,594081.36
PO-2024-00019,VEND-0105,PLNT-15,2025-04-08,IT AMC,867,215.45,186795.15
PO-2024-00020,VEND-0071,PLNT-01,2024-09-29,Secondary Freight,2197,619.68,1361436.96
PO-2024-00020,VEND-0071,PLNT-01,2024-09-29,Warehousing,1928,272.81,525977.68
PO-2024-00021,VEND-0006,PLNT-10,2025-05-09,Menthol Crystals,1675,485.61,813396.75
PO-2024-00021,VEND-0006,PLNT-10,2025-05-09,Edible Starch,4804,590.11,2834888.44
PO-2024-00021,VEND-0006,PLNT-10,2025-05-09,Edible Starch,4250,725.52,3083460.0
PO-2024-00021,VEND-0006,PLNT-10,2025-05-09,Glucose Syrup,2787,572.56,1595724.72
PO-2024-00022,VEND-0068,PLNT-07,2024-04-05,Shrink Sleeve,3007,775.76,2332710.32
PO-2024-00023,VEND-0069,PLNT-06,2025-05-29,Edible Starch,3128,83.37,260781.36
PO-2024-00024,VEND-0053,PLNT-12,2025-01-25,PET Bottle 500ml,888,537.56,477353.28
PO-2024-00024,VEND-0053,PLNT-12,2025-01-25,Wrapper Film,4014,706.1,2834285.4
PO-2024-00024,VEND-0053,PLNT-12,2025-01-25,Shrink Sleeve,4983,851.86,4244818.38
PO-2024-00024,VEND-0053,PLNT-12,2025-01-25,Wrapper Film,3985,234.02,932569.7
PO-2024-00025,VEND-0007,PLNT-10,2024-02-21,IT AMC,897,511.94,459210.18
PO-2024-00026,VEND-0076,PLNT-02,2025-01-01,Cold-Chain Haulage,4604,447.0,2057988.0
PO-2024-00026,VEND-0076,PLNT-02,2025-01-01,Warehousing,4006,542.84,2174617.04
PO-2024-00026,VEND-0076,PLNT-02,2025-01-01,Primary Freight,738,114.8,84722.4
PO-2024-00026,VEND-0076,PLNT-02,2025-01-01,Cold-Chain Haulage,4659,112.46,523951.14
PO-2024-00027,VEND-0026,PLNT-10,2024-12-21,Permitted Colour,3882,606.74,2355364.68
PO-2024-00027,VEND-0026,PLNT-10,2024-12-21,Citric Acid,3666,809.34,2967040.44
PO-2024-00027,VEND-0026,PLNT-10,2024-12-21,Cocoa Mass,1701,688.18,1170594.18
PO-2024-00027,VEND-0026,PLNT-10,2024-12-21,Citric Acid,3190,332.86,1061823.4
PO-2024-00028,VEND-0106,PLNT-14,2024-06-18,Mint Flavour,476,398.61,189738.36
PO-2024-00029,VEND-0001,PLNT-14,2024-03-10,Refined Sugar,4747,704.03,3342030.41
PO-2024-00029,VEND-0001,PLNT-14,2024-03-10,Menthol Crystals,4683,435.6,2039914.8
PO-2024-00029,VEND-0001,PLNT-14,2024-03-10,Glucose Syrup,742,888.08,658955.36
PO-2024-00030,VEND-0021,PLNT-15,2025-04-02,Refined Sugar,1391,576.27,801591.57
PO-2024-00031,VEND-0012,PLNT-15,2024-09-15,Primary Freight,2745,413.25,1134371.25
PO-2024-00031,VEND-0012,PLNT-15,2024-09-15,Primary Freight,110,744.26,81868.6
PO-2024-00031,VEND-0012,PLNT-15,2024-09-15,Warehousing,2184,417.02,910771.68
PO-2024-00032,VEND-0065,PLNT-01,2024-01-07,Glucose Syrup,3704,106.64,394994.56
PO-2024-00032,VEND-0065,PLNT-01,2024-01-07,Refined Sugar,3917,897.35,3514919.95
PO-2024-00032,VEND-0065,PLNT-01,2024-01-07,Refined Sugar,268,261.25,70015.0
PO-2024-00032,VEND-0065,PLNT-01,2024-01-07,Glucose Syrup,4402,754.51,3321353.02
PO-2024-00033,VEND-0008,PLNT-06,2025-06-23,Mono Carton,3268,88.67,289773.56
PO-2024-00034,VEND-0085,PLNT-01,2024-01-16,Wrapper Film,757,700.88,530566.16
PO-2024-00034,VEND-0085,PLNT-01,2024-01-16,Wrapper Film,4051,820.29,3322994.79
PO-2024-00035,VEND-0002,PLNT-07,2024-01-20,Citric Acid,305,548.49,167289.45
PO-2024-00036,VEND-0005,PLNT-04,2024-05-08,Secondary Freight,333,722.46,240579.18
PO-2024-00037,VEND-0090,PLNT-13,2025-02-20,Cardamom Oil,4198,43.81,183914.38
PO-2024-00037,VEND-0090,PLNT-13,2025-02-20,Mint Flavour,2308,119.43,275644.44
PO-2024-00037,VEND-0090,PLNT-13,2025-02-20,Permitted Colour,1048,458.04,480025.92
PO-2024-00037,VEND-0090,PLNT-13,2025-02-20,Citric Acid,2722,569.97,1551458.34
PO-2024-00038,VEND-0078,PLNT-09,2024-08-30,AMC-Machinery,312,249.52,77850.24
PO-2024-00038,VEND-0078,PLNT-09,2024-08-30,IT AMC,1005,641.23,644436.15
PO-2024-00038,VEND-0078,PLNT-09,2024-08-30,Consulting,2636,553.5,1459026.0
PO-2024-00039,VEND-0011,PLNT-14,2024-01-03,Warehousing,2321,162.43,377000.03
PO-2024-00039,VEND-0011,PLNT-14,2024-01-03,Cold-Chain Haulage,3562,89.82,319938.84
PO-2024-00039,VEND-0011,PLNT-14,2024-01-03,Warehousing,3862,882.18,3406979.16
PO-2024-00039,VEND-0011,PLNT-14,2024-01-03,Cold-Chain Haulage,958,417.04,399524.32
PO-2024-00040,VEND-0118,PLNT-05,2024-12-09,Primary Freight,768,851.85,654220.8
PO-2024-00040,VEND-0118,PLNT-05,2024-12-09,Warehousing,2729,523.59,1428877.11
PO-2024-00041,VEND-0066,PLNT-15,2024-05-19,Edible Starch,831,461.45,383464.95
PO-2024-00041,VEND-0066,PLNT-15,2024-05-19,Menthol Crystals,784,368.4,288825.6
PO-2024-00041,VEND-0066,PLNT-15,2024-05-19,Refined Sugar,4572,114.34,522762.48
PO-2024-00041,VEND-0066,PLNT-15,2024-05-19,Milk Solids,2397,127.61,305881.17
PO-2024-00042,VEND-0064,PLNT-15,2024-06-13,Permitted Colour,3074,574.09,1764752.66
PO-2024-00042,VEND-0064,PLNT-15,2024-06-13,Cocoa Mass,4858,372.63,1810236.54
PO-2024-00042,VEND-0064,PLNT-15,2024-06-13,Citric Acid,2088,202.12,422026.56
PO-2024-00042,VEND-0064,PLNT-15,2024-06-13,Cocoa Mass,4748,290.8,1380718.4
PO-2024-00043,VEND-0097,PLNT-06,2024-06-10,Cold-Chain Haulage,782,518.63,405568.66
PO-2024-00043,VEND-0097,PLNT-06,2024-06-10,Secondary Freight,1166,512.67,597773.22
PO-2024-00044,VEND-0081,PLNT-14,2024-12-15,IT AMC,1615,710.39,1147279.85
PO-2024-00044,VEND-0081,PLNT-14,2024-12-15,Housekeeping,1746,392.83,685881.18
PO-2024-00044,VEND-0081,PLNT-14,2024-12-15,AMC-Machinery,2768,566.4,1567795.2
PO-2024-00045,VEND-0105,PLNT-10,2024-10-03,Consulting,4437,829.58,3680846.46
PO-2024-00045,VEND-0105,PLNT-10,2024-10-03,Security Services,4258,472.09,2010159.22
PO-2024-00045,VEND-0105,PLNT-10,2024-10-03,Consulting,2542,721.48,1834002.16
PO-2024-00046,VEND-0099,PLNT-06,2025-03-28,Glucose Syrup,623,72.28,45030.44
PO-2024-00047,VEND-0086,PLNT-07,2024-01-31,IT AMC,1703,162.31,276413.93
PO-2024-00047,VEND-0086,PLNT-07,2024-01-31,Security Services,3667,670.48,2458650.16
PO-2024-00047,VEND-0086,PLNT-07,2024-01-31,Housekeeping,1603,21.1,33823.3
PO-2024-00048,VEND-0064,PLNT-09,2025-04-07,Mint Flavour,810,543.95,440599.5
PO-2024-00048,VEND-0064,PLNT-09,2025-04-07,Permitted Colour,3358,333.51,1119926.58
PO-2024-00048,VEND-0064,PLNT-09,2025-04-07,Citric Acid,642,862.92,553994.64
PO-2024-00049,VEND-0083,PLNT-15,2025-02-20,Menthol Crystals,3453,637.22,2200320.66
PO-2024-00049,VEND-0083,PLNT-15,2025-02-20,Edible Starch,3777,579.67,2189413.59
PO-2024-00049,VEND-0083,PLNT-15,2025-02-20,Glucose Syrup,1969,17.57,34595.33
PO-2024-00049,VEND-0083,PLNT-15,2025-02-20,Menthol Crystals,3391,476.38,1615404.58
PO-2024-00050,VEND-0019,PLNT-15,2025-01-19,Cardamom Oil,4605,503.92,2320551.6
PO-2024-00050,VEND-0019,PLNT-15,2025-01-19,Permitted Colour,4946,756.45,3741401.7
PO-2024-00050,VEND-0019,PLNT-15,2025-01-19,Cocoa Mass,4018,134.3,539617.4
PO-2024-00050,VEND-0019,PLNT-15,2025-01-19,Cardamom Oil,4952,407.84,2019623.68
PO-2024-00051,VEND-0097,PLNT-12,2024-02-13,Primary Freight,2197,426.64,937328.08
PO-2024-00052,VEND-0058,PLNT-14,2024-04-07,Housekeeping,271,215.7,58454.7
PO-2024-00052,VEND-0058,PLNT-14,2024-04-07,Security Services,1003,445.26,446595.78
PO-2024-00052,VEND-0058,PLNT-14,2024-04-07,IT AMC,1495,531.11,794009.45
PO-2024-00052,VEND-0058,PLNT-14,2024-04-07,Housekeeping,3630,83.03,301398.9
PO-2024-00053,VEND-0091,PLNT-01,2025-03-29,Mono Carton,2803,605.82,1698113.46
PO-2024-00053,VEND-0091,PLNT-01,2025-03-29,Wrapper Film,3263,688.51,2246608.13
PO-2024-00053,VEND-0091,PLNT-01,2025-03-29,PET Bottle 500ml,3088,335.01,1034510.88
PO-2024-00054,VEND-0058,PLNT-08,2025-04-20,Security Services,1688,693.62,1170830.56
PO-2024-00054,VEND-0058,PLNT-08,2025-04-20,IT AMC,2438,768.0,1872384.0
PO-2024-00054,VEND-0058,PLNT-08,2025-04-20,AMC-Machinery,1880,819.32,1540321.6
PO-2024-00054,VEND-0058,PLNT-08,2025-04-20,AMC-Machinery,2548,531.71,1354797.08
PO-2024-00055,VEND-0100,PLNT-09,2024-07-02,Permitted Colour,2680,101.64,272395.2
PO-2024-00055,VEND-0100,PLNT-09,2024-07-02,Cocoa Mass,158,826.27,130550.66
PO-2024-00055,VEND-0100,PLNT-09,2024-07-02,Permitted Colour,2022,570.7,1153955.4
PO-2024-00055,VEND-0100,PLNT-09,2024-07-02,Permitted Colour,1987,310.26,616486.62
PO-2024-00056,VEND-0080,PLNT-07,2024-05-19,AMC-Machinery,3469,282.32,979368.08
PO-2024-00056,VEND-0080,PLNT-07,2024-05-19,Security Services,2268,541.84,1228893.12
PO-2024-00056,VEND-0080,PLNT-07,2024-05-19,IT AMC,2854,256.0,730624.0
PO-2024-00056,VEND-0080,PLNT-07,2024-05-19,Security Services,86,635.11,54619.46
PO-2024-00057,VEND-0110,PLNT-07,2025-06-14,Mono Carton,2413,687.2,1658213.6
PO-2024-00057,VEND-0110,PLNT-07,2025-06-14,PET Bottle 500ml,3271,650.86,2128963.06
PO-2024-00057,VEND-0110,PLNT-07,2025-06-14,Shrink Sleeve,4521,867.18,3920520.78
PO-2024-00057,VEND-0110,PLNT-07,2025-06-14,PET Bottle 500ml,3135,781.19,2449030.65
PO-2024-00058,VEND-0053,PLNT-14,2024-09-30,Wrapper Film,3265,591.46,1931116.9
PO-2024-00058,VEND-0053,PLNT-14,2024-09-30,Shrink Sleeve,2787,873.08,2433273.96
PO-2024-00059,VEND-0117,PLNT-12,2024-06-04,Security Services,3762,317.07,1192817.34
PO-2024-00059,VEND-0117,PLNT-12,2024-06-04,Housekeeping,73,44.52,3249.96
PO-2024-00059,VEND-0117,PLNT-12,2024-06-04,IT AMC,663,701.39,465021.57
PO-2024-00059,VEND-0117,PLNT-12,2024-06-04,Housekeeping,4818,887.1,4274047.8
PO-2024-00060,VEND-0071,PLNT-14,2024-06-24,Primary Freight,416,83.66,34802.56
PO-2024-00060,VEND-0071,PLNT-14,2024-06-24,Warehousing,3978,503.47,2002803.66
PO-2024-00061,VEND-0114,PLNT-06,2025-05-14,Cocoa Mass,233,340.45,79324.85
PO-2024-00062,VEND-0004,PLNT-01,2024-02-29,Cocoa Mass,3580,698.16,2499412.8
PO-2024-00062,VEND-0004,PLNT-01,2024-02-29,Mint Flavour,90,667.57,60081.3
PO-2024-00062,VEND-0004,PLNT-01,2024-02-29,Cardamom Oil,4334,722.38,3130794.92
PO-2024-00062,VEND-0004,PLNT-01,2024-02-29,Citric Acid,1940,217.21,421387.4
PO-2024-00063,VEND-0005,PLNT-14,2024-05-06,Cold-Chain Haulage,4761,612.14,2914398.54
PO-2024-00064,VEND-0089,PLNT-11,2025-01-12,Housekeeping,1310,768.68,1006970.8
PO-2024-00064,VEND-0089,PLNT-11,2025-01-12,IT AMC,1226,318.44,390407.44
PO-2024-00064,VEND-0089,PLNT-11,2025-01-12,Security Services,3909,274.66,1073645.94
PO-2024-00065,VEND-0118,PLNT-02,2024-08-30,Warehousing,2770,175.33,485664.1
PO-2024-00065,VEND-0118,PLNT-02,2024-08-30,Primary Freight,4438,83.65,371238.7
PO-2024-00066,VEND-0027,PLNT-15,2025-01-22,Primary Freight,4993,272.35,1359843.55
PO-2024-00066,VEND-0027,PLNT-15,2025-01-22,Primary Freight,3887,130.04,505465.48
PO-2024-00066,VEND-0027,PLNT-15,2025-01-22,Cold-Chain Haulage,2069,520.79,1077514.51
PO-2024-00067,VEND-0029,PLNT-10,2025-01-13,Refined Sugar,1992,824.45,1642304.4
PO-2024-00068,VEND-0074,PLNT-09,2024-02-25,Secondary Freight,1786,23.76,42435.36
PO-2024-00069,VEND-0078,PLNT-12,2025-06-04,AMC-Machinery,2276,863.61,1965576.36
PO-2024-00069,VEND-0078,PLNT-12,2025-06-04,IT AMC,2130,678.75,1445737.5
PO-2024-00070,VEND-0098,PLNT-09,2024-06-02,Cocoa Mass,1213,298.21,361728.73
PO-2024-00070,VEND-0098,PLNT-09,2024-06-02,Permitted Colour,4459,480.35,2141880.65
PO-2024-00071,VEND-0031,PLNT-07,2024-04-26,Permitted Colour,173,223.3,38630.9
PO-2024-00071,VEND-0031,PLNT-07,2024-04-26,Cardamom Oil,1531,295.66,452655.46
PO-2024-00071,VEND-0031,PLNT-07,2024-04-26,Citric Acid,928,787.89,731161.92
PO-2024-00072,VEND-0001,PLNT-04,2024-10-30,Refined Sugar,3929,399.04,1567828.16
PO-2024-00072,VEND-0001,PLNT-04,2024-10-30,Milk Solids,4311,895.27,3859508.97
PO-2024-00072,VEND-0001,PLNT-04,2024-10-30,Edible Starch,2407,609.74,1467644.18
PO-2024-00073,VEND-0077,PLNT-03,2025-03-01,Cold-Chain Haulage,2832,98.89,280056.48
PO-2024-00074,VEND-0111,PLNT-05,2025-05-30,Cold-Chain Haulage,2193,39.97,87654.21
PO-2024-00074,VEND-0111,PLNT-05,2025-05-30,Secondary Freight,4693,99.88,468736.84
PO-2024-00074,VEND-0111,PLNT-05,2025-05-30,Warehousing,4800,44.64,214272.0
PO-2024-00074,VEND-0111,PLNT-05,2025-05-30,Warehousing,303,66.45,20134.35
PO-2024-00075,VEND-0001,PLNT-04,2024-05-22,Glucose Syrup,285,107.55,30651.75
PO-2024-00075,VEND-0001,PLNT-04,2024-05-22,Refined Sugar,302,350.98,105995.96
PO-2024-00076,VEND-0060,PLNT-09,2025-01-12,Refined Sugar,1545,359.56,555520.2
PO-2024-00076,VEND-0060,PLNT-09,2025-01-12,Milk Solids,1191,9.48,11290.68
PO-2024-00076,VEND-0060,PLNT-09,2025-01-12,Glucose Syrup,2112,107.97,228032.64
PO-2024-00076,VEND-0060,PLNT-09,2025-01-12,Menthol Crystals,2103,9.1,19137.3
PO-2024-00077,VEND-0058,PLNT-04,2024-05-28,IT AMC,2080,704.28,1464902.4
PO-2024-00077,VEND-0058,PLNT-04,2024-05-28,Housekeeping,2185,758.35,1656994.75
PO-2024-00078,VEND-0034,PLNT-10,2024-06-23,Menthol Crystals,2425,617.47,1497364.75
PO-2024-00078,VEND-0034,PLNT-10,2024-06-23,Edible Starch,1700,303.02,515134.0
PO-2024-00078,VEND-0034,PLNT-10,2024-06-23,Refined Sugar,1179,837.9,987884.1
PO-2024-00078,VEND-0034,PLNT-10,2024-06-23,Refined Sugar,2439,419.01,1021965.39
PO-2024-00079,VEND-0081,PLNT-11,2024-04-13,AMC-Machinery,1629,827.59,1348144.11
PO-2024-00080,VEND-0014,PLNT-14,2025-05-18,Permitted Colour,810,561.17,454547.7
PO-2024-00081,VEND-0087,PLNT-06,2024-02-17,Mint Flavour,3452,12.23,42217.96
PO-2024-00081,VEND-0087,PLNT-06,2024-02-17,Permitted Colour,4254,769.21,3272219.34
PO-2024-00081,VEND-0087,PLNT-06,2024-02-17,Cardamom Oil,2689,153.17,411874.13
PO-2024-00082,VEND-0118,PLNT-12,2025-06-21,Secondary Freight,1279,413.38,528713.02
PO-2024-00082,VEND-0118,PLNT-12,2025-06-21,Secondary Freight,4598,546.25,2511657.5
PO-2024-00083,VEND-0088,PLNT-04,2024-07-14,Secondary Freight,1626,720.9,1172183.4
PO-2024-00084,VEND-0092,PLNT-09,2024-04-26,Primary Freight,1622,77.67,125980.74
PO-2024-00084,VEND-0092,PLNT-09,2024-04-26,Cold-Chain Haulage,4316,317.06,1368430.96
PO-2024-00084,VEND-0092,PLNT-09,2024-04-26,Secondary Freight,197,24.98,4921.06
PO-2024-00085,VEND-0007,PLNT-10,2025-01-26,Consulting,3705,290.9,1077784.5
PO-2024-00085,VEND-0007,PLNT-10,2025-01-26,Security Services,664,537.7,357032.8
PO-2024-00086,VEND-0044,PLNT-07,2025-02-23,Mint Flavour,348,460.51,160257.48
PO-2024-00086,VEND-0044,PLNT-07,2025-02-23,Mint Flavour,906,892.66,808749.96
PO-2024-00086,VEND-0044,PLNT-07,2025-02-23,Cardamom Oil,1361,22.79,31017.19
PO-2024-00087,VEND-0054,PLNT-12,2024-11-08,Security Services,2884,793.3,2287877.2
PO-2024-00088,VEND-0034,PLNT-09,2024-03-30,Edible Starch,3621,538.35,1949365.35
PO-2024-00088,VEND-0034,PLNT-09,2024-03-30,Glucose Syrup,300,270.92,81276.0
PO-2024-00089,VEND-0071,PLNT-02,2025-03-27,Secondary Freight,2998,214.3,642471.4
PO-2024-00090,VEND-0015,PLNT-05,2024-05-16,Mint Flavour,2790,361.38,1008250.2
PO-2024-00091,VEND-0112,PLNT-03,2025-01-26,Warehousing,3804,885.21,3367338.84
PO-2024-00091,VEND-0112,PLNT-03,2025-01-26,Primary Freight,791,467.01,369404.91
PO-2024-00092,VEND-0052,PLNT-05,2024-01-19,IT AMC,2168,91.91,199260.88
PO-2024-00092,VEND-0052,PLNT-05,2024-01-19,IT AMC,2069,801.57,1658448.33
PO-2024-00092,VEND-0052,PLNT-05,2024-01-19,Security Services,3304,616.86,2038105.44
PO-2024-00093,VEND-0003,PLNT-04,2024-07-13,Corrugated Box,3425,774.21,2651669.25
PO-2024-00094,VEND-0027,PLNT-12,2024-05-11,Warehousing,4405,791.5,3486557.5
PO-2024-00094,VEND-0027,PLNT-12,2024-05-11,Secondary Freight,3680,346.12,1273721.6
PO-2024-00095,VEND-0092,PLNT-10,2025-02-04,Primary Freight,3925,516.38,2026791.5
PO-2024-00095,VEND-0092,PLNT-10,2025-02-04,Cold-Chain Haulage,2249,814.34,1831450.66
PO-2024-00095,VEND-0092,PLNT-10,2025-02-04,Warehousing,567,780.09,442311.03
PO-2024-00096,VEND-0082,PLNT-13,2024-02-23,Primary Freight,3730,28.64,106827.2
PO-2024-00096,VEND-0082,PLNT-13,2024-02-23,Primary Freight,1091,344.41,375751.31
PO-2024-00097,VEND-0038,PLNT-15,2025-05-17,Shrink Sleeve,3151,551.0,1736201.0
PO-2024-00097,VEND-0038,PLNT-15,2025-05-17,Shrink Sleeve,1629,526.24,857244.96
PO-2024-00098,VEND-0002,PLNT-12,2024-11-20,Mint Flavour,2364,183.49,433770.36
PO-2024-00098,VEND-0002,PLNT-12,2024-11-20,Citric Acid,1723,359.54,619487.42
PO-2024-00098,VEND-0002,PLNT-12,2024-11-20,Citric Acid,1917,124.95,239529.15
PO-2024-00099,VEND-0105,PLNT-05,2025-01-04,Housekeeping,4776,225.29,1075985.04
PO-2024-00100,VEND-0091,PLNT-13,2024-11-11,Wrapper Film,2416,173.7,419659.2
PO-2024-00100,VEND-0091,PLNT-13,2024-11-11,PET Bottle 500ml,1050,473.63,497311.5
PO-2024-00101,VEND-0018,PLNT-12,2024-05-20,Cold-Chain Haulage,2433,863.72,2101430.76
PO-2024-00102,VEND-0039,PLNT-02,2024-09-24,Corrugated Box,1299,270.94,351951.06
PO-2024-00103,VEND-0030,PLNT-14,2025-04-18,Glucose Syrup,4923,884.27,4353261.21
PO-2024-00104,VEND-0089,PLNT-08,2024-02-08,Consulting,1557,501.19,780352.83
PO-2024-00104,VEND-0089,PLNT-08,2024-02-08,Consulting,2154,762.45,1642317.3
PO-2024-00104,VEND-0089,PLNT-08,2024-02-08,Security Services,530,558.15,295819.5
PO-2024-00104,VEND-0089,PLNT-08,2024-02-08,IT AMC,2042,155.46,317449.32
PO-2024-00105,VEND-0057,PLNT-06,2024-09-02,Edible Starch,1906,663.74,1265088.44
PO-2024-00105,VEND-0057,PLNT-06,2024-09-02,Milk Solids,2941,272.06,800128.46
PO-2024-00105,VEND-0057,PLNT-06,2024-09-02,Refined Sugar,4247,369.13,1567695.11
PO-2024-00105,VEND-0057,PLNT-06,2024-09-02,Refined Sugar,1887,685.93,1294349.91
PO-2024-00106,VEND-0028,PLNT-12,2024-04-21,Permitted Colour,647,807.34,522348.98
PO-2024-00106,VEND-0028,PLNT-12,2024-04-21,Cardamom Oil,3647,243.97,889758.59
PO-2024-00107,VEND-0020,PLNT-13,2024-11-29,Shrink Sleeve,354,226.77,80276.58
PO-2024-00107,VEND-0020,PLNT-13,2024-11-29,Wrapper Film,2276,641.54,1460145.04
PO-2024-00108,VEND-0020,PLNT-02,2025-02-07,Mono Carton,3613,226.36,817838.68
PO-2024-00108,VEND-0020,PLNT-02,2025-02-07,Shrink Sleeve,1279,151.84,194203.36
PO-2024-00108,VEND-0020,PLNT-02,2025-02-07,Shrink Sleeve,230,800.09,184020.7
PO-2024-00109,VEND-0092,PLNT-04,2024-06-26,Primary Freight,2285,486.62,1111926.7
PO-2024-00109,VEND-0092,PLNT-04,2024-06-26,Cold-Chain Haulage,2672,395.63,1057123.36
PO-2024-00110,VEND-0027,PLNT-14,2024-03-08,Cold-Chain Haulage,2436,858.26,2090721.36
PO-2024-00111,VEND-0071,PLNT-10,2024-10-26,Cold-Chain Haulage,1303,34.81,45357.43
PO-2024-00112,VEND-0029,PLNT-07,2025-05-10,Menthol Crystals,3060,422.79,1293737.4
PO-2024-00112,VEND-0029,PLNT-07,2025-05-10,Milk Solids,4856,482.44,2342728.64
PO-2024-00112,VEND-0029,PLNT-07,2025-05-10,Refined Sugar,2032,175.02,355640.64
PO-2024-00112,VEND-0029,PLNT-07,2025-05-10,Refined Sugar,4206,737.93,3103733.58
PO-2024-00113,VEND-0037,PLNT-14,2024-07-19,Mint Flavour,4152,312.52,1297583.04
PO-2024-00114,VEND-0068,PLNT-15,2025-05-18,Mono Carton,3304,677.75,2239286.0
PO-2024-00114,VEND-0068,PLNT-15,2025-05-18,Wrapper Film,3132,715.92,2242261.44
PO-2024-00114,VEND-0068,PLNT-15,2025-05-18,Corrugated Box,4145,832.01,3448681.45
PO-2024-00114,VEND-0068,PLNT-15,2025-05-18,PET Bottle 500ml,1099,398.69,438160.31
PO-2024-00115,VEND-0022,PLNT-04,2024-01-02,Permitted Colour,1440,63.36,91238.4
PO-2024-00115,VEND-0022,PLNT-04,2024-01-02,Permitted Colour,2017,123.09,248272.53
PO-2024-00116,VEND-0093,PLNT-07,2025-03-01,Mint Flavour,808,292.69,236493.52
PO-2024-00116,VEND-0093,PLNT-07,2025-03-01,Citric Acid,4613,655.75,3024974.75
