invoice_no,material,qty,rate,amount
INV/000018,Warehousing,3906,486.17,1898980.02
INV/000019,Security Services,1956,578.49,1131526.44
INV/000019,IT AMC,1286,132.67,170613.62
INV/000019,IT AMC,1368,434.27,594081.36
INV/000019,IT AMC,867,215.45,186795.15
INV/000020,Secondary Freight,2197,619.68,1361436.96
INV/000020,Warehousing,1928,272.81,525977.68
INV/000021,Menthol Crystals,1675,485.61,813396.75
INV/000021,Edible Starch,4804,590.11,2834888.44
INV/000021,Edible Starch,4250,725.52,3083460.0
INV/000021,Glucose Syrup,2787,572.56,1595724.72
INV/000022,Shrink Sleeve,3007,775.76,2332710.32
INV/000023,Edible Starch,3128,83.37,260781.36
INV/000024,PET Bottle 500ml,888,537.56,477353.28
INV/000024,Wrapper Film,4014,706.1,2834285.4
INV/000024,Shrink Sleeve,4983,851.86,4244818.38
INV/000024,Wrapper Film,3985,234.02,932569.7
INV/000025,IT AMC,897,511.94,459210.18
INV/000026,Cold-Chain Haulage,4604,447.0,2057988.0
INV/000026,Warehousing,4006,542.84,2174617.04
INV/000026,Primary Freight,738,114.8,84722.4
INV/000026,Cold-Chain Haulage,4659,112.46,523951.14
INV/000027,Permitted Colour,3882,606.74,2355364.68
INV/000027,Citric Acid,3666,809.34,2967040.44
INV/000027,Cocoa Mass,1701,688.18,1170594.18
INV/000027,Citric Acid,3190,332.86,1061823.4
INV/000028,Mint Flavour,476,398.61,189738.36
INV/000029,Refined Sugar,4747,704.03,3342030.41
INV/000029,Menthol Crystals,4683,435.6,2039914.8
INV/000029,Glucose Syrup,742,888.08,658955.36
INV/000030,Refined Sugar,1391,576.27,801591.57
INV/000031,Primary Freight,2745,413.25,1134371.25
INV/000031,Primary Freight,110,744.26,81868.6
INV/000031,Warehousing,2184,417.02,910771.68
INV/000032,Glucose Syrup,3704,106.64,394994.56
INV/000032,Refined Sugar,3917,897.35,3514919.95
INV/000032,Refined Sugar,268,261.25,70015.0
INV/000032,Glucose Syrup,4402,754.51,3321353.02
INV/000033,Mono Carton,3268,88.67,289773.56
INV/000034,Wrapper Film,757,700.88,530566.16
INV/000034,Wrapper Film,4051,820.29,3322994.79
INV/000035,Citric Acid,305,548.49,167289.45
INV/000036,Secondary Freight,333,722.46,240579.18
INV/000037,Cardamom Oil,4198,43.81,183914.38
INV/000037,Mint Flavour,2308,119.43,275644.44
INV/000037,Permitted Colour,1048,458.04,480025.92
INV/000037,Citric Acid,2722,569.97,1551458.34
INV/000038,AMC-Machinery,312,291.79,91038.48
INV/000038,IT AMC,1005,749.87,753619.35
INV/000038,Consulting,2636,647.28,1706230.08
INV/000039,Warehousing,2321,162.43,377000.03
INV/000039,Cold-Chain Haulage,3562,89.82,319938.84
INV/000039,Warehousing,3862,882.18,3406979.16
INV/000039,Cold-Chain Haulage,958,417.04,399524.32
INV/000040,Primary Freight,768,851.85,654220.8
INV/000040,Warehousing,2729,523.59,1428877.11
INV/000041,Edible Starch,831,461.45,383464.95
INV/000041,Menthol Crystals,784,368.4,288825.6
INV/000041,Refined Sugar,4572,114.34,522762.48
INV/000041,Milk Solids,2397,127.61,305881.17
INV/000042,Permitted Colour,3074,574.09,1764752.66
INV/000042,Cocoa Mass,4858,372.63,1810236.54
INV/000042,Citric Acid,2088,202.12,422026.56
INV/000042,Cocoa Mass,4748,290.8,1380718.4
INV/000043,Cold-Chain Haulage,782,518.63,405568.66
INV/000043,Secondary Freight,1166,512.67,597773.22
INV/000044,IT AMC,1615,710.39,1147279.85
INV/000044,Housekeeping,1746,392.83,685881.18
INV/000044,AMC-Machinery,2768,566.4,1567795.2
INV/000045,Consulting,4437,829.58,3680846.46
INV/000045,Security Services,4258,472.09,2010159.22
INV/000045,Consulting,2542,721.48,1834002.16
INV/000046,Glucose Syrup,623,72.28,45030.44
INV/000047,IT AMC,1703,162.31,276413.93
INV/000047,Security Services,3667,670.48,2458650.16
INV/000047,Housekeeping,1603,21.1,33823.3
INV/000048,Mint Flavour,810,543.95,440599.5
INV/000048,Permitted Colour,3358,333.51,1119926.58
INV/000048,Citric Acid,642,862.92,553994.64
INV/000049,Menthol Crystals,3453,637.22,2200320.66
INV/000049,Edible Starch,3777,579.67,2189413.59
INV/000049,Glucose Syrup,1969,17.57,34595.33
INV/000049,Menthol Crystals,3391,476.38,1615404.58
INV/000050,Cardamom Oil,4605,503.92,2320551.6
INV/000050,Permitted Colour,4946,756.45,3741401.7
INV/000050,Cocoa Mass,4018,134.3,539617.4
INV/000050,Cardamom Oil,4952,407.84,2019623.68
INV/000051,Primary Freight,2197,426.64,937328.08
INV/000052,Housekeeping,271,215.7,58454.7
INV/000052,Security Services,1003,445.26,446595.78
INV/000052,IT AMC,1495,531.11,794009.45
INV/000052,Housekeeping,3630,83.03,301398.9
INV/000053,Mono Carton,2803,605.82,1698113.46
INV/000053,Wrapper Film,3263,688.51,2246608.13
INV/000053,PET Bottle 500ml,3088,335.01,1034510.88
INV/000054,Security Services,1688,693.62,1170830.56
INV/000054,IT AMC,2438,768.0,1872384.0
INV/000054,AMC-Machinery,1880,819.32,1540321.6
INV/000054,AMC-Machinery,2548,531.71,1354797.08
INV/000055,Permitted Colour,2680,101.64,272395.2
INV/000055,Cocoa Mass,158,826.27,130550.66
INV/000055,Permitted Colour,2022,570.7,1153955.4
INV/000055,Permitted Colour,1987,310.26,616486.62
INV/000056,AMC-Machinery,3469,282.32,979368.08
INV/000056,Security Services,2268,541.84,1228893.12
INV/000056,IT AMC,2854,256.0,730624.0
INV/000056,Security Services,86,635.11,54619.46
INV/000057,Mono Carton,2413,687.2,1658213.6
INV/000057,PET Bottle 500ml,3271,650.86,2128963.06
INV/000057,Shrink Sleeve,4521,867.18,3920520.78
INV/000057,PET Bottle 500ml,3135,781.19,2449030.65
INV/000058,Wrapper Film,3265,591.46,1931116.9
INV/000058,Shrink Sleeve,2787,873.08,2433273.96
INV/000059,Security Services,3762,317.07,1192817.34
INV/000059,Housekeeping,73,44.52,3249.96
INV/000059,IT AMC,663,701.39,465021.57
INV/000059,Housekeeping,4818,887.1,4274047.8
INV/000060,Primary Freight,416,83.66,34802.56
INV/000060,Warehousing,3978,503.47,2002803.66
INV/000061,Cocoa Mass,233,340.45,79324.85
INV/000062,Cocoa Mass,3580,698.16,2499412.8
INV/000062,Mint Flavour,90,667.57,60081.3
INV/000062,Cardamom Oil,4334,722.38,3130794.92
INV/000062,Citric Acid,1940,217.21,421387.4
INV/000063,Cold-Chain Haulage,4761,688.22,3276615.42
INV/000064,Housekeeping,1310,768.68,1006970.8
INV/000064,IT AMC,1226,318.44,390407.44
INV/000064,Security Services,3909,274.66,1073645.94
INV/000065,Warehousing,2770,175.33,485664.1
INV/000065,Primary Freight,4438,83.65,371238.7
INV/000066,Primary Freight,4993,272.35,1359843.55
INV/000066,Primary Freight,3887,130.04,505465.48
INV/000066,Cold-Chain Haulage,2069,520.79,1077514.51
INV/000067,Refined Sugar,1992,824.45,1642304.4
INV/000068,Secondary Freight,1786,23.76,42435.36
INV/000069,AMC-Machinery,2276,863.61,1965576.36
INV/000069,IT AMC,2130,678.75,1445737.5
INV/000070,Cocoa Mass,1213,298.21,361728.73
INV/000070,Permitted Colour,4459,480.35,2141880.65
INV/000071,Permitted Colour,173,223.3,38630.9
INV/000071,Cardamom Oil,1531,295.66,452655.46
INV/000071,Citric Acid,928,787.89,731161.92
INV/000072,Refined Sugar,3929,399.04,1567828.16
INV/000072,Milk Solids,4311,895.27,3859508.97
INV/000072,Edible Starch,2407,609.74,1467644.18
INV/000073,Cold-Chain Haulage,2832,98.89,280056.48
INV/000074,Cold-Chain Haulage,2193,39.97,87654.21
INV/000074,Secondary Freight,4693,99.88,468736.84
INV/000074,Warehousing,4800,44.64,214272.0
INV/000074,Warehousing,303,66.45,20134.35
INV/000075,Glucose Syrup,285,107.55,30651.75
INV/000075,Refined Sugar,302,350.98,105995.96
INV/000076,Refined Sugar,1545,359.56,555520.2
INV/000076,Milk Solids,1191,9.48,11290.68
INV/000076,Glucose Syrup,2112,107.97,228032.64
INV/000076,Menthol Crystals,2103,9.1,19137.3
INV/000077,IT AMC,2080,704.28,1464902.4
INV/000077,Housekeeping,2185,758.35,1656994.75
INV/000078,Menthol Crystals,2425,617.47,1497364.75
INV/000078,Edible Starch,1700,303.02,515134.0
INV/000078,Refined Sugar,1179,837.9,987884.1
INV/000078,Refined Sugar,2439,419.01,1021965.39
INV/000079,AMC-Machinery,1629,827.59,1348144.11
INV/000080,Permitted Colour,810,561.17,454547.7
INV/000081,Mint Flavour,3452,12.23,42217.96
INV/000081,Permitted Colour,4254,769.21,3272219.34
INV/000081,Cardamom Oil,2689,153.17,411874.13
INV/000082,Secondary Freight,1279,413.38,528713.02
INV/000082,Secondary Freight,4598,546.25,2511657.5
INV/000083,Secondary Freight,1626,720.9,1172183.4
INV/000084,Primary Freight,1622,77.67,125980.74
INV/000084,Cold-Chain Haulage,4316,317.06,1368430.96
INV/000084,Secondary Freight,197,24.98,4921.06
INV/000085,Consulting,3705,290.9,1077784.5
INV/000085,Security Services,664,537.7,357032.8
INV/000086,Mint Flavour,348,460.51,160257.48
INV/000086,Mint Flavour,906,892.66,808749.96
INV/000086,Cardamom Oil,1361,22.79,31017.19
INV/000087,Security Services,2884,793.3,2287877.2
INV/000088,Edible Starch,3621,538.35,1949365.35
INV/000088,Glucose Syrup,300,270.92,81276.0
INV/000089,Secondary Freight,2998,214.3,642471.4
INV/000090,Mint Flavour,2790,361.38,1008250.2
INV/000091,Warehousing,3804,885.21,3367338.84
INV/000091,Primary Freight,791,467.01,369404.91
INV/000091-D,Warehousing,3804,885.21,3367338.84
INV/000091-D,Primary Freight,791,467.01,369404.91
INV/000092,IT AMC,2168,91.91,199260.88
INV/000092,IT AMC,2069,801.57,1658448.33
INV/000092,Security Services,3304,616.86,2038105.44
INV/000093,Corrugated Box,3425,774.21,2651669.25
INV/000094,Warehousing,4405,791.5,3486557.5
INV/000094,Secondary Freight,3680,346.12,1273721.6
INV/000095,Primary Freight,3925,516.38,2026791.5
INV/000095,Cold-Chain Haulage,2249,814.34,1831450.66
INV/000095,Warehousing,567,780.09,442311.03
INV/000096,Primary Freight,3730,28.64,106827.2
INV/000096,Primary Freight,1091,344.41,375751.31
INV/000097,Shrink Sleeve,3151,551.0,1736201.0
INV/000097,Shrink Sleeve,1629,526.24,857244.96
INV/000098,Mint Flavour,2364,183.49,433770.36
INV/000098,Citric Acid,1723,359.54,619487.42
INV/000098,Citric Acid,1917,124.95,239529.15
INV/000099,Housekeeping,4776,225.29,1075985.04
INV/000100,Wrapper Film,2416,173.7,419659.2
INV/000100,PET Bottle 500ml,1050,473.63,497311.5
INV/000101,Cold-Chain Haulage,2433,863.72,2101430.76
INV/000102,Corrugated Box,1299,270.94,351951.06
INV/000103,Glucose Syrup,4923,884.27,4353261.21
INV/000104,Consulting,1557,501.19,780352.83
INV/000104,Consulting,2154,762.45,1642317.3
INV/000104,Security Services,530,558.15,295819.5
INV/000104,IT AMC,2042,155.46,317449.32
INV/000105,Edible Starch,1906,663.74,1265088.44
INV/000105,Milk Solids,2941,272.06,800128.46
INV/000105,Refined Sugar,4247,369.13,1567695.11
INV/000105,Refined Sugar,1887,685.93,1294349.91
INV/000106,Permitted Colour,647,807.34,522348.98
INV/000106,Cardamom Oil,3647,243.97,889758.59
INV/000107,Shrink Sleeve,354,226.77,80276.58
INV/000107,Wrapper Film,2276,641.54,1460145.04
INV/000108,Mono Carton,3613,226.36,817838.68
INV/000108,Shrink Sleeve,1279,151.84,194203.36
INV/000108,Shrink Sleeve,230,800.09,184020.7
INV/000109,Primary Freight,2285,486.62,1111926.7
INV/000109,Cold-Chain Haulage,2672,395.63,1057123.36
INV/000110,Cold-Chain Haulage,2436,858.26,2090721.36
INV/000111,Cold-Chain Haulage,1303,34.81,45357.43
INV/000112,Menthol Crystals,3060,422.79,1293737.4
INV/000112,Milk Solids,4856,482.44,2342728.64
INV/000112,Refined Sugar,2032,175.02,355640.64
INV/000112,Refined Sugar,4206,737.93,3103733.58
INV/000113,Mint Flavour,4152,312.52,1297583.04
INV/000113-D,Mint Flavour,4152,312.52,1297583.04
INV/000114,Mono Carton,3304,677.75,2239286.0
INV/000114,Wrapper Film,3132,715.92,2242261.44
INV/000114,Corrugated Box,4145,832.01,3448681.45
INV/000114,PET Bottle 500ml,1099,398.69,438160.31
INV/000115,Permitted Colour,1440,63.36,91238.4
INV/000115,Permitted Colour,2017,123.09,248272.53
INV/000116,Mint Flavour,808,292.69,236493.52
INV/000116,Citric Acid,4613,655.75,3024974.75
INV/000117,Citric Acid,2390,855.45,2044525.5
INV/000118,Housekeeping,4237,43.91,186046.67
INV/000118,Security Services,4940,804.1,3972254.0
INV/000118,Consulting,2275,676.66,1539401.5
INV/000118,Security Services,1424,482.02,686396.48
INV/000119,Mint Flavour,3586,666.75,2390965.5
INV/000119,Permitted Colour,1863,367.6,684838.8
INV/000119,Permitted Colour,4476,650.05,2909623.8
INV/000119,Cardamom Oil,2831,461.97,1307837.07
INV/000120,Milk Solids,1744,372.08,648907.52
INV/000120,Menthol Crystals,2348,120.22,282276.56
INV/000121,Mint Flavour,3678,25.63,94267.14
INV/000121,Cocoa Mass,3331,299.28,996901.68
INV/000121,Permitted Colour,4034,702.11,2832311.74
INV/000122,Milk Solids,902,253.44,228602.88
INV/000122,Edible Starch,690,131.68,90859.2
INV/000122,Edible Starch,1438,609.87,876993.06
INV/000123,Consulting,2752,858.01,2361243.52
INV/000123,Housekeeping,3521,552.17,1944190.57
INV/000123,Consulting,3740,565.93,2116578.2
INV/000124,Glucose Syrup,2229,28.72,64016.88
INV/000124,Refined Sugar,3442,364.85,1255813.7
INV/000125,Glucose Syrup,4682,769.75,3603969.5
INV/000126,Security Services,3179,306.03,972869.37
INV/000126,Security Services,4055,822.1,3333615.5
INV/000127,Primary Freight,153,690.08,105582.24
INV/000127,Secondary Freight,3737,688.23,2571915.51
INV/000127,Secondary Freight,570,415.16,236641.2
INV/000127,Warehousing,2429,222.28,539918.12
INV/000128,Wrapper Film,2950,373.7,1102415.0
INV/000128,PET Bottle 500ml,1467,735.92,1079594.64
INV/000129,Corrugated Box,243,719.38,174809.34
INV/000130,Citric Acid,3044,355.94,1083481.36
INV/000130,Citric Acid,622,898.76,559028.72
INV/000130,Citric Acid,1468,145.34,213359.12
INV/000130,Cocoa Mass,1003,385.14,386295.42
INV/000131,Cold-Chain Haulage,394,131.09,51649.46
INV/000131,Cold-Chain Haulage,2963,249.4,738972.2
INV/000131,Cold-Chain Haulage,3964,797.29,3160457.56
INV/000132,Permitted Colour,922,385.76,355670.72
INV/000132,Mint Flavour,2556,454.68,1162162.08
INV/000132,Mint Flavour,2783,620.06,1725626.98
INV/000133,Menthol Crystals,2606,92.92,242149.52
INV/000134,Mint Flavour,2332,386.9,902250.8
INV/000134,Mint Flavour,1089,607.66,661741.74
INV/000135,Citric Acid,4535,379.67,1721803.45
INV/000135,Citric Acid,4115,294.82,1213184.3
INV/000135,Citric Acid,1214,722.84,877527.76
INV/000135,Permitted Colour,3756,446.2,1675927.2
INV/000136,Milk Solids,525,144.94,76093.5
INV/000136,Glucose Syrup,1573,68.23,107325.79
INV/000136,Menthol Crystals,2692,55.1,148329.2
INV/000136,Edible Starch,1172,397.19,465506.68
INV/000137,Mono Carton,3746,157.86,591343.56
INV/000137,Shrink Sleeve,4124,139.0,573236.0
INV/000137,PET Bottle 500ml,372,742.23,276109.56
INV/000138,Warehousing,2145,666.12,1428827.4
INV/000139,Cold-Chain Haulage,2717,422.49,1147905.33
INV/000139,Primary Freight,3763,336.17,1265007.71
INV/000139,Secondary Freight,2087,193.87,404606.69
INV/000140,Permitted Colour,1719,164.41,282620.79
INV/000141,Housekeeping,4275,590.96,2526354.0
INV/000141,AMC-Machinery,729,408.27,297628.83
INV/000141,Security Services,4593,788.58,3621947.94
INV/000141,AMC-Machinery,1994,878.23,1751190.62
INV/000142,Cold-Chain Haulage,3297,265.86,876540.42
INV/000142,Cold-Chain Haulage,1296,513.25,665172.0
INV/000143,PET Bottle 500ml,2347,52.12,122325.64
INV/000143,PET Bottle 500ml,181,544.59,98570.79
INV/000143,Shrink Sleeve,1891,240.08,453991.28
INV/000144,IT AMC,1775,351.75,624356.25
INV/000144,AMC-Machinery,2828,249.46,705472.88
INV/000144,AMC-Machinery,704,288.76,203287.04
INV/000144,IT AMC,2633,511.17,1345910.61
INV/000145,Wrapper Film,3010,584.49,1759314.9
INV/000146,Corrugated Box,4158,842.5,3503115.0
INV/000146,Mono Carton,2406,61.06,146910.36
INV/000147,IT AMC,3413,198.97,679084.61
INV/000147,Housekeeping,4467,192.63,860478.21
INV/000148,Mint Flavour,3275,293.79,962162.25
INV/000149,Primary Freight,1360,552.55,751468.0
INV/000149,Cold-Chain Haulage,2122,800.42,1698491.24
INV/000150,Shrink Sleeve,301,560.66,168758.66
INV/000151,Citric Acid,561,477.25,267737.25
INV/000151,Citric Acid,4108,897.04,3685040.32
INV/000151,Cocoa Mass,2240,365.93,819683.2
INV/000151,Mint Flavour,268,296.95,79582.6
INV/000152,Mint Flavour,893,880.94,786679.42
INV/000152,Cocoa Mass,1663,448.36,745622.68
INV/000152,Cardamom Oil,2518,874.03,2200807.54
INV/000152,Permitted Colour,4784,362.59,1734630.56
INV/000153,Cold-Chain Haulage,1123,100.13,112445.99
INV/000153,Primary Freight,1006,780.6,785283.6
INV/000154,Primary Freight,2186,572.77,1252075.22
INV/000154,Secondary Freight,1926,840.04,1617917.04
INV/000155,Consulting,4848,419.94,2035869.12
INV/000155,IT AMC,2861,595.61,1704040.21
INV/000156,Housekeeping,1924,92.42,177816.08
INV/000157,Cocoa Mass,1111,509.9,566498.9
INV/000157,Cocoa Mass,3802,237.62,903431.24
INV/000157,Cardamom Oil,3789,745.5,2824699.5
INV/000157,Cocoa Mass,4854,540.88,2625431.52
INV/000158,Refined Sugar,4243,832.12,3530685.16
INV/000158,Edible Starch,1992,524.45,1044704.4
INV/000158,Refined Sugar,4895,42.38,207450.1
INV/000158,Edible Starch,72,614.93,44274.96
INV/000159,Menthol Crystals,4268,450.8,1924014.4
INV/000160,Mono Carton,1687,791.86,1335867.82
INV/000160,Wrapper Film,4942,512.05,2530551.1
INV/000160,Wrapper Film,1896,249.14,472369.44
INV/000160,PET Bottle 500ml,3376,699.22,2360566.72
INV/000161,Cold-Chain Haulage,429,771.23,330857.67
INV/000161,Secondary Freight,4819,175.35,845011.65
INV/000161,Secondary Freight,4658,791.31,3685921.98
INV/000161,Secondary Freight,2991,342.02,1022981.82
INV/000161-D,Cold-Chain Haulage,429,771.23,330857.67
INV/000161-D,Secondary Freight,4819,175.35,845011.65
INV/000161-D,Secondary Freight,4658,791.31,3685921.98
INV/000161-D,Secondary Freight,2991,342.02,1022981.82
INV/000162,Cardamom Oil,2843,884.07,2513411.01
INV/000163,Citric Acid,2117,113.61,240512.37
INV/000164,Corrugated Box,1553,787.91,1223624.23
INV/000164,Corrugated Box,377,472.25,178038.25
INV/000164,Shrink Sleeve,168,421.6,70828.8
INV/000165,Permitted Colour,1914,559.89,1071629.46
INV/000166,Cold-Chain Haulage,741,176.12,130504.92
INV/000166,Cold-Chain Haulage,2486,94.35,234554.1
INV/000167,Milk Solids,2103,80.02,168282.06
INV/000167,Refined Sugar,4873,589.29,2871610.17
INV/000167,Milk Solids,4954,573.74,2842307.96
INV/000167,Milk Solids,4363,390.69,1704580.47
INV/000168,Cocoa Mass,4968,863.17,4288228.56
INV/000168,Cocoa Mass,3320,637.57,2116732.4
INV/000169,Primary Freight,1589,755.03,1199742.67
INV/000170,Permitted Colour,4687,485.13,2273804.31
INV/000170,Mint Flavour,821,824.84,677193.64
INV/000170,Cocoa Mass,4362,362.33,1580483.46
INV/000170,Citric Acid,2858,404.95,1157347.1
INV/000170-D,Permitted Colour,4687,485.13,2273804.31
INV/000170-D,Mint Flavour,821,824.84,677193.64
INV/000170-D,Cocoa Mass,4362,362.33,1580483.46
INV/000170-D,Citric Acid,2858,404.95,1157347.1
INV/000171,Primary Freight,987,263.15,259729.05
INV/000171,Cold-Chain Haulage,1029,92.1,94770.9
INV/000171,Cold-Chain Haulage,4823,781.63,3769801.49
INV/000171,Primary Freight,681,748.38,509646.78
INV/000172,Housekeeping,3150,717.84,2261196.0
INV/000172,Consulting,678,494.74,335433.72
INV/000172,Consulting,1970,809.84,1595384.8
INV/000172,Consulting,2740,874.85,2397089.0
INV/000173,Warehousing,1435,357.22,512610.7
INV/000173,Primary Freight,1839,88.06,161942.34
INV/000174,Consulting,4656,594.59,2768411.04
INV/000175,Security Services,1132,468.05,529832.6
INV/000175,Consulting,3338,879.66,2936305.08
INV/000175,IT AMC,4684,218.83,1024999.72
INV/000175,Consulting,2836,145.01,411248.36
INV/000175-D,Security Services,1132,468.05,529832.6
INV/000175-D,Consulting,3338,879.66,2936305.08
INV/000175-D,IT AMC,4684,218.83,1024999.72
INV/000175-D,Consulting,2836,145.01,411248.36
INV/000176,Citric Acid,1853,487.2,902781.6
INV/000176,Mint Flavour,4566,566.38,2586091.08
INV/000176,Cocoa Mass,3992,722.12,2882703.04
INV/000177,Housekeeping,681,88.8,60472.8
INV/000177,Consulting,1772,209.53,371287.16
INV/000177,AMC-Machinery,2065,851.56,1758471.4
INV/000177,Housekeeping,2217,345.45,765862.65
INV/000178,Milk Solids,1637,590.65,966894.05
INV/000178,Milk Solids,912,395.81,360978.72
INV/000178,Edible Starch,3380,211.95,716391.0
INV/000179,Secondary Freight,4119,451.9,1861376.1
INV/000180,Cocoa Mass,1420,441.76,627299.2
INV/000180,Cocoa Mass,4974,434.33,2160357.42
INV/000181,Warehousing,1178,576.75,679411.5
INV/000182,Edible Starch,4488,432.2,1939713.6
INV/000182,Refined Sugar,3600,741.41,2669076.0
INV/000183,Mono Carton,2307,771.76,1780450.32
INV/000183,PET Bottle 500ml,3207,570.91,1830908.37
INV/000184,Refined Sugar,4804,338.85,1627835.4
INV/000184,Edible Starch,3015,732.41,2208216.15
INV/000184,Milk Solids,2154,459.14,988987.56
INV/000184,Glucose Syrup,275,418.06,114966.5
INV/000185,Permitted Colour,1964,567.13,1113843.32
INV/000186,Cold-Chain Haulage,2837,860.79,2442061.23
INV/000186,Primary Freight,598,145.75,87158.5
INV/000187,Menthol Crystals,4419,686.41,3033245.79
INV/000188,Glucose Syrup,2418,139.5,337311.0
INV/000188,Milk Solids,1975,283.03,558984.25
INV/000188,Menthol Crystals,1403,121.53,170506.59
INV/000188,Edible Starch,3550,636.89,2260959.5
INV/000188-D,Glucose Syrup,2418,139.5,337311.0
INV/000188-D,Milk Solids,1975,283.03,558984.25
INV/000188-D,Menthol Crystals,1403,121.53,170506.59
INV/000188-D,Edible Starch,3550,636.89,2260959.5
INV/000189,Cold-Chain Haulage,2928,735.05,2152226.4
INV/000189,Warehousing,3752,407.83,1530178.16
INV/000189,Cold-Chain Haulage,2224,222.75,495396.0
INV/000189,Secondary Freight,4111,329.84,1355972.24
INV/000190,Permitted Colour,4553,287.95,1311036.35
INV/000191,IT AMC,1549,337.39,522617.11
INV/000191,Consulting,4508,688.73,3104794.84
INV/000191,Security Services,1218,837.56,1020148.08
INV/000192,Glucose Syrup,4994,555.26,2772968.44
INV/000192,Glucose Syrup,2233,818.48,1827665.84
INV/000192,Menthol Crystals,4454,713.97,3180022.38
INV/000193,Cocoa Mass,2412,448.93,1082819.16
INV/000193,Citric Acid,2485,514.81,1279302.85
INV/000193,Cardamom Oil,2066,500.53,1034094.98
INV/000194,Cardamom Oil,3975,764.27,3037973.25
INV/000195,Mint Flavour,1606,366.28,588245.68
INV/000196,Primary Freight,1755,504.85,886011.75
INV/000196,Primary Freight,3092,159.46,493050.32
INV/000197,Security Services,3839,752.04,2887081.56
INV/000197,Consulting,2044,615.75,1258593.0
INV/000197,AMC-Machinery,3371,164.51,554563.21
INV/000197,Consulting,1000,732.29,732290.0
INV/000198,Wrapper Film,3404,734.51,2500272.04
INV/000198,Wrapper Film,2130,254.38,541829.4
INV/000199,Consulting,4930,233.71,1152190.3
INV/000199,AMC-Machinery,2190,700.01,1533021.9
INV/000200,Shrink Sleeve,3399,517.48,1758914.52
INV/000201,Shrink Sleeve,4492,730.47,3281271.24
INV/000202,AMC-Machinery,823,176.44,145210.12
INV/000202,IT AMC,1889,182.38,344515.82
INV/000202,Consulting,2843,435.64,1238524.52
INV/000203,IT AMC,714,375.36,268007.04
INV/000203,AMC-Machinery,4915,367.79,1807687.85
INV/000203,Consulting,1253,227.32,284831.96
INV/000204,Security Services,2099,186.9,392303.1
INV/000205,Cardamom Oil,1001,817.58,818397.58
INV/000205,Cocoa Mass,3990,724.03,2888879.7
INV/000206,Corrugated Box,718,849.87,610206.66
INV/000206,Shrink Sleeve,2591,208.42,540016.22
INV/000207,Mono Carton,3943,706.35,2785138.05
INV/000208,Warehousing,1278,211.07,269747.46
INV/000208,Secondary Freight,4249,53.08,225536.92
INV/000208,Secondary Freight,4298,280.77,1206749.46
INV/000208,Secondary Freight,4343,560.07,2432384.01
INV/000209,Housekeeping,4695,657.71,3087948.45
INV/000210,Citric Acid,3736,739.89,2764229.04
INV/000210,Cocoa Mass,848,264.77,224524.96
INV/000210,Permitted Colour,3759,113.12,425218.08
INV/000210,Mint Flavour,4934,456.56,2252667.04
INV/000211,Consulting,4169,822.53,3429127.57
INV/000211,Housekeeping,3945,228.08,899775.6
INV/000212,Mint Flavour,983,717.35,705155.05
INV/000212,Cardamom Oil,2296,651.88,1496716.48
INV/000212,Cocoa Mass,4805,826.73,3972437.65
INV/000212,Citric Acid,825,322.03,265674.75
INV/000213,Cardamom Oil,1149,375.84,431840.16
