grn_no,po_no,grn_date,material,received_qty
GRN-00038,PO-2024-00038,2024-09-02,Consulting,2636
GRN-00039,PO-2024-00039,2024-01-04,Warehousing,2321
GRN-00039,PO-2024-00039,2024-01-04,Cold-Chain Haulage,3562
GRN-00039,PO-2024-00039,2024-01-04,Warehousing,3862
GRN-00039,PO-2024-00039,2024-01-04,Cold-Chain Haulage,958
GRN-00040,PO-2024-00040,2024-12-26,Primary Freight,768
GRN-00040,PO-2024-00040,2024-12-26,Warehousing,2729
GRN-00041,PO-2024-00041,2024-06-01,Edible Starch,831
GRN-00041,PO-2024-00041,2024-06-01,Menthol Crystals,784
GRN-00041,PO-2024-00041,2024-06-01,Refined Sugar,4572
GRN-00041,PO-2024-00041,2024-06-01,Milk Solids,2397
,PO-2024-00042,,Permitted Colour,0
,PO-2024-00042,,Cocoa Mass,0
,PO-2024-00042,,Citric Acid,0
,PO-2024-00042,,Cocoa Mass,0
GRN-00043,PO-2024-00043,2024-06-18,Cold-Chain Haulage,782
GRN-00043,PO-2024-00043,2024-06-18,Secondary Freight,1166
GRN-00044,PO-2024-00044,2024-12-27,IT AMC,1615
GRN-00044,PO-2024-00044,2024-12-27,Housekeeping,1746
GRN-00044,PO-2024-00044,2024-12-27,AMC-Machinery,2768
GRN-00045,PO-2024-00045,2024-10-19,Consulting,4437
GRN-00045,PO-2024-00045,2024-10-19,Security Services,4258
GRN-00045,PO-2024-00045,2024-10-19,Consulting,2542
GRN-00046,PO-2024-00046,2025-04-05,Glucose Syrup,623
GRN-00047,PO-2024-00047,2024-02-02,IT AMC,1703
GRN-00047,PO-2024-00047,2024-02-02,Security Services,3667
GRN-00047,PO-2024-00047,2024-02-02,Housekeeping,1603
GRN-00048,PO-2024-00048,2025-04-15,Mint Flavour,810
GRN-00048,PO-2024-00048,2025-04-15,Permitted Colour,3358
GRN-00048,PO-2024-00048,2025-04-15,Citric Acid,642
GRN-00049,PO-2024-00049,2025-03-01,Menthol Crystals,3453
GRN-00049,PO-2024-00049,2025-03-01,Edible Starch,3777
GRN-00049,PO-2024-00049,2025-03-01,Glucose Syrup,1969
GRN-00049,PO-2024-00049,2025-03-01,Menthol Crystals,3391
GRN-00050,PO-2024-00050,2025-01-23,Cardamom Oil,4605
GRN-00050,PO-2024-00050,2025-01-23,Permitted Colour,4946
GRN-00050,PO-2024-00050,2025-01-23,Cocoa Mass,4018
GRN-00050,PO-2024-00050,2025-01-23,Cardamom Oil,4952
GRN-00051,PO-2024-00051,2024-02-29,Primary Freight,2197
GRN-00052,PO-2024-00052,2024-04-12,Housekeeping,271
GRN-00052,PO-2024-00052,2024-04-12,Security Services,1003
GRN-00052,PO-2024-00052,2024-04-12,IT AMC,1495
GRN-00052,PO-2024-00052,2024-04-12,Housekeeping,3630
GRN-00053,PO-2024-00053,2025-04-15,Mono Carton,2803
GRN-00053,PO-2024-00053,2025-04-15,Wrapper Film,3263
GRN-00053,PO-2024-00053,2025-04-15,PET Bottle 500ml,3088
GRN-00054,PO-2024-00054,2025-04-27,Security Services,1688
GRN-00054,PO-2024-00054,2025-04-27,IT AMC,2438
GRN-00054,PO-2024-00054,2025-04-27,AMC-Machinery,1880
GRN-00054,PO-2024-00054,2025-04-27,AMC-Machinery,2548
GRN-00055,PO-2024-00055,2024-07-14,Permitted Colour,2680
GRN-00055,PO-2024-00055,2024-07-14,Cocoa Mass,158
GRN-00055,PO-2024-00055,2024-07-14,Permitted Colour,2022
GRN-00055,PO-2024-00055,2024-07-14,Permitted Colour,1987
GRN-00056,PO-2024-00056,2024-05-20,AMC-Machinery,3469
GRN-00056,PO-2024-00056,2024-05-20,Security Services,2268
GRN-00056,PO-2024-00056,2024-05-20,IT AMC,2854
GRN-00056,PO-2024-00056,2024-05-20,Security Services,86
GRN-00057,PO-2024-00057,2025-06-30,Mono Carton,2413
GRN-00057,PO-2024-00057,2025-06-30,PET Bottle 500ml,3271
GRN-00057,PO-2024-00057,2025-06-30,Shrink Sleeve,4521
GRN-00057,PO-2024-00057,2025-06-30,PET Bottle 500ml,3135
GRN-00058,PO-2024-00058,2024-10-14,Wrapper Film,3265
GRN-00058,PO-2024-00058,2024-10-14,Shrink Sleeve,2787
GRN-00059,PO-2024-00059,2024-06-20,Security Services,3762
GRN-00059,PO-2024-00059,2024-06-20,Housekeeping,73
GRN-00059,PO-2024-00059,2024-06-20,IT AMC,663
GRN-00059,PO-2024-00059,2024-06-20,Housekeeping,4818
GRN-00060,PO-2024-00060,2024-07-13,Primary Freight,416
GRN-00060,PO-2024-00060,2024-07-13,Warehousing,3978
GRN-00061,PO-2024-00061,2025-05-23,Cocoa Mass,233
GRN-00062,PO-2024-00062,2024-03-18,Cocoa Mass,3580
GRN-00062,PO-2024-00062,2024-03-18,Mint Flavour,90
GRN-00062,PO-2024-00062,2024-03-18,Cardamom Oil,4334
GRN-00062,PO-2024-00062,2024-03-18,Citric Acid,1940
GRN-00063,PO-2024-00063,2024-05-23,Cold-Chain Haulage,4761
GRN-00064,PO-2024-00064,2025-01-30,Housekeeping,1310
GRN-00064,PO-2024-00064,2025-01-30,IT AMC,1226
GRN-00064,PO-2024-00064,2025-01-30,Security Services,3909
GRN-00065,PO-2024-00065,2024-09-07,Warehousing,2770
GRN-00065,PO-2024-00065,2024-09-07,Primary Freight,4438
GRN-00066,PO-2024-00066,2025-01-31,Primary Freight,4993
GRN-00066,PO-2024-00066,2025-01-31,Primary Freight,3887
GRN-00066,PO-2024-00066,2025-01-31,Cold-Chain Haulage,2069
GRN-00067,PO-2024-00067,2025-01-27,Refined Sugar,1992
GRN-00068,PO-2024-00068,2024-03-03,Secondary Freight,1786
GRN-00069,PO-2024-00069,2025-06-17,AMC-Machinery,2276
GRN-00069,PO-2024-00069,2025-06-17,IT AMC,2130
GRN-00070,PO-2024-00070,2024-06-09,Cocoa Mass,1213
GRN-00070,PO-2024-00070,2024-06-09,Permitted Colour,4459
GRN-00071,PO-2024-00071,2024-05-08,Permitted Colour,173
GRN-00071,PO-2024-00071,2024-05-08,Cardamom Oil,1531
GRN-00071,PO-2024-00071,2024-05-08,Citric Acid,928
GRN-00072,PO-2024-00072,2024-11-04,Refined Sugar,3929
GRN-00072,PO-2024-00072,2024-11-04,Milk Solids,4311
GRN-00072,PO-2024-00072,2024-11-04,Edible Starch,2407
GRN-00073,PO-2024-00073,2025-03-10,Cold-Chain Haulage,2832
GRN-00074,PO-2024-00074,2025-06-14,Cold-Chain Haulage,2193
GRN-00074,PO-2024-00074,2025-06-14,Secondary Freight,4693
GRN-00074,PO-2024-00074,2025-06-14,Warehousing,4800
GRN-00074,PO-2024-00074,2025-06-14,Warehousing,303
GRN-00075,PO-2024-00075,2024-06-01,Glucose Syrup,328
GRN-00075,PO-2024-00075,2024-06-01,Refined Sugar,347
GRN-00076,PO-2024-00076,2025-01-21,Refined Sugar,1545
GRN-00076,PO-2024-00076,2025-01-21,Milk Solids,1191
GRN-00076,PO-2024-00076,2025-01-21,Glucose Syrup,2112
GRN-00076,PO-2024-00076,2025-01-21,Menthol Crystals,2103
GRN-00077,PO-2024-00077,2024-06-07,IT AMC,2080
GRN-00077,PO-2024-00077,2024-06-07,Housekeeping,2185
GRN-00078,PO-2024-00078,2024-07-05,Menthol Crystals,2425
GRN-00078,PO-2024-00078,2024-07-05,Edible Starch,1700
GRN-00078,PO-2024-00078,2024-07-05,Refined Sugar,1179
GRN-00078,PO-2024-00078,2024-07-05,Refined Sugar,2439
,PO-2024-00079,,AMC-Machinery,0
GRN-00080,PO-2024-00080,2025-05-22,Permitted Colour,810
GRN-00081,PO-2024-00081,2024-02-28,Mint Flavour,3452
GRN-00081,PO-2024-00081,2024-02-28,Permitted Colour,4254
GRN-00081,PO-2024-00081,2024-02-28,Cardamom Oil,2689
GRN-00082,PO-2024-00082,2025-07-08,Secondary Freight,1279
GRN-00082,PO-2024-00082,2025-07-08,Secondary Freight,4598
GRN-00083,PO-2024-00083,2024-07-28,Secondary Freight,1626
GRN-00084,PO-2024-00084,2024-05-06,Primary Freight,1622
GRN-00084,PO-2024-00084,2024-05-06,Cold-Chain Haulage,4316
GRN-00084,PO-2024-00084,2024-05-06,Secondary Freight,197
GRN-00085,PO-2024-00085,2025-02-12,Consulting,3705
GRN-00085,PO-2024-00085,2025-02-12,Security Services,664
GRN-00086,PO-2024-00086,2025-02-26,Mint Flavour,348
GRN-00086,PO-2024-00086,2025-02-26,Mint Flavour,906
GRN-00086,PO-2024-00086,2025-02-26,Cardamom Oil,1361
GRN-00087,PO-2024-00087,2024-11-20,Security Services,2884
GRN-00088,PO-2024-00088,2024-04-11,Edible Starch,3621
GRN-00088,PO-2024-00088,2024-04-11,Glucose Syrup,300
GRN-00089,PO-2024-00089,2025-03-31,Secondary Freight,2998
GRN-00090,PO-2024-00090,2024-05-28,Mint Flavour,2790
GRN-00091,PO-2024-00091,2025-02-10,Warehousing,3804
GRN-00091,PO-2024-00091,2025-02-10,Primary Freight,791
GRN-00092,PO-2024-00092,2024-02-04,IT AMC,2168
GRN-00092,PO-2024-00092,2024-02-04,IT AMC,2069
GRN-00092,PO-2024-00092,2024-02-04,Security Services,3304
GRN-00093,PO-2024-00093,2024-08-01,Corrugated Box,3425
GRN-00094,PO-2024-00094,2024-05-16,Warehousing,4405
GRN-00094,PO-2024-00094,2024-05-16,Secondary Freight,3680
GRN-00095,PO-2024-00095,2025-02-17,Primary Freight,3925
GRN-00095,PO-2024-00095,2025-02-17,Cold-Chain Haulage,2249
GRN-00095,PO-2024-00095,2025-02-17,Warehousing,567
GRN-00096,PO-2024-00096,2024-02-24,Primary Freight,3730
GRN-00096,PO-2024-00096,2024-02-24,Primary Freight,1091
GRN-00097,PO-2024-00097,2025-06-03,Shrink Sleeve,3151
GRN-00097,PO-2024-00097,2025-06-03,Shrink Sleeve,1629
GRN-00098,PO-2024-00098,2024-12-01,Mint Flavour,2364
GRN-00098,PO-2024-00098,2024-12-01,Citric Acid,1723
GRN-00098,PO-2024-00098,2024-12-01,Citric Acid,1917
GRN-00099,PO-2024-00099,2025-01-05,Housekeeping,4776
GRN-00100,PO-2024-00100,2024-11-28,Wrapper Film,2416
GRN-00100,PO-2024-00100,2024-11-28,PET Bottle 500ml,1050
GRN-00101,PO-2024-00101,2024-05-23,Cold-Chain Haulage,2433
GRN-00102,PO-2024-00102,2024-10-11,Corrugated Box,1299
GRN-00103,PO-2024-00103,2025-05-03,Glucose Syrup,4923
GRN-00104,PO-2024-00104,2024-02-16,Consulting,1557
GRN-00104,PO-2024-00104,2024-02-16,Consulting,2154
GRN-00104,PO-2024-00104,2024-02-16,Security Services,530
GRN-00104,PO-2024-00104,2024-02-16,IT AMC,2042
GRN-00105,PO-2024-00105,2024-09-06,Edible Starch,1906
GRN-00105,PO-2024-00105,2024-09-06,Milk Solids,2941
GRN-00105,PO-2024-00105,2024-09-06,Refined Sugar,4247
GRN-00105,PO-2024-00105,2024-09-06,Refined Sugar,1887
GRN-00106,PO-2024-00106,2024-05-03,Permitted Colour,647
GRN-00106,PO-2024-00106,2024-05-03,Cardamom Oil,3647
GRN-00107,PO-2024-00107,2024-12-03,Shrink Sleeve,354
GRN-00107,PO-2024-00107,2024-12-03,Wrapper Film,2276
GRN-00108,PO-2024-00108,2025-02-14,Mono Carton,3613
GRN-00108,PO-2024-00108,2025-02-14,Shrink Sleeve,1279
GRN-00108,PO-2024-00108,2025-02-14,Shrink Sleeve,230
GRN-00109,PO-2024-00109,2024-07-06,Primary Freight,2285
GRN-00109,PO-2024-00109,2024-07-06,Cold-Chain Haulage,2672
GRN-00110,PO-2024-00110,2024-03-12,Cold-Chain Haulage,2436
GRN-00111,PO-2024-00111,2024-11-14,Cold-Chain Haulage,1303
GRN-00112,PO-2024-00112,2025-05-11,Menthol Crystals,3060
GRN-00112,PO-2024-00112,2025-05-11,Milk Solids,4856
GRN-00112,PO-2024-00112,2025-05-11,Refined Sugar,2032
GRN-00112,PO-2024-00112,2025-05-11,Refined Sugar,4206
GRN-00113,PO-2024-00113,2024-07-28,Mint Flavour,4152
GRN-00114,PO-2024-00114,2025-05-25,Mono Carton,3304
GRN-00114,PO-2024-00114,2025-05-25,Wrapper Film,3132
GRN-00114,PO-2024-00114,2025-05-25,Corrugated Box,4145
GRN-00114,PO-2024-00114,2025-05-25,PET Bottle 500ml,1099
GRN-00115,PO-2024-00115,2024-01-13,Permitted Colour,1440
GRN-00115,PO-2024-00115,2024-01-13,Permitted Colour,2017
GRN-00116,PO-2024-00116,2025-03-14,Mint Flavour,808
GRN-00116,PO-2024-00116,2025-03-14,Citric Acid,4613
GRN-00117,PO-2024-00117,2025-01-04,Citric Acid,2390
GRN-00118,PO-2024-00118,2024-04-07,Housekeeping,4237
GRN-00118,PO-2024-00118,2024-04-07,Security Services,4940
GRN-00118,PO-2024-00118,2024-04-07,Consulting,2275
GRN-00118,PO-2024-00118,2024-04-07,Security Services,1424
GRN-00119,PO-2024-00119,2024-04-09,Mint Flavour,3586
GRN-00119,PO-2024-00119,2024-04-09,Permitted Colour,1863
GRN-00119,PO-2024-00119,2024-04-09,Permitted Colour,4476
GRN-00119,PO-2024-00119,2024-04-09,Cardamom Oil,2831
GRN-00120,PO-2024-00120,2024-08-18,Milk Solids,2006
GRN-00120,PO-2024-00120,2024-08-18,Menthol Crystals,2700
GRN-00121,PO-2024-00121,2024-07-07,Mint Flavour,3678
GRN-00121,PO-2024-00121,2024-07-07,Cocoa Mass,3331
GRN-00121,PO-2024-00121,2024-07-07,Permitted Colour,4034
GRN-00122,PO-2024-00122,2025-02-14,Milk Solids,902
GRN-00122,PO-2024-00122,2025-02-14,Edible Starch,690
GRN-00122,PO-2024-00122,2025-02-14,Edible Starch,1438
GRN-00123,PO-2024-00123,2025-02-08,Consulting,2752
GRN-00123,PO-2024-00123,2025-02-08,Housekeeping,3521
GRN-00123,PO-2024-00123,2025-02-08,Consulting,3740
GRN-00124,PO-2024-00124,2025-02-10,Glucose Syrup,2229
GRN-00124,PO-2024-00124,2025-02-10,Refined Sugar,3442
GRN-00125,PO-2024-00125,2024-12-02,Glucose Syrup,4682
GRN-00126,PO-2024-00126,2024-11-04,Security Services,3179
GRN-00126,PO-2024-00126,2024-11-04,Security Services,4055
GRN-00127,PO-2024-00127,2024-07-06,Primary Freight,153
GRN-00127,PO-2024-00127,2024-07-06,Secondary Freight,3737
GRN-00127,PO-2024-00127,2024-07-06,Secondary Freight,570
GRN-00127,PO-2024-00127,2024-07-06,Warehousing,2429
GRN-00128,PO-2024-00128,2024-06-11,Wrapper Film,2950
GRN-00128,PO-2024-00128,2024-06-11,PET Bottle 500ml,1467
GRN-00129,PO-2024-00129,2024-11-08,Corrugated Box,243
GRN-00130,PO-2024-00130,2024-05-09,Citric Acid,3044
GRN-00130,PO-2024-00130,2024-05-09,Citric Acid,622
GRN-00130,PO-2024-00130,2024-05-09,Citric Acid,1468
GRN-00130,PO-2024-00130,2024-05-09,Cocoa Mass,1003
GRN-00131,PO-2024-00131,2025-05-24,Cold-Chain Haulage,394
GRN-00131,PO-2024-00131,2025-05-24,Cold-Chain Haulage,2963
GRN-00131,PO-2024-00131,2025-05-24,Cold-Chain Haulage,3964
GRN-00132,PO-2024-00132,2024-03-15,Permitted Colour,922
GRN-00132,PO-2024-00132,2024-03-15,Mint Flavour,2556
GRN-00132,PO-2024-00132,2024-03-15,Mint Flavour,2783
GRN-00133,PO-2024-00133,2025-06-20,Menthol Crystals,2606
GRN-00134,PO-2024-00134,2025-06-18,Mint Flavour,2332
GRN-00134,PO-2024-00134,2025-06-18,Mint Flavour,1089
GRN-00135,PO-2024-00135,2024-07-08,Citric Acid,4535
GRN-00135,PO-2024-00135,2024-07-08,Citric Acid,4115
GRN-00135,PO-2024-00135,2024-07-08,Citric Acid,1214
GRN-00135,PO-2024-00135,2024-07-08,Permitted Colour,3756
GRN-00136,PO-2024-00136,2024-03-29,Milk Solids,525
GRN-00136,PO-2024-00136,2024-03-29,Glucose Syrup,1573
GRN-00136,PO-2024-00136,2024-03-29,Menthol Crystals,2692
GRN-00136,PO-2024-00136,2024-03-29,Edible Starch,1172
GRN-00137,PO-2024-00137,2024-02-24,Mono Carton,3746
GRN-00137,PO-2024-00137,2024-02-24,Shrink Sleeve,4124
GRN-00137,PO-2024-00137,2024-02-24,PET Bottle 500ml,372
GRN-00138,PO-2024-00138,2024-09-18,Warehousing,2145
GRN-00139,PO-2024-00139,2024-07-10,Cold-Chain Haulage,2717
GRN-00139,PO-2024-00139,2024-07-10,Primary Freight,3763
GRN-00139,PO-2024-00139,2024-07-10,Secondary Freight,2087
GRN-00140,PO-2024-00140,2025-06-06,Permitted Colour,1719
GRN-00141,PO-2024-00141,2024-02-11,Housekeeping,4275
GRN-00141,PO-2024-00141,2024-02-11,AMC-Machinery,729
GRN-00141,PO-2024-00141,2024-02-11,Security Services,4593
GRN-00141,PO-2024-00141,2024-02-11,AMC-Machinery,1994
GRN-00142,PO-2024-00142,2024-04-25,Cold-Chain Haulage,3297
GRN-00142,PO-2024-00142,2024-04-25,Cold-Chain Haulage,1296
GRN-00143,PO-2024-00143,2024-08-11,PET Bottle 500ml,2347
GRN-00143,PO-2024-00143,2024-08-11,PET Bottle 500ml,181
GRN-00143,PO-2024-00143,2024-08-11,Shrink Sleeve,1891
GRN-00144,PO-2024-00144,2024-06-03,IT AMC,1775
GRN-00144,PO-2024-00144,2024-06-03,AMC-Machinery,2828
GRN-00144,PO-2024-00144,2024-06-03,AMC-Machinery,704
GRN-00144,PO-2024-00144,2024-06-03,IT AMC,2633
GRN-00145,PO-2024-00145,2024-07-15,Wrapper Film,3010
GRN-00146,PO-2024-00146,2025-04-15,Corrugated Box,4158
GRN-00146,PO-2024-00146,2025-04-15,Mono Carton,2406
GRN-00147,PO-2024-00147,2024-11-21,IT AMC,3413
GRN-00147,PO-2024-00147,2024-11-21,Housekeeping,4467
GRN-00148,PO-2024-00148,2024-10-12,Mint Flavour,3275
GRN-00149,PO-2024-00149,2024-02-09,Primary Freight,1360
GRN-00149,PO-2024-00149,2024-02-09,Cold-Chain Haulage,2122
GRN-00150,PO-2024-00150,2025-01-14,Shrink Sleeve,301
GRN-00151,PO-2024-00151,2024-05-04,Citric Acid,561
GRN-00151,PO-2024-00151,2024-05-04,Citric Acid,4108
GRN-00151,PO-2024-00151,2024-05-04,Cocoa Mass,2240
GRN-00151,PO-2024-00151,2024-05-04,Mint Flavour,268
GRN-00152,PO-2024-00152,2024-11-25,Mint Flavour,893
GRN-00152,PO-2024-00152,2024-11-25,Cocoa Mass,1663
GRN-00152,PO-2024-00152,2024-11-25,Cardamom Oil,2518
GRN-00152,PO-2024-00152,2024-11-25,Permitted Colour,4784
GRN-00153,PO-2024-00153,2024-09-13,Cold-Chain Haulage,1123
GRN-00153,PO-2024-00153,2024-09-13,Primary Freight,1006
GRN-00154,PO-2024-00154,2024-07-25,Primary Freight,2186
GRN-00154,PO-2024-00154,2024-07-25,Secondary Freight,1926
GRN-00155,PO-2024-00155,2025-02-28,Consulting,4848
GRN-00155,PO-2024-00155,2025-02-28,IT AMC,2861
GRN-00156,PO-2024-00156,2024-07-11,Housekeeping,1924
GRN-00157,PO-2024-00157,2025-02-13,Cocoa Mass,1111
GRN-00157,PO-2024-00157,2025-02-13,Cocoa Mass,3802
GRN-00157,PO-2024-00157,2025-02-13,Cardamom Oil,3789
GRN-00157,PO-2024-00157,2025-02-13,Cocoa Mass,4854
GRN-00158,PO-2024-00158,2025-06-20,Refined Sugar,4243
GRN-00158,PO-2024-00158,2025-06-20,Edible Starch,1992
GRN-00158,PO-2024-00158,2025-06-20,Refined Sugar,4895
GRN-00158,PO-2024-00158,2025-06-20,Edible Starch,72
GRN-00159,PO-2024-00159,2024-01-22,Menthol Crystals,4268
GRN-00160,PO-2024-00160,2024-01-14,Mono Carton,1687
GRN-00160,PO-2024-00160,2024-01-14,Wrapper Film,4942
GRN-00160,PO-2024-00160,2024-01-14,Wrapper Film,1896
GRN-00160,PO-2024-00160,2024-01-14,PET Bottle 500ml,3376
GRN-00161,PO-2024-00161,2024-05-07,Cold-Chain Haulage,429
GRN-00161,PO-2024-00161,2024-05-07,Secondary Freight,4819
GRN-00161,PO-2024-00161,2024-05-07,Secondary Freight,4658
GRN-00161,PO-2024-00161,2024-05-07,Secondary Freight,2991
GRN-00162,PO-2024-00162,2025-03-23,Cardamom Oil,2843
GRN-00163,PO-2024-00163,2024-09-04,Citric Acid,2117
GRN-00164,PO-2024-00164,2025-03-30,Corrugated Box,1553
GRN-00164,PO-2024-00164,2025-03-30,Corrugated Box,377
GRN-00164,PO-2024-00164,2025-03-30,Shrink Sleeve,168
GRN-00165,PO-2024-00165,2024-04-10,Permitted Colour,1914
GRN-00166,PO-2024-00166,2024-10-27,Cold-Chain Haulage,741
GRN-00166,PO-2024-00166,2024-10-27,Cold-Chain Haulage,2486
GRN-00167,PO-2024-00167,2024-04-25,Milk Solids,2103
GRN-00167,PO-2024-00167,2024-04-25,Refined Sugar,4873
GRN-00167,PO-2024-00167,2024-04-25,Milk Solids,4954
GRN-00167,PO-2024-00167,2024-04-25,Milk Solids,4363
GRN-00168,PO-2024-00168,2024-01-24,Cocoa Mass,4968
GRN-00168,PO-2024-00168,2024-01-24,Cocoa Mass,3320
GRN-00169,PO-2024-00169,2024-10-26,Primary Freight,1589
GRN-00170,PO-2024-00170,2024-06-03,Permitted Colour,4687
GRN-00170,PO-2024-00170,2024-06-03,Mint Flavour,821
GRN-00170,PO-2024-00170,2024-06-03,Cocoa Mass,4362
GRN-00170,PO-2024-00170,2024-06-03,Citric Acid,2858
GRN-00171,PO-2024-00171,2025-06-13,Primary Freight,987
GRN-00171,PO-2024-00171,2025-06-13,Cold-Chain Haulage,1029
GRN-00171,PO-2024-00171,2025-06-13,Cold-Chain Haulage,4823
GRN-00171,PO-2024-00171,2025-06-13,Primary Freight,681
GRN-00172,PO-2024-00172,2024-12-17,Housekeeping,3150
GRN-00172,PO-2024-00172,2024-12-17,Consulting,678
