invoice_no,po_no,grn_no,vendor_code,vendor_gstin,invoice_date,plant_code,subtotal,gst_pct,gst_amount,total_amount
INV/000070,PO-2024-00070,GRN-00070,VEND-0098,11SYN9583H1Z2,2024-06-17,PLNT-09,2503609.38,12,300433.13,2804042.51
INV/000071,PO-2024-00071,GRN-00071,VEND-0031,17SYN8242C1Z7,2024-05-14,PLNT-07,1222448.28,18,220040.69,1442488.97
INV/000072,PO-2024-00072,GRN-00072,VEND-0001,05SYN7964D1Z5,2024-11-11,PLNT-04,6894981.31,12,827397.76,7722379.07
INV/000073,PO-2024-00073,GRN-00073,VEND-0077,21SYN2590G1Z4,2025-03-11,PLNT-03,280056.48,5,14002.82,294059.3
INV/000074,PO-2024-00074,GRN-00074,VEND-0111,21SYN4337E1Z2,2025-06-19,PLNT-05,790797.4,5,39539.87,830337.27
INV/000075,PO-2024-00075,GRN-00075,VEND-0001,05SYN7964D1Z5,2024-06-08,PLNT-04,136647.71,18,24596.59,161244.3
INV/000076,PO-2024-00076,GRN-00076,VEND-0060,07SYN9104G1Z4,2025-01-23,PLNT-09,813980.82,5,40699.04,854679.86
INV/000077,PO-2024-00077,GRN-00077,VEND-0058,05SYN7943A1Z6,2024-06-07,PLNT-04,3121897.15,18,561941.49,3683838.64
INV/000078,PO-2024-00078,GRN-00078,VEND-0034,06SYN8493G1Z1,2024-07-07,PLNT-10,4022348.24,12,482681.79,4505030.03
INV/000079,PO-2024-00079,,VEND-0081,06SYN6256H1Z0,2024-04-22,PLNT-11,1348144.11,5,67407.21,1415551.32
INV/000080,PO-2024-00080,GRN-00080,VEND-0014,24SYN2486G1Z6,2025-05-30,PLNT-14,454547.7,5,22727.39,477275.09
INV/000081,PO-2024-00081,GRN-00081,VEND-0087,08SYN6288G1Z7,2024-03-01,PLNT-06,3726311.43,18,670736.06,4397047.49
INV/000082,PO-2024-00082,GRN-00082,VEND-0118,03SYN3688G1Z3,2025-07-10,PLNT-12,3040370.52,12,364844.46,3405214.98
INV/000083,PO-2024-00083,GRN-00083,VEND-0088,07SYN3699H1Z8,2024-08-05,PLNT-04,1172183.4,18,210993.01,1383176.41
INV/000084,PO-2024-00084,GRN-00084,VEND-0092,35SYN4762F1Z4,2024-05-10,PLNT-09,1499332.76,5,74966.64,1574299.4
INV/000085,PO-2024-00085,GRN-00085,VEND-0007,31SYN5053F1Z4,2025-02-19,PLNT-10,1434817.3,5,71740.87,1506558.17
INV/000086,PO-2024-00086,GRN-00086,VEND-0044,24SYN6087B1Z4,2025-03-04,PLNT-07,1000024.63,5,50001.23,1050025.86
INV/000087,PO-2024-00087,GRN-00087,VEND-0054,29SYN9963D1Z5,2024-11-23,PLNT-12,2287877.2,5,114393.86,2402271.06
INV/000088,PO-2024-00088,GRN-00088,VEND-0034,06SYN8493G1Z1,2024-04-12,PLNT-09,2030641.35,5,101532.07,2132173.42
INV/000089,PO-2024-00089,GRN-00089,VEND-0071,11SYN7451D1Z7,2025-03-31,PLNT-02,642471.4,12,77096.57,719567.97
INV/000090,PO-2024-00090,GRN-00090,VEND-0015,26SYN4190A1Z0,2024-06-03,PLNT-05,1008250.2,5,50412.51,1058662.71
INV/000091,PO-2024-00091,GRN-00091,VEND-0112,31SYN5139H1Z7,2025-02-15,PLNT-03,3736743.75,18,672613.88,4409357.63
INV/000091-D,PO-2024-00091,GRN-00091,VEND-0112,31SYN5139H1Z7,2025-02-15,PLNT-03,3736743.75,18,672613.88,4409357.63
INV/000092,PO-2024-00092,GRN-00092,VEND-0052,12SYN4908F1Z5,2024-02-07,PLNT-05,3895814.65,18,701246.64,4597061.29
INV/000093,PO-2024-00093,GRN-00093,VEND-0003,05SYN7275D1Z1,2024-08-03,PLNT-04,2651669.25,5,132583.46,2784252.71
INV/000094,PO-2024-00094,GRN-00094,VEND-0027,21SYN7027E1Z8,2024-05-19,PLNT-12,4760279.1,18,856850.24,5617129.34
INV/000095,PO-2024-00095,GRN-00095,VEND-0092,35SYN4762F1Z4,2025-02-24,PLNT-10,4300553.19,18,774099.57,5074652.76
INV/000096,PO-2024-00096,GRN-00096,VEND-0082,24SYN6658A1Z0,2024-02-26,PLNT-13,482578.51,12,57909.42,540487.93
INV/000097,PO-2024-00097,GRN-00097,VEND-0038,29SYN6000D1Z4,2025-06-09,PLNT-15,2593445.96,18,466820.27,3060266.23
INV/000098,PO-2024-00098,GRN-00098,VEND-0002,17SYN4896A1Z7,2024-12-10,PLNT-12,1292786.93,5,64639.35,1357426.28
INV/000099,PO-2024-00099,GRN-00099,VEND-0105,06SYN3530G1Z2,2024-12-31,PLNT-05,1075985.04,12,129118.2,1205103.24
INV/000100,PO-2024-00100,GRN-00100,VEND-0091,12SYN1205G1Z1,2024-12-01,PLNT-13,916970.7,5,45848.54,962819.24
INV/000101,PO-2024-00101,GRN-00101,VEND-0018,08SYN4274A1Z4,2024-05-23,PLNT-12,2101430.76,18,378257.54,2479688.3
INV/000102,PO-2024-00102,GRN-00102,VEND-0039,19SYN6118B1Z0,2024-10-12,PLNT-02,351951.06,18,63351.19,415302.25
INV/000103,PO-2024-00103,GRN-00103,VEND-0030,12SYN7909B1Z7,2025-05-12,PLNT-14,4353261.21,12,522391.35,4875652.56
INV/000104,PO-2024-00104,GRN-00104,VEND-0089,36SYN6228E1Z4,2024-02-17,PLNT-08,3035938.95,18,546469.01,3582407.96
INV/000105,PO-2024-00105,GRN-00105,VEND-0057,13SYN1204F1Z0,2024-09-07,PLNT-06,4927261.92,18,886907.15,5814169.07
INV/000106,PO-2024-00106,GRN-00106,VEND-0028,17SYN2446H1Z7,2024-05-12,PLNT-12,1412107.57,12,169452.91,1581560.48
INV/000107,PO-2024-00107,GRN-00107,VEND-0020,07SYN7689A1Z6,2024-12-09,PLNT-13,1540421.62,12,184850.59,1725272.21
INV/000108,PO-2024-00108,GRN-00108,VEND-0020,07SYN7689A1Z6,2025-02-19,PLNT-02,1196062.74,12,143527.53,1339590.27
INV/000109,PO-2024-00109,GRN-00109,VEND-0092,35SYN4762F1Z4,2024-07-08,PLNT-04,2169050.06,12,260286.01,2429336.07
INV/000110,PO-2024-00110,GRN-00110,VEND-0027,21SYN7027E1Z8,2024-03-21,PLNT-14,2090721.36,18,376329.84,2467051.2
INV/000111,PO-2024-00111,GRN-00111,VEND-0071,11SYN7451D1Z7,2024-11-16,PLNT-10,45357.43,12,5442.89,50800.32
INV/000112,PO-2024-00112,GRN-00112,VEND-0029,24SYN7301G1Z0,2025-05-14,PLNT-07,7095840.26,5,354792.01,7450632.27
INV/000113,PO-2024-00113,GRN-00113,VEND-0037,18SYN7345C1Z2,2024-08-05,PLNT-14,1297583.04,12,155709.96,1453293.0
INV/000113-D,PO-2024-00113,GRN-00113,VEND-0037,18SYN7345C1Z2,2024-08-05,PLNT-14,1297583.04,12,155709.96,1453293.0
INV/000114,PO-2024-00114,GRN-00114,VEND-0068,33SYN5455H1Z6,2025-05-25,PLNT-15,8368389.2,18,1506310.06,9874699.26
INV/000115,PO-2024-00115,GRN-00115,VEND-0022,35SYN4697H1Z2,2024-01-22,PLNT-04,339510.93,12,40741.31,380252.24
INV/000116,PO-2024-00116,GRN-00116,VEND-0093,18SYN8043D1Z0,2025-03-18,PLNT-07,3261468.27,12,391376.19,3652844.46
INV/000117,PO-2024-00117,GRN-00117,VEND-0093,18SYN8043D1Z0,2025-01-09,PLNT-15,2044525.5,18,368014.59,2412540.09
INV/000118,PO-2024-00118,GRN-00118,VEND-0081,06SYN6256H1Z0,2024-04-13,PLNT-14,6384098.65,12,766091.84,7150190.49
INV/000119,PO-2024-00119,GRN-00119,VEND-0031,17SYN8242C1Z7,2024-04-12,PLNT-14,7293265.17,5,364663.26,7657928.43
INV/000120,PO-2024-00120,GRN-00120,VEND-0079,19SYN7474H1Z5,2024-08-24,PLNT-02,931184.08,5,46559.2,977743.28
INV/000121,PO-2024-00121,GRN-00121,VEND-0098,11SYN9583H1Z2,2024-07-08,PLNT-13,3923480.56,5,196174.03,4119654.59
INV/000122,PO-2024-00122,GRN-00122,VEND-0079,19SYN7474H1Z5,2025-02-23,PLNT-09,1196455.14,18,215361.93,1411817.07
INV/000123,PO-2024-00123,GRN-00123,VEND-0089,36SYN6228E1Z4,2025-02-17,PLNT-14,6422012.29,18,1155962.21,7577974.5
INV/000124,PO-2024-00124,GRN-00124,VEND-0045,05SYN6032E1Z7,2025-02-15,PLNT-04,1319830.58,5,65991.53,1385822.11
INV/000125,PO-2024-00125,GRN-00125,VEND-0069,18SYN3392H1Z6,2024-12-06,PLNT-15,3603969.5,18,648714.51,4252684.01
INV/000126,PO-2024-00126,GRN-00126,VEND-0058,05SYN7943A1Z6,2024-11-08,PLNT-07,4306484.87,12,516778.18,4823263.05
INV/000127,PO-2024-00127,GRN-00127,VEND-0077,21SYN2590G1Z4,2024-07-15,PLNT-12,3454057.07,5,172702.85,3626759.92
INV/000128,PO-2024-00128,GRN-00128,VEND-0053,06SYN6012A1Z4,2024-06-13,PLNT-07,2182009.64,5,109100.48,2291110.12
INV/000129,PO-2024-00129,GRN-00129,VEND-0053,06SYN6012A1Z4,2024-11-11,PLNT-14,174809.34,5,8740.47,183549.81
INV/000130,PO-2024-00130,GRN-00130,VEND-0031,17SYN8242C1Z7,2024-05-15,PLNT-04,2242164.62,5,112108.23,2354272.85
INV/000131,PO-2024-00131,GRN-00131,VEND-0118,03SYN3688G1Z3,2025-06-02,PLNT-04,3951079.22,18,711194.26,4662273.48
INV/000132,PO-2024-00132,GRN-00132,VEND-0028,17SYN2446H1Z7,2024-03-23,PLNT-09,3243459.78,5,162172.99,3405632.77
INV/000133,PO-2024-00133,GRN-00133,VEND-0001,05SYN7964D1Z5,2025-06-29,PLNT-09,242149.52,18,43586.91,285736.43
INV/000134,PO-2024-00134,GRN-00134,VEND-0044,24SYN6087B1Z4,2025-06-21,PLNT-01,1563992.54,12,187679.1,1751671.64
INV/000135,PO-2024-00135,GRN-00135,VEND-0015,26SYN4190A1Z0,2024-07-14,PLNT-11,5488442.71,12,658613.13,6147055.84
INV/000136,PO-2024-00136,GRN-00136,VEND-0030,12SYN7909B1Z7,2024-04-06,PLNT-03,797255.17,5,39862.76,837117.93
INV/000137,PO-2024-00137,GRN-00137,VEND-0008,14SYN2642D1Z8,2024-02-27,PLNT-01,1440689.12,12,172882.69,1613571.81
INV/000138,PO-2024-00138,GRN-00138,VEND-0049,36SYN8679G1Z0,2024-09-18,PLNT-03,1428827.4,18,257188.93,1686016.33
INV/000139,PO-2024-00139,GRN-00139,VEND-0018,08SYN4274A1Z4,2024-07-12,PLNT-10,2817519.73,12,338102.37,3155622.1
INV/000140,PO-2024-00140,GRN-00140,VEND-0048,09SYN3488B1Z3,2025-06-13,PLNT-10,282620.79,5,14131.04,296751.83
INV/000141,PO-2024-00141,GRN-00141,VEND-0081,06SYN6256H1Z0,2024-02-17,PLNT-08,8197121.39,5,409856.07,8606977.46
INV/000142,PO-2024-00142,GRN-00142,VEND-0072,17SYN7631F1Z2,2024-04-27,PLNT-03,1541712.42,12,185005.49,1726717.91
INV/000143,PO-2024-00143,GRN-00143,VEND-0085,08SYN3968A1Z5,2024-08-14,PLNT-03,674887.71,18,121479.79,796367.5
INV/000144,PO-2024-00144,GRN-00144,VEND-0103,12SYN5985A1Z2,2024-06-04,PLNT-12,2879026.78,18,518224.82,3397251.6
INV/000145,PO-2024-00145,GRN-00145,VEND-0085,08SYN3968A1Z5,2024-07-15,PLNT-13,1759314.9,18,316676.68,2075991.58
INV/000146,PO-2024-00146,GRN-00146,VEND-0084,03SYN2614F1Z4,2025-04-15,PLNT-10,3650025.36,5,182501.27,3832526.63
INV/000147,PO-2024-00147,GRN-00147,VEND-0119,35SYN9930F1Z1,2024-11-22,PLNT-10,1539562.82,12,184747.54,1724310.36
INV/000148,PO-2024-00148,GRN-00148,VEND-0004,05SYN5737A1Z8,2024-10-12,PLNT-01,962162.25,12,115459.47,1077621.72
INV/000149,PO-2024-00149,GRN-00149,VEND-0046,12SYN6424A1Z0,2024-02-12,PLNT-06,2449959.24,18,440992.66,2890951.9
INV/000150,PO-2024-00150,GRN-00150,VEND-0003,05SYN7275D1Z1,2025-01-21,PLNT-10,168758.66,18,30376.56,199135.22
INV/000151,PO-2024-00151,GRN-00151,VEND-0063,07SYN4428H1Z2,2024-05-13,PLNT-08,4852043.37,12,582245.2,5434288.57
INV/000152,PO-2024-00152,GRN-00152,VEND-0106,25SYN7571D1Z6,2024-12-03,PLNT-12,5467740.2,12,656128.82,6123869.02
INV/000153,PO-2024-00153,GRN-00153,VEND-0082,24SYN6658A1Z0,2024-09-19,PLNT-02,897729.59,12,107727.55,1005457.14
INV/000154,PO-2024-00154,GRN-00154,VEND-0040,06SYN3209F1Z1,2024-07-29,PLNT-03,2869992.26,12,344399.07,3214391.33
INV/000155,PO-2024-00155,GRN-00155,VEND-0103,12SYN5985A1Z2,2025-03-02,PLNT-14,3739909.33,18,673183.68,4413093.01
INV/000156,PO-2024-00156,GRN-00156,VEND-0105,06SYN3530G1Z2,2024-07-14,PLNT-13,177816.08,12,21337.93,199154.01
INV/000157,PO-2024-00157,GRN-00157,VEND-0100,17SYN3560A1Z0,2025-02-16,PLNT-14,6920061.16,5,346003.06,7266064.22
INV/000158,PO-2024-00158,GRN-00158,VEND-0042,18SYN8694E1Z5,2025-06-26,PLNT-03,4827114.62,18,868880.63,5695995.25
INV/000159,PO-2024-00159,GRN-00159,VEND-0021,34SYN7702E1Z3,2024-01-29,PLNT-14,1924014.4,12,230881.73,2154896.13
INV/000160,PO-2024-00160,GRN-00160,VEND-0053,06SYN6012A1Z4,2024-01-21,PLNT-08,6699355.08,5,334967.75,7034322.83
INV/000161,PO-2024-00161,GRN-00161,VEND-0082,24SYN6658A1Z0,2024-05-09,PLNT-10,5884773.12,18,1059259.16,6944032.28
INV/000161-D,PO-2024-00161,GRN-00161,VEND-0082,24SYN6658A1Z0,2024-05-09,PLNT-10,5884773.12,18,1059259.16,6944032.28
INV/000162,PO-2024-00162,GRN-00162,VEND-0087,08SYN6288G1Z7,2025-03-27,PLNT-05,2513411.01,18,452413.98,2965824.99
INV/000163,PO-2024-00163,GRN-00163,VEND-0037,18SYN7345C1Z2,2024-09-07,PLNT-15,240512.37,12,28861.48,269373.85
INV/000164,PO-2024-00164,GRN-00164,VEND-0120,33SYN1818E1Z6,2025-04-01,PLNT-02,1472491.28,18,265048.43,1737539.71
INV/000165,PO-2024-00165,GRN-00165,VEND-0108,05SYN6531D1ZX,2024-04-16,PLNT-10,1071629.46,18,192893.3,1264522.76
INV/000166,PO-2024-00166,GRN-00166,VEND-0046,12SYN6424A1Z0,2024-10-29,PLNT-08,365059.02,5,18252.95,383311.97
INV/000167,PO-2024-00167,GRN-00167,VEND-0065,23SYN4255D1Z8,2024-04-27,PLNT-09,7586780.66,18,1365620.52,8952401.18
INV/000168,PO-2024-00168,GRN-00168,VEND-0002,17SYN4896A1Z7,2024-01-29,PLNT-10,6404960.96,18,1152892.97,7557853.93
INV/000169,PO-2024-00169,GRN-00169,VEND-0076,12SYN8277G1Z5,2024-10-29,PLNT-07,1199742.67,12,143969.12,1343711.79
INV/000170,PO-2024-00170,GRN-00170,VEND-0051,31SYN3532C1Z8,2024-06-03,PLNT-06,5688828.51,12,682659.42,6371487.93
INV/000170-D,PO-2024-00170,GRN-00170,VEND-0051,31SYN3532C1Z8,2024-06-03,PLNT-06,5688828.51,12,682659.42,6371487.93
INV/000171,PO-2024-00171,GRN-00171,VEND-0097,20SYN5260B1Z7,2025-06-16,PLNT-05,4633948.22,18,834110.68,5468058.9
INV/000172,PO-2024-00172,GRN-00172,VEND-0055,16SYN4657B1Z3,2024-12-20,PLNT-10,6589103.52,12,790692.42,7379795.94
INV/000173,PO-2024-00173,,VEND-0050,10SYN8394D1Z0,2024-09-20,PLNT-07,674553.04,12,80946.36,755499.4
INV/000174,PO-2024-00174,GRN-00174,VEND-0067,13SYN9656C1Z3,2025-03-15,PLNT-13,2768411.04,18,498313.99,3266725.03
INV/000175,PO-2024-00175,GRN-00175,VEND-0007,31SYN5053F1Z4,2024-05-06,PLNT-07,4902385.76,5,245119.29,5147505.05
INV/000175-D,PO-2024-00175,GRN-00175,VEND-0007,31SYN5053F1Z4,2024-05-06,PLNT-07,4902385.76,5,245119.29,5147505.05
INV/000176,PO-2024-00176,GRN-00176,VEND-0044,24SYN6087B1Z4,2024-03-26,PLNT-15,6371575.72,18,1146883.63,7518459.35
INV/000177,PO-2024-00177,GRN-00177,VEND-0089,36SYN6228E1Z4,2025-01-10,PLNT-01,2956094.01,5,147804.7,3103898.71
INV/000178,PO-2024-00178,GRN-00178,VEND-0025,18SYN2169F1Z6,2024-10-28,PLNT-14,2044263.77,18,367967.48,2412231.25
INV/000179,PO-2024-00179,GRN-00179,VEND-0074,33SYN2148A1Z4,2025-02-15,PLNT-14,1861376.1,12,223365.13,2084741.23
INV/000180,PO-2024-00180,GRN-00180,VEND-0100,17SYN3560A1Z0,2024-02-05,PLNT-14,2787656.62,12,334518.79,3122175.41
INV/000181,PO-2024-00181,GRN-00181,VEND-0092,35SYN4762F1ZX,2024-02-25,PLNT-15,679411.5,12,81529.38,760940.88
INV/000182,PO-2024-00182,GRN-00182,VEND-0109,36SYN3071D1Z2,2025-06-18,PLNT-09,4608789.6,18,829582.13,5438371.73
INV/000183,PO-2024-00183,GRN-00183,VEND-0020,07SYN7689A1Z6,2025-03-03,PLNT-04,3611358.69,12,433363.04,4044721.73
