promo_id,sku,category,promo_type,discount_depth,start_week,duration_weeks,planned_spend_inr
PROMO-0050,FMCG-MOUT-035,MouthFreshener,festival,0.08,2025-10-27,3,152175.0
PROMO-0051,FMCG-DAIR-098,Dairy,trade,0.2,2025-02-10,2,77085.0
PROMO-0052,FMCG-SPIC-130,Spices,consumer,0.08,2025-11-24,2,144092.0
PROMO-0053,FMCG-BEVE-081,Beverages,consumer,0.12,2023-11-20,1,210374.0
PROMO-0054,FMCG-CONF-005,Confectionery,festival,0.2,2024-11-04,2,70320.0
PROMO-0055,FMCG-SPIC-128,Spices,trade,0.15,2024-12-16,2,173097.0
PROMO-0056,FMCG-SNAC-107,Snacks,consumer,0.2,2024-06-24,2,285551.0
PROMO-0057,FMCG-SPIC-138,Spices,trade,0.25,2024-05-20,1,3444820.0
PROMO-0058,FMCG-CONF-002,Confectionery,trade,0.08,2025-09-29,2,30038.0
PROMO-0059,FMCG-MOUT-042,MouthFreshener,consumer,0.25,2024-06-10,1,409899.0
PROMO-0060,FMCG-MOUT-044,MouthFreshener,consumer,0.12,2024-05-13,1,370992.0
PROMO-0061,FMCG-BEVE-067,Beverages,trade,0.05,2025-11-03,3,20622.0
PROMO-0062,FMCG-SPIC-124,Spices,festival,0.15,2025-10-20,3,177013.0
PROMO-0063,FMCG-BEVE-078,Beverages,trade,0.1,2024-01-22,2,174000.0
PROMO-0064,FMCG-MOUT-051,MouthFreshener,consumer,0.2,2025-08-11,2,57103.0
PROMO-0065,FMCG-BEVE-061,Beverages,festival,0.12,2024-03-11,3,163065.0
PROMO-0066,FMCG-DAIR-092,Dairy,trade,0.12,2024-11-25,3,844358.0
PROMO-0067,FMCG-SPIC-126,Spices,trade,0.1,2024-02-26,1,111437.0
PROMO-0068,FMCG-SPIC-132,Spices,festival,0.08,2024-09-16,3,494199.0
PROMO-0069,FMCG-CONF-010,Confectionery,festival,0.15,2023-12-11,3,24150.0
PROMO-0070,FMCG-DAIR-089,Dairy,festival,0.1,2025-09-29,1,46745.0
PROMO-0071,FMCG-SNAC-110,Snacks,consumer,0.15,2023-10-16,3,314936.0
PROMO-0072,FMCG-BEVE-080,Beverages,consumer,0.15,2024-07-29,3,502983.0
PROMO-0073,FMCG-CONF-016,Confectionery,trade,0.1,2024-08-05,1,33801.0
PROMO-0074,FMCG-CONF-020,Confectionery,festival,0.08,2023-10-23,1,12049.0
PROMO-0075,FMCG-MOUT-044,MouthFreshener,trade,0.12,2024-01-29,3,308819.0
PROMO-0076,FMCG-DAIR-083,Dairy,trade,0.25,2025-05-12,3,328134.0
PROMO-0077,FMCG-SNAC-103,Snacks,trade,0.25,2024-06-10,3,262647.0
PROMO-0078,FMCG-CONF-017,Confectionery,festival,0.08,2024-11-11,2,674.0
PROMO-0079,FMCG-SNAC-107,Snacks,festival,0.08,2024-02-19,1,40126.0
PROMO-0080,FMCG-MOUT-057,MouthFreshener,festival,0.12,2025-04-07,3,116686.0
PROMO-0081,FMCG-CONF-015,Confectionery,consumer,0.05,2025-10-27,3,8926.0
PROMO-0082,FMCG-BEVE-082,Beverages,festival,0.12,2024-03-11,3,224427.0
PROMO-0083,FMCG-CONF-014,Confectionery,festival,0.12,2023-12-04,3,8065.0
PROMO-0084,FMCG-MOUT-038,MouthFreshener,festival,0.1,2024-01-08,2,55131.0
PROMO-0085,FMCG-MOUT-031,MouthFreshener,trade,0.25,2025-12-01,1,409561.0
PROMO-0086,FMCG-CONF-012,Confectionery,festival,0.2,2025-03-24,1,29782.0
PROMO-0087,FMCG-BEVE-059,Beverages,festival,0.05,2025-11-24,3,13939.0
PROMO-0088,FMCG-MOUT-045,MouthFreshener,consumer,0.15,2024-12-23,1,4885.0
PROMO-0089,FMCG-MOUT-034,MouthFreshener,festival,0.25,2025-05-12,1,217046.0
PROMO-0090,FMCG-CONF-013,Confectionery,trade,0.1,2025-12-01,1,44892.0
PROMO-0091,FMCG-BEVE-068,Beverages,consumer,0.1,2025-05-26,3,81503.0
PROMO-0092,FMCG-SNAC-110,Snacks,consumer,0.08,2025-08-25,1,34654.0
PROMO-0093,FMCG-DAIR-098,Dairy,festival,0.05,2025-08-11,1,89860.0
PROMO-0094,FMCG-SPIC-129,Spices,consumer,0.2,2024-07-01,2,497795.0
PROMO-0095,FMCG-BEVE-063,Beverages,trade,0.15,2025-09-08,3,330597.0
PROMO-0096,FMCG-DAIR-097,Dairy,trade,0.15,2024-01-01,2,484626.0
PROMO-0097,FMCG-MOUT-058,MouthFreshener,festival,0.25,2025-03-17,3,42489.0
PROMO-0098,FMCG-MOUT-051,MouthFreshener,festival,0.1,2024-12-09,1,22017.0
PROMO-0099,FMCG-MOUT-034,MouthFreshener,festival,0.15,2025-06-02,3,40125.0
PROMO-0100,FMCG-DAIR-089,Dairy,trade,0.08,2025-09-22,1,67118.0
PROMO-0101,FMCG-BEVE-064,Beverages,trade,0.1,2024-01-29,1,151996.0
PROMO-0102,FMCG-SNAC-112,Snacks,festival,0.15,2025-10-27,1,108062.0
PROMO-0103,FMCG-SPIC-119,Spices,festival,0.05,2024-02-05,1,36547.0
PROMO-0104,FMCG-SNAC-112,Snacks,consumer,0.1,2024-01-01,2,6777.0
PROMO-0105,FMCG-BEVE-076,Beverages,trade,0.05,2024-03-04,1,4587.0
PROMO-0106,FMCG-DAIR-085,Dairy,consumer,0.1,2025-01-27,2,293001.0
PROMO-0107,FMCG-BEVE-080,Beverages,trade,0.08,2025-08-04,1,185074.0
PROMO-0108,FMCG-SNAC-112,Snacks,festival,0.08,2025-09-15,3,4702.0
PROMO-0109,FMCG-SNAC-101,Snacks,trade,0.05,2024-11-04,1,20451.0
PROMO-0110,FMCG-CONF-016,Confectionery,consumer,0.2,2024-04-22,2,31372.0
PROMO-0111,FMCG-MOUT-049,MouthFreshener,trade,0.25,2024-05-20,1,372797.0
PROMO-0112,FMCG-CONF-025,Confectionery,festival,0.25,2024-12-02,3,25170.0
PROMO-0113,FMCG-MOUT-033,MouthFreshener,trade,0.25,2023-12-25,1,1599674.0
PROMO-0114,FMCG-SNAC-106,Snacks,festival,0.08,2023-12-18,3,134798.0
PROMO-0115,FMCG-BEVE-062,Beverages,festival,0.12,2024-04-15,3,104798.0
PROMO-0116,FMCG-SPIC-129,Spices,consumer,0.08,2025-06-30,2,252894.0
PROMO-0117,FMCG-SNAC-114,Snacks,festival,0.15,2025-05-26,1,282936.0
PROMO-0118,FMCG-BEVE-078,Beverages,trade,0.12,2024-11-25,3,256120.0
PROMO-0119,FMCG-SPIC-119,Spices,festival,0.15,2025-06-30,2,392901.0
PROMO-0120,FMCG-SPIC-127,Spices,trade,0.2,2024-05-06,1,1759239.0
PROMO-0121,FMCG-CONF-003,Confectionery,consumer,0.2,2024-02-12,2,37174.0
PROMO-0122,FMCG-MOUT-054,MouthFreshener,festival,0.12,2024-07-22,2,12597.0
PROMO-0123,FMCG-MOUT-042,MouthFreshener,consumer,0.2,2024-09-16,2,334185.0
PROMO-0124,FMCG-CONF-010,Confectionery,festival,0.12,2024-05-27,3,19853.0
PROMO-0125,FMCG-SPIC-129,Spices,trade,0.12,2025-08-25,2,169201.0
PROMO-0126,FMCG-BEVE-060,Beverages,trade,0.08,2024-12-09,3,258228.0
PROMO-0127,FMCG-MOUT-048,MouthFreshener,consumer,0.05,2024-03-11,3,93759.0
PROMO-0128,FMCG-CONF-007,Confectionery,festival,0.05,2025-03-03,1,22312.0
PROMO-0129,FMCG-DAIR-092,Dairy,trade,0.15,2023-10-30,1,793093.0
PROMO-0130,FMCG-CONF-023,Confectionery,trade,0.15,2025-09-01,3,5645.0
PROMO-0131,FMCG-DAIR-097,Dairy,trade,0.05,2025-03-03,1,266754.0
PROMO-0132,FMCG-BEVE-078,Beverages,festival,0.2,2023-12-04,2,147551.0
PROMO-0133,FMCG-SNAC-102,Snacks,trade,0.05,2025-11-24,3,31493.0
PROMO-0134,FMCG-MOUT-037,MouthFreshener,trade,0.05,2025-01-27,2,60146.0
PROMO-0135,FMCG-SPIC-129,Spices,consumer,0.25,2025-10-27,3,279662.0
PROMO-0136,FMCG-SPIC-120,Spices,festival,0.05,2025-01-27,1,394358.0
PROMO-0137,FMCG-SPIC-119,Spices,consumer,0.08,2024-02-12,1,186352.0
PROMO-0138,FMCG-CONF-030,Confectionery,consumer,0.2,2025-01-06,2,51700.0
PROMO-0139,FMCG-DAIR-092,Dairy,festival,0.08,2025-05-19,3,483562.0
PROMO-0140,FMCG-CONF-015,Confectionery,festival,0.08,2024-11-04,1,22405.0
PROMO-0141,FMCG-CONF-025,Confectionery,festival,0.15,2025-08-18,1,2638.0
PROMO-0142,FMCG-BEVE-071,Beverages,trade,0.12,2024-11-04,2,211285.0
PROMO-0143,FMCG-BEVE-063,Beverages,consumer,0.25,2025-06-23,1,453709.0
PROMO-0144,FMCG-SPIC-124,Spices,consumer,0.25,2025-05-26,3,3270551.0
PROMO-0145,FMCG-DAIR-089,Dairy,trade,0.08,2024-05-06,3,37237.0
PROMO-0146,FMCG-BEVE-070,Beverages,festival,0.05,2024-06-10,1,29600.0
PROMO-0147,FMCG-MOUT-046,MouthFreshener,consumer,0.12,2025-11-03,2,273343.0
PROMO-0148,FMCG-CONF-008,Confectionery,consumer,0.12,2024-01-08,3,61332.0
PROMO-0149,FMCG-CONF-020,Confectionery,festival,0.12,2025-11-03,2,10729.0
PROMO-0150,FMCG-SPIC-138,Spices,festival,0.05,2024-01-22,2,817300.0
PROMO-0151,FMCG-DAIR-094,Dairy,festival,0.2,2025-05-05,3,157917.0
PROMO-0152,FMCG-BEVE-078,Beverages,trade,0.05,2024-05-06,3,144116.0
PROMO-0153,FMCG-SPIC-135,Spices,festival,0.12,2024-01-08,2,1504569.0
PROMO-0154,FMCG-BEVE-082,Beverages,trade,0.1,2024-12-16,1,121907.0
PROMO-0155,FMCG-CONF-028,Confectionery,trade,0.08,2025-08-04,2,6863.0
PROMO-0156,FMCG-BEVE-080,Beverages,festival,0.08,2024-06-10,2,115510.0
PROMO-0157,FMCG-SNAC-117,Snacks,trade,0.12,2025-10-20,3,34330.0
PROMO-0158,FMCG-SPIC-137,Spices,trade,0.12,2024-08-12,3,464224.0
PROMO-0159,FMCG-BEVE-073,Beverages,consumer,0.1,2024-05-20,3,27786.0
PROMO-0160,FMCG-CONF-009,Confectionery,trade,0.08,2025-03-24,3,12995.0
PROMO-0161,FMCG-BEVE-076,Beverages,festival,0.12,2025-03-17,2,116700.0
PROMO-0162,FMCG-SNAC-117,Snacks,trade,0.05,2025-09-08,1,27146.0
PROMO-0163,FMCG-BEVE-081,Beverages,festival,0.2,2025-06-23,3,635877.0
PROMO-0164,FMCG-SPIC-128,Spices,trade,0.25,2025-03-17,3,38196.0
PROMO-0165,FMCG-MOUT-043,MouthFreshener,trade,0.05,2024-02-05,1,131860.0
PROMO-0166,FMCG-MOUT-056,MouthFreshener,consumer,0.08,2025-07-14,3,467543.0
PROMO-0167,FMCG-CONF-003,Confectionery,consumer,0.12,2024-04-15,1,69777.0
PROMO-0168,FMCG-BEVE-064,Beverages,consumer,0.08,2025-10-27,1,258345.0
PROMO-0169,FMCG-BEVE-078,Beverages,trade,0.05,2025-07-28,3,16016.0
PROMO-0170,FMCG-MOUT-056,MouthFreshener,trade,0.12,2024-03-11,1,427675.0
