promo_id,sku,category,promo_type,depth,incremental_units,incremental_margin_inr,spend_inr,roi
PROMO-0154,FMCG-BEVE-082,Beverages,trade,0.1,736,14456.0,121907.0,0.12
PROMO-0155,FMCG-CONF-028,Confectionery,trade,0.08,2245,3660.0,6863.0,0.53
PROMO-0156,FMCG-BEVE-080,Beverages,festival,0.08,376,13691.0,115510.0,0.12
PROMO-0157,FMCG-SNAC-117,Snacks,trade,0.12,2951,36035.0,34330.0,1.05
PROMO-0158,FMCG-SPIC-137,Spices,trade,0.12,1052,27329.0,464224.0,0.06
PROMO-0159,FMCG-BEVE-073,Beverages,consumer,0.1,2091,30433.0,27786.0,1.1
PROMO-0160,FMCG-CONF-009,Confectionery,trade,0.08,0,-116.0,12995.0,-0.01
PROMO-0161,FMCG-BEVE-076,Beverages,festival,0.12,615,5710.0,116700.0,0.05
PROMO-0162,FMCG-SNAC-117,Snacks,trade,0.05,692,8459.0,27146.0,0.31
PROMO-0163,FMCG-BEVE-081,Beverages,festival,0.2,1057,20430.0,635877.0,0.03
PROMO-0164,FMCG-SPIC-128,Spices,trade,0.25,3940,87761.0,38196.0,2.3
PROMO-0165,FMCG-MOUT-043,MouthFreshener,trade,0.05,201,7243.0,131860.0,0.05
PROMO-0166,FMCG-MOUT-056,MouthFreshener,consumer,0.08,2104,114519.0,467543.0,0.24
PROMO-0167,FMCG-CONF-003,Confectionery,consumer,0.12,320,1357.0,69777.0,0.02
PROMO-0168,FMCG-BEVE-064,Beverages,consumer,0.08,522,20316.0,258345.0,0.08
PROMO-0169,FMCG-BEVE-078,Beverages,trade,0.05,623,19996.0,16016.0,1.25
PROMO-0170,FMCG-MOUT-056,MouthFreshener,trade,0.12,948,51612.0,427675.0,0.12
