month,zone,category,actual_revenue,target_revenue
2024-03,North,Spices,1065927.0,1021363.0
2024-03,South,Beverages,462694.2,474085.0
2024-03,South,Confectionery,102314.0,111031.0
2024-03,South,Dairy,457709.0,438499.0
2024-03,South,MouthFreshener,792294.6,720777.0
2024-03,South,Snacks,226814.0,257823.0
2024-03,South,Spices,1468289.0,1621734.0
2024-03,West,Beverages,451192.82,479184.0
2024-03,West,Confectionery,110117.0,110348.0
2024-03,West,Dairy,492023.0,553325.0
2024-03,West,MouthFreshener,759005.31,728784.0
2024-03,West,Snacks,212800.0,213129.0
2024-03,West,Spices,1626730.0,1667282.0
2024-04,Central,Beverages,616741.16,608418.0
2024-04,Central,Confectionery,90150.92,92259.0
2024-04,Central,Dairy,503023.0,565229.0
2024-04,Central,MouthFreshener,613859.0,673389.0
2024-04,Central,Snacks,248238.0,284856.0
2024-04,Central,Spices,1624571.0,1524223.0
2024-04,East,Beverages,812258.04,820915.0
2024-04,East,Confectionery,117135.84,131038.0
2024-04,East,Dairy,681279.0,757954.0
2024-04,East,MouthFreshener,747285.0,707933.0
2024-04,East,Snacks,318864.0,357949.0
2024-04,East,Spices,1734807.0,1574209.0
2024-04,North,Beverages,555133.32,507674.0
2024-04,North,Confectionery,77100.36,82823.0
2024-04,North,Dairy,314123.0,334132.0
2024-04,North,MouthFreshener,513999.0,582254.0
2024-04,North,Snacks,162241.0,162453.0
2024-04,North,Spices,1041236.0,1076375.0
2024-04,South,Beverages,705979.72,771859.0
2024-04,South,Confectionery,94562.36,101109.0
2024-04,South,Dairy,596020.0,642840.0
2024-04,South,MouthFreshener,732677.0,836786.0
2024-04,South,Snacks,262057.0,279448.0
2024-04,South,Spices,1470722.0,1386500.0
2024-04,West,Beverages,692992.6,796060.0
2024-04,West,Confectionery,99846.56,101797.0
2024-04,West,Dairy,648379.0,682962.0
2024-04,West,MouthFreshener,685530.0,689898.0
2024-04,West,Snacks,261354.0,237090.0
2024-04,West,Spices,1605417.0,1650128.0
2024-05,Central,Beverages,623791.7,688601.0
2024-05,Central,Confectionery,71639.2,72343.0
2024-05,Central,Dairy,396929.6,425471.0
2024-05,Central,MouthFreshener,519634.8,506120.0
2024-05,Central,Snacks,190017.0,190744.0
2024-05,Central,Spices,1093767.0,1142457.0
2024-05,East,Beverages,806084.5,832189.0
2024-05,East,Confectionery,91903.52,103803.0
2024-05,East,Dairy,557469.2,540912.0
2024-05,East,MouthFreshener,624086.8,569085.0
2024-05,East,Snacks,242579.0,272735.0
2024-05,East,Spices,1129425.4,1042765.0
2024-05,North,Beverages,549489.5,500417.0
2024-05,North,Confectionery,60315.64,58786.0
2024-05,North,Dairy,250015.72,230048.0
2024-05,North,MouthFreshener,433940.8,420556.0
2024-05,North,Snacks,128685.0,138240.0
2024-05,North,Spices,715507.0,698398.0
2024-05,South,Beverages,694673.4,725894.0
2024-05,South,Confectionery,73458.4,67490.0
2024-05,South,Dairy,476719.28,515554.0
2024-05,South,MouthFreshener,616532.2,636489.0
2024-05,South,Snacks,203067.0,226277.0
2024-05,South,Spices,997013.2,905520.0
2024-05,West,Beverages,688186.4,775780.0
2024-05,West,Confectionery,78618.56,82035.0
2024-05,West,Dairy,519388.4,550214.0
2024-05,West,MouthFreshener,579123.8,525261.0
2024-05,West,Snacks,198788.0,196759.0
2024-05,West,Spices,1045440.6,1044840.0
2024-06,Central,Beverages,708839.62,732521.0
2024-06,Central,Confectionery,67042.32,61801.0
2024-06,Central,Dairy,376823.0,426609.0
2024-06,Central,MouthFreshener,547520.0,603888.0
2024-06,Central,Snacks,196296.3,210313.0
2024-06,Central,Spices,884695.0,828246.0
2024-06,East,Beverages,912803.92,962437.0
2024-06,East,Confectionery,87602.6,97962.0
2024-06,East,Dairy,532576.0,527580.0
2024-06,East,MouthFreshener,637676.0,646513.0
2024-06,East,Snacks,252473.9,236643.0
2024-06,East,Spices,927100.0,962807.0
2024-06,North,Beverages,640923.08,702335.0
2024-06,North,Confectionery,58077.76,63439.0
2024-06,North,Dairy,237814.0,228844.0
2024-06,North,MouthFreshener,446167.0,434141.0
2024-06,North,Snacks,128277.4,138656.0
2024-06,North,Spices,565062.0,556575.0
2024-06,South,Beverages,801671.94,822302.0
2024-06,South,Confectionery,69837.92,78330.0
2024-06,South,Dairy,452708.0,469360.0
2024-06,South,MouthFreshener,634384.0,595467.0
2024-06,South,Snacks,213406.8,207158.0
2024-06,South,Spices,812651.0,750753.0
2024-06,West,Beverages,783441.24,836376.0
2024-06,West,Confectionery,75586.2,85626.0
2024-06,West,Dairy,476719.0,457154.0
2024-06,West,MouthFreshener,598611.0,632767.0
2024-06,West,Snacks,204031.0,195943.0
2024-06,West,Spices,881987.0,842332.0
2024-07,Central,Beverages,931982.9,1001568.0
2024-07,Central,Confectionery,79739.6,79044.0
2024-07,Central,Dairy,485590.05,520733.0
2024-07,Central,MouthFreshener,691518.8,752023.0
2024-07,Central,Snacks,254223.6,265826.0
2024-07,Central,Spices,927408.2,836665.0
2024-07,East,Beverages,1186675.0,1280360.0
2024-07,East,Confectionery,102641.75,116024.0
2024-07,East,Dairy,668518.3,628306.0
2024-07,East,MouthFreshener,839189.8,795794.0
2024-07,East,Snacks,322881.2,361456.0
2024-07,East,Spices,952449.2,951330.0
2024-07,North,Beverages,798117.4,834049.0
2024-07,North,Confectionery,69252.65,63043.0
2024-07,North,Dairy,326828.4,328341.0
2024-07,North,MouthFreshener,586826.4,546021.0
2024-07,North,Snacks,169553.0,185240.0
2024-07,North,Spices,569124.6,564436.0
2024-07,South,Beverages,1051988.1,1146894.0
2024-07,South,Confectionery,83028.5,89588.0
2024-07,South,Dairy,563585.0,577688.0
2024-07,South,MouthFreshener,821802.8,881559.0
2024-07,South,Snacks,272024.8,281878.0
2024-07,South,Spices,838541.8,950304.0
2024-07,West,Beverages,1006672.7,1139806.0
2024-07,West,Confectionery,88071.0,83846.0
2024-07,West,Dairy,629187.3,598611.0
2024-07,West,MouthFreshener,773679.2,834234.0
2024-07,West,Snacks,266495.4,275976.0
2024-07,West,Spices,916075.8,961741.0
2024-08,Central,Beverages,717306.7,718217.0
2024-08,Central,Confectionery,96818.2,93618.0
2024-08,Central,Dairy,373857.0,350375.0
2024-08,Central,MouthFreshener,886960.0,996914.0
2024-08,Central,Snacks,211640.0,229967.0
2024-08,Central,Spices,891898.24,946858.0
2024-08,East,Beverages,928483.1,995165.0
2024-08,East,Confectionery,126270.6,135747.0
2024-08,East,Dairy,511941.0,476852.0
2024-08,East,MouthFreshener,1036627.0,1056265.0
2024-08,East,Snacks,276948.0,299484.0
2024-08,East,Spices,919514.88,1023724.0
2024-08,North,Beverages,626800.6,597894.0
2024-08,North,Confectionery,85712.2,92832.0
2024-08,North,Dairy,250526.0,278786.0
2024-08,North,MouthFreshener,693125.0,754739.0
2024-08,North,Snacks,141966.0,134747.0
2024-08,North,Spices,581185.52,651591.0
2024-08,South,Beverages,801043.8,800504.0
2024-08,South,Confectionery,102573.2,112175.0
2024-08,South,Dairy,430810.0,391679.0
2024-08,South,MouthFreshener,1009794.0,932641.0
2024-08,South,Snacks,230656.0,253168.0
2024-08,South,Spices,817678.28,842942.0
2024-08,West,Beverages,762727.4,859333.0
2024-08,West,Confectionery,108270.6,98286.0
2024-08,West,Dairy,485723.0,525044.0
2024-08,West,MouthFreshener,978123.0,958025.0
2024-08,West,Snacks,224750.0,230444.0
2024-08,West,Spices,853468.68,822441.0
2024-09,Central,Beverages,803668.0,862182.0
2024-09,Central,Confectionery,77097.0,71254.0
2024-09,Central,Dairy,427689.0,473104.0
2024-09,Central,MouthFreshener,716464.04,766170.0
2024-09,Central,Snacks,290229.5,300449.0
2024-09,Central,Spices,914929.4,1035208.0
2024-09,East,Beverages,1004626.0,1147930.0
2024-09,East,Confectionery,98497.0,99666.0
2024-09,East,Dairy,606986.0,691180.0
2024-09,East,MouthFreshener,849273.92,876261.0
2024-09,East,Snacks,371961.2,393200.0
2024-09,East,Spices,953082.4,915349.0
2024-09,North,Beverages,677664.0,699818.0
2024-09,North,Confectionery,65429.0,68589.0
2024-09,North,Dairy,295023.0,307939.0
2024-09,North,MouthFreshener,570331.16,525538.0
2024-09,North,Snacks,189089.0,196792.0
2024-09,North,Spices,596654.2,540646.0
2024-09,South,Beverages,884425.0,942441.0
2024-09,South,Confectionery,78618.0,76192.0
2024-09,South,Dairy,510011.0,547158.0
2024-09,South,MouthFreshener,829149.72,946875.0
2024-09,South,Snacks,310676.9,311016.0
2024-09,South,Spices,850159.8,975227.0
2024-09,West,Beverages,858153.0,967805.0
2024-09,West,Confectionery,85079.0,80620.0
2024-09,West,Dairy,588481.0,565046.0
2024-09,West,MouthFreshener,777472.96,767143.0
2024-09,West,Snacks,299256.9,343511.0
2024-09,West,Spices,919661.2,886673.0
2024-10,Central,Beverages,535999.0,508098.0
2024-10,Central,Confectionery,98815.5,91304.0
2024-10,Central,Dairy,339800.0,317303.0
2024-10,Central,MouthFreshener,851192.74,926994.0
2024-10,Central,Snacks,234522.0,247468.0
2024-10,Central,Spices,1207642.0,1338714.0
2024-10,East,Beverages,677904.0,683891.0
2024-10,East,Confectionery,129730.75,125377.0
2024-10,East,Dairy,487416.0,518079.0
2024-10,East,MouthFreshener,1013100.84,974292.0
2024-10,East,Snacks,315558.0,336505.0
2024-10,East,Spices,1256570.0,1215258.0
2024-10,North,Beverages,449556.0,504061.0
2024-10,North,Confectionery,85210.5,92755.0
2024-10,North,Dairy,231396.0,217448.0
2024-10,North,MouthFreshener,681999.88,642259.0
2024-10,North,Snacks,161127.0,162422.0
2024-10,North,Spices,792398.0,898445.0
2024-10,South,Beverages,588509.0,643115.0
2024-10,South,Confectionery,104986.75,99175.0
2024-10,South,Dairy,411824.0,443829.0
2024-10,South,MouthFreshener,991499.8,900354.0
2024-10,South,Snacks,263947.0,267003.0
2024-10,South,Spices,1111963.0,1213264.0
2024-10,West,Beverages,556438.0,562186.0
2024-10,West,Confectionery,111218.25,126762.0
2024-10,West,Dairy,447560.0,492975.0
2024-10,West,MouthFreshener,931695.62,957749.0
2024-10,West,Snacks,258664.0,283781.0
2024-10,West,Spices,1190088.0,1123577.0
2024-11,Central,Beverages,411336.24,447198.0
2024-11,Central,Confectionery,83429.9,85190.0
2024-11,Central,Dairy,357591.0,332450.0
2024-11,Central,MouthFreshener,760652.0,843734.0
2024-11,Central,Snacks,251189.9,260429.0
2024-11,Central,Spices,1332987.0,1515941.0
2024-11,East,Beverages,527294.6,592421.0
2024-11,East,Confectionery,108170.4,116362.0
2024-11,East,Dairy,505613.0,575529.0
2024-11,East,MouthFreshener,919296.0,862378.0
2024-11,East,Snacks,321906.6,302888.0
2024-11,East,Spices,1398387.0,1354432.0
2024-11,North,Beverages,365810.56,331907.0
2024-11,North,Confectionery,71737.6,69037.0
2024-11,North,Dairy,237570.0,266031.0
2024-11,North,MouthFreshener,615725.0,595631.0
2024-11,North,Snacks,163721.1,182529.0
2024-11,North,Spices,853399.0,827785.0
2024-11,South,Beverages,451529.88,414016.0
2024-11,South,Confectionery,86472.3,78913.0
2024-11,South,Dairy,431960.0,394220.0
2024-11,South,MouthFreshener,913571.0,880406.0
2024-11,South,Snacks,271091.9,280367.0
2024-11,South,Spices,1218009.0,1271204.0
2024-11,West,Beverages,439703.2,453227.0
2024-11,West,Confectionery,94864.9,87384.0
2024-11,West,Dairy,468376.0,439103.0
2024-11,West,MouthFreshener,836545.0,942114.0
2024-11,West,Snacks,261876.7,264141.0
2024-11,West,Spices,1342080.0,1335912.0
2024-12,Central,Beverages,403840.36,395887.0
2024-12,Central,Confectionery,104613.6,104932.0
2024-12,Central,Dairy,483151.0,524064.0
2024-12,Central,MouthFreshener,880971.4,913242.0
2024-12,Central,Snacks,312905.0,335575.0
2024-12,Central,Spices,1892716.3,1750937.0
2024-12,East,Beverages,520688.24,530142.0
2024-12,East,Confectionery,134194.2,130926.0
2024-12,East,Dairy,693126.0,751069.0
2024-12,East,MouthFreshener,1102971.2,1013736.0
2024-12,East,Snacks,397103.0,405507.0
2024-12,East,Spices,1976722.0,1995394.0
2024-12,North,Beverages,355836.46,362607.0
2024-12,North,Confectionery,89558.0,102417.0
2024-12,North,Dairy,330582.0,322574.0
2024-12,North,MouthFreshener,763341.2,720429.0
2024-12,North,Snacks,204649.0,190352.0
2024-12,North,Spices,1243415.6,1181424.0
2024-12,South,Beverages,449443.72,434461.0
2024-12,South,Confectionery,107353.6,121692.0
2024-12,South,Dairy,567990.0,525077.0
2024-12,South,MouthFreshener,1097725.6,1034656.0
2024-12,South,Snacks,333732.0,325059.0
2024-12,South,Spices,1809648.5,1674838.0
2024-12,West,Beverages,433874.18,404730.0
2024-12,West,Confectionery,114532.7,130230.0
2024-12,West,Dairy,625493.0,571866.0
2024-12,West,MouthFreshener,1001996.2,1026804.0
2024-12,West,Snacks,326694.0,355091.0
2024-12,West,Spices,1923775.3,1851489.0
2025-01,Central,Beverages,297925.0,296317.0
2025-01,Central,Confectionery,71609.2,68291.0
2025-01,Central,Dairy,428639.4,461941.0
2025-01,Central,MouthFreshener,568663.0,630480.0
2025-01,Central,Snacks,243542.0,275100.0
2025-01,Central,Spices,1618624.9,1702415.0
2025-01,East,Beverages,373972.0,347567.0
2025-01,East,Confectionery,94012.6,94365.0
2025-01,East,Dairy,610010.6,617804.0
2025-01,East,MouthFreshener,701909.5,676645.0
2025-01,East,Snacks,322815.0,344475.0
2025-01,East,Spices,1690040.4,1759448.0
2025-01,North,Beverages,247191.0,231974.0
2025-01,North,Confectionery,62461.0,65469.0
2025-01,North,Dairy,296620.0,309920.0
2025-01,North,MouthFreshener,490047.0,465942.0
2025-01,North,Snacks,164884.0,170227.0
2025-01,North,Spices,1066899.3,979116.0
2025-01,South,Beverages,323087.0,294340.0
2025-01,South,Confectionery,73423.2,77191.0
2025-01,South,Dairy,499278.4,481953.0
2025-01,South,MouthFreshener,684659.0,655901.0
2025-01,South,Snacks,269072.0,262051.0
2025-01,South,Spices,1505815.55,1709456.0
2025-01,West,Beverages,309061.0,320711.0
2025-01,West,Confectionery,80598.0,85065.0
2025-01,West,Dairy,536381.8,574799.0
2025-01,West,MouthFreshener,625859.0,588560.0
2025-01,West,Snacks,262121.0,288887.0
2025-01,West,Spices,1688506.55,1730423.0
2025-02,Central,Beverages,324475.0,350166.0
2025-02,Central,Confectionery,73742.0,66729.0
2025-02,Central,Dairy,486468.6,554757.0
2025-02,Central,MouthFreshener,590427.5,601174.0
2025-02,Central,Snacks,228176.2,248591.0
2025-02,Central,Spices,1730003.2,1665563.0
2025-02,East,Beverages,411448.0,386492.0
2025-02,East,Confectionery,97351.0,97244.0
2025-02,East,Dairy,658903.0,599295.0
2025-02,East,MouthFreshener,707705.25,677100.0
2025-02,East,Snacks,312146.8,330812.0
2025-02,East,Spices,1795251.2,1766257.0
2025-02,North,Beverages,278284.0,265260.0
2025-02,North,Confectionery,63649.0,72153.0
2025-02,North,Dairy,322339.8,316547.0
2025-02,North,MouthFreshener,490316.0,553568.0
2025-02,North,Snacks,160845.0,171895.0
2025-02,North,Spices,1087498.4,1212599.0
2025-02,South,Beverages,364426.0,332256.0
2025-02,South,Confectionery,76621.0,86326.0
2025-02,South,Dairy,570140.6,539939.0
2025-02,South,MouthFreshener,697124.75,801047.0
2025-02,South,Snacks,263109.0,240187.0
2025-02,South,Spices,1588198.0,1808216.0
2025-02,West,Beverages,340994.0,347700.0
2025-02,West,Confectionery,84794.0,92850.0
2025-02,West,Dairy,592284.4,560211.0
2025-02,West,MouthFreshener,636544.0,626448.0
2025-02,West,Snacks,247037.2,232458.0
2025-02,West,Spices,1688305.8,1690870.0
2025-03,Central,Beverages,524336.6,518062.0
2025-03,Central,Confectionery,122502.5,115085.0
2025-03,Central,Dairy,614931.6,639862.0
2025-03,Central,MouthFreshener,1018763.9,1030379.0
2025-03,Central,Snacks,275074.4,289904.0
2025-03,Central,Spices,2265590.1,2143050.0
2025-03,East,Beverages,662919.48,711818.0
2025-03,East,Confectionery,161897.1,184385.0
2025-03,East,Dairy,856199.35,834824.0
2025-03,East,MouthFreshener,1223014.2,1274072.0
2025-03,East,Snacks,369647.8,374293.0
2025-03,East,Spices,2365335.5,2541245.0
2025-03,North,Beverages,445471.76,491099.0
2025-03,North,Confectionery,104640.9,111549.0
2025-03,North,Dairy,428273.55,453959.0
2025-03,North,MouthFreshener,866426.7,841958.0
2025-03,North,Snacks,189045.0,208251.0
2025-03,North,Spices,1437364.3,1327592.0
2025-03,South,Beverages,577206.2,656256.0
2025-03,South,Confectionery,126721.9,141920.0
2025-03,South,Dairy,734419.1,785150.0
2025-03,South,MouthFreshener,1222284.6,1212020.0
2025-03,South,Snacks,313262.0,312656.0
2025-03,South,Spices,2109790.3,2299473.0
2025-03,West,Beverages,552545.4,515476.0
2025-03,West,Confectionery,140149.5,130322.0
2025-03,West,Dairy,788642.3,842756.0
2025-03,West,MouthFreshener,1112055.6,1166029.0
2025-03,West,Snacks,294343.2,275846.0
2025-03,West,Spices,2189699.9,2232206.0
2025-04,Central,Beverages,554057.0,564291.0
2025-04,Central,Confectionery,80873.4,86554.0
2025-04,Central,Dairy,504470.0,549525.0
2025-04,Central,MouthFreshener,639904.64,694854.0
2025-04,Central,Snacks,211524.0,194294.0
2025-04,Central,Spices,1447184.0,1461005.0
2025-04,East,Beverages,701669.0,746695.0
2025-04,East,Confectionery,107527.05,113774.0
2025-04,East,Dairy,693954.0,665856.0
2025-04,East,MouthFreshener,782817.44,761987.0
2025-04,East,Snacks,280695.0,254488.0
2025-04,East,Spices,1569227.0,1550089.0
2025-04,North,Beverages,475565.0,513158.0
2025-04,North,Confectionery,70450.75,72637.0
2025-04,North,Dairy,339068.0,345137.0
2025-04,North,MouthFreshener,545548.44,534610.0
2025-04,North,Snacks,141742.0,154262.0
2025-04,North,Spices,938277.0,847246.0
2025-04,South,Beverages,615512.0,678951.0
2025-04,South,Confectionery,84844.75,95775.0
2025-04,South,Dairy,585426.0,624309.0
2025-04,South,MouthFreshener,780326.48,702839.0
2025-04,South,Snacks,235501.0,248344.0
2025-04,South,Spices,1369524.0,1468680.0
2025-04,West,Beverages,575538.0,543040.0
2025-04,West,Confectionery,93914.55,92677.0
2025-04,West,Dairy,647387.0,643159.0
2025-04,West,MouthFreshener,699746.76,793155.0
2025-04,West,Snacks,228874.0,259309.0
2025-04,West,Spices,1496391.0,1665419.0
2025-05,Central,Beverages,692195.2,684796.0
2025-05,Central,Confectionery,81207.0,78630.0
2025-05,Central,Dairy,529861.3,477568.0
2025-05,Central,MouthFreshener,664096.5,684933.0
2025-05,Central,Snacks,202675.1,197886.0
2025-05,Central,Spices,1262092.75,1143275.0
2025-05,East,Beverages,865181.2,970966.0
2025-05,East,Confectionery,107262.0,113929.0
2025-05,East,Dairy,737080.8,729813.0
2025-05,East,MouthFreshener,823796.5,784146.0
2025-05,East,Snacks,275458.3,307381.0
2025-05,East,Spices,1349556.75,1526036.0
2025-05,North,Beverages,603514.2,608814.0
2025-05,North,Confectionery,70170.0,73682.0
2025-05,North,Dairy,364378.2,331784.0
2025-05,North,MouthFreshener,555400.25,535469.0
2025-05,North,Snacks,143566.1,139377.0
2025-05,North,Spices,805915.75,916836.0
2025-05,South,Beverages,745162.0,685115.0
2025-05,South,Confectionery,85858.0,89669.0
2025-05,South,Dairy,623266.3,582839.0
2025-05,South,MouthFreshener,809190.25,798370.0
2025-05,South,Snacks,225668.2,204923.0
2025-05,South,Spices,1163456.5,1269954.0
2025-05,West,Beverages,712087.8,716023.0
2025-05,West,Confectionery,93604.0,98646.0
2025-05,West,Dairy,672372.0,634416.0
2025-05,West,MouthFreshener,737087.0,731510.0
2025-05,West,Snacks,216280.85,201316.0
2025-05,West,Spices,1258255.5,1206231.0
2025-06,Central,Beverages,997019.15,999504.0
2025-06,Central,Confectionery,96290.8,88668.0
2025-06,Central,Dairy,608028.0,638180.0
2025-06,Central,MouthFreshener,862142.35,882860.0
2025-06,Central,Snacks,268052.92,293373.0
2025-06,Central,Spices,1297166.91,1185476.0
