emp_id,manager_support,growth_opportunity,work_life_balance,recognition,pay_fairness,survey_month
EMP-00062,3.4,3.0,4.7,3.0,4.1,2025-06
EMP-00063,4.4,4.8,4.0,4.8,4.7,2025-06
EMP-00064,2.3,1.9,2.7,2.4,2.1,2025-06
EMP-00065,3.4,4.6,4.5,4.1,4.2,2025-06
EMP-00066,3.4,4.3,4.9,3.0,3.8,2025-06
EMP-00067,3.3,4.5,3.7,4.4,4.3,2025-06
EMP-00068,3.8,4.4,3.7,4.1,4.5,2025-06
EMP-00069,5.0,4.3,5.0,5.0,5.0,2025-06
EMP-00070,3.7,3.3,3.9,3.4,3.3,2025-06
EMP-00071,2.1,3.3,3.3,2.2,2.4,2025-06
EMP-00072,2.8,3.2,3.1,2.5,2.3,2025-06
EMP-00073,3.8,3.9,3.2,3.2,4.2,2025-06
EMP-00074,4.6,3.3,4.1,3.6,4.4,2025-06
EMP-00075,2.1,1.0,2.3,1.6,1.7,2025-06
EMP-00076,3.9,2.9,3.5,3.9,3.8,2025-06
EMP-00077,1.6,2.2,2.6,2.4,2.8,2025-06
EMP-00078,3.4,3.6,2.7,3.9,3.6,2025-06
EMP-00079,2.9,2.9,2.9,2.3,2.6,2025-06
EMP-00080,3.1,3.5,3.5,2.4,3.8,2025-06
EMP-00081,2.8,4.3,3.5,2.0,2.9,2025-06
EMP-00082,3.7,4.3,5.0,4.9,4.4,2025-06
EMP-00083,3.3,2.6,3.3,3.9,3.9,2025-06
EMP-00084,4.3,3.9,3.6,3.7,4.8,2025-06
EMP-00085,5.0,5.0,5.0,5.0,5.0,2025-06
EMP-00086,2.3,3.4,3.6,3.9,4.3,2025-06
EMP-00087,4.2,5.0,5.0,4.2,5.0,2025-06
EMP-00088,1.7,2.5,3.8,3.0,2.2,2025-06
EMP-00089,4.7,4.2,3.5,4.4,5.0,2025-06
EMP-00090,3.4,1.7,3.8,2.9,3.6,2025-06
EMP-00091,3.6,3.2,3.1,3.5,3.4,2025-06
EMP-00092,4.2,3.9,4.4,4.3,3.7,2025-06
EMP-00093,3.4,4.5,4.0,4.9,4.4,2025-06
EMP-00094,2.5,2.6,2.1,2.5,2.1,2025-06
EMP-00095,2.1,3.8,1.7,2.9,1.9,2025-06
EMP-00096,4.0,3.9,3.6,4.9,3.1,2025-06
EMP-00097,3.4,3.2,3.4,2.8,2.2,2025-06
EMP-00098,1.9,2.1,2.3,1.5,2.2,2025-06
EMP-00099,3.8,2.9,3.9,3.7,3.7,2025-06
EMP-00100,3.2,3.5,2.9,2.6,2.7,2025-06
EMP-00101,3.8,3.4,4.0,3.1,3.9,2025-06
EMP-00102,5.0,4.9,3.9,4.8,4.2,2025-06
EMP-00103,4.1,3.3,4.2,2.8,4.0,2025-06
EMP-00104,2.3,2.5,3.0,2.9,3.1,2025-06
EMP-00105,2.7,2.3,2.7,2.1,3.1,2025-06
EMP-00106,4.7,4.4,4.4,4.4,5.0,2025-06
EMP-00107,3.5,2.1,3.2,4.0,3.3,2025-06
EMP-00108,3.0,3.0,3.5,2.4,2.2,2025-06
EMP-00109,1.1,1.3,2.9,1.0,3.1,2025-06
EMP-00110,2.8,2.8,3.0,3.6,2.8,2025-06
EMP-00111,3.8,3.2,3.0,3.3,3.7,2025-06
EMP-00112,1.9,2.0,2.4,1.5,3.1,2025-06
EMP-00113,3.0,2.3,1.6,2.6,2.7,2025-06
EMP-00114,1.0,2.0,2.7,2.4,1.6,2025-06
EMP-00115,4.6,4.4,3.6,4.4,4.3,2025-06
EMP-00116,2.6,1.3,1.3,1.7,2.0,2025-06
EMP-00117,1.9,2.1,3.3,3.6,3.4,2025-06
EMP-00118,4.0,3.3,3.1,3.9,3.7,2025-06
EMP-00119,4.1,3.4,3.0,3.4,2.8,2025-06
EMP-00120,2.2,3.0,2.0,3.0,2.3,2025-06
EMP-00121,3.4,4.0,4.1,4.0,3.2,2025-06
EMP-00122,4.6,4.2,4.3,3.9,5.0,2025-06
EMP-00123,3.0,3.9,3.3,3.4,2.6,2025-06
EMP-00124,1.2,1.6,1.4,1.1,1.5,2025-06
EMP-00125,4.5,3.6,4.4,4.0,5.0,2025-06
EMP-00126,3.1,2.3,3.5,4.4,4.2,2025-06
EMP-00127,2.8,2.8,4.0,3.6,4.3,2025-06
EMP-00128,1.9,1.7,1.0,1.8,1.2,2025-06
EMP-00129,3.7,3.3,2.2,2.5,3.5,2025-06
EMP-00130,2.8,2.5,3.4,2.5,3.3,2025-06
EMP-00131,3.1,2.4,2.5,2.7,2.9,2025-06
EMP-00132,3.6,4.1,2.1,3.5,3.8,2025-06
EMP-00133,4.0,2.9,3.1,4.4,2.2,2025-06
EMP-00134,3.0,3.2,2.0,3.1,3.4,2025-06
EMP-00135,4.3,5.0,4.9,3.7,4.4,2025-06
EMP-00136,3.8,2.5,4.2,3.3,3.5,2025-06
EMP-00137,2.6,4.0,4.3,2.5,2.6,2025-06
EMP-00138,2.3,1.3,2.6,2.4,3.1,2025-06
EMP-00139,2.5,2.5,2.3,3.1,2.4,2025-06
EMP-00140,2.9,2.9,2.9,2.9,2.9,2025-06
EMP-00141,5.0,2.9,3.6,4.7,4.5,2025-06
EMP-00142,3.6,2.4,2.7,3.0,3.1,2025-06
EMP-00143,4.5,4.7,3.6,5.0,5.0,2025-06
EMP-00144,3.6,4.3,3.9,3.7,3.6,2025-06
EMP-00145,1.0,1.4,1.0,1.5,1.0,2025-06
EMP-00146,2.9,3.6,3.2,4.1,3.0,2025-06
EMP-00147,3.8,5.0,5.0,5.0,5.0,2025-06
EMP-00148,3.4,4.1,4.3,3.4,3.8,2025-06
EMP-00149,2.7,2.8,3.4,3.0,2.9,2025-06
EMP-00150,3.4,3.4,3.7,2.8,3.4,2025-06
EMP-00151,4.1,3.2,3.4,5.0,4.0,2025-06
EMP-00152,3.7,3.4,4.1,4.0,3.5,2025-06
EMP-00153,3.0,2.4,1.2,2.9,1.8,2025-06
EMP-00154,3.1,2.0,2.2,3.0,3.3,2025-06
EMP-00155,5.0,4.8,5.0,5.0,5.0,2025-06
EMP-00156,3.1,2.0,2.7,3.4,4.1,2025-06
EMP-00157,5.0,4.8,5.0,5.0,5.0,2025-06
EMP-00158,5.0,4.6,5.0,5.0,4.5,2025-06
EMP-00159,3.9,3.3,2.8,4.0,1.0,2025-06
EMP-00160,2.7,2.2,1.9,2.5,2.4,2025-06
EMP-00161,3.7,3.1,3.5,2.8,2.6,2025-06
EMP-00162,4.1,4.4,4.8,4.7,4.7,2025-06
EMP-00163,5.0,4.1,4.0,4.5,5.0,2025-06
EMP-00164,4.2,4.7,4.7,4.4,4.4,2025-06
EMP-00165,3.1,3.1,3.3,3.6,3.8,2025-06
EMP-00166,4.0,3.7,4.0,3.4,4.3,2025-06
EMP-00167,2.1,2.5,3.0,2.7,3.0,2025-06
EMP-00168,1.0,1.4,1.0,1.1,1.3,2025-06
EMP-00169,2.8,2.3,3.8,2.2,2.2,2025-06
EMP-00170,2.6,1.5,2.3,2.1,2.4,2025-06
EMP-00171,3.9,5.0,3.2,4.6,4.0,2025-06
EMP-00172,2.3,1.4,2.5,1.6,2.3,2025-06
EMP-00173,3.8,2.1,3.3,1.6,3.3,2025-06
EMP-00174,3.8,3.6,2.8,3.6,3.3,2025-06
EMP-00175,3.4,4.2,3.8,4.0,2.6,2025-06
EMP-00176,3.6,3.8,4.2,3.2,2.4,2025-06
EMP-00177,4.5,4.6,4.8,4.8,5.0,2025-06
EMP-00178,4.8,4.5,5.0,4.5,4.8,2025-06
EMP-00179,4.3,2.6,3.5,3.2,1.9,2025-06
EMP-00180,4.7,5.0,5.0,4.3,4.0,2025-06
EMP-00181,5.0,5.0,5.0,5.0,5.0,2025-06
EMP-00182,3.2,2.7,3.7,3.1,3.4,2025-06
EMP-00183,3.2,3.1,3.5,4.2,4.4,2025-06
EMP-00184,3.7,3.2,3.3,3.1,3.4,2025-06
EMP-00185,2.0,3.7,2.8,2.1,3.0,2025-06
EMP-00186,2.8,2.8,2.6,3.3,2.9,2025-06
EMP-00187,3.8,5.0,3.9,4.9,5.0,2025-06
EMP-00188,4.7,3.6,3.3,4.0,4.9,2025-06
EMP-00189,3.5,1.9,2.8,3.4,3.5,2025-06
EMP-00190,2.1,2.8,3.1,2.0,3.8,2025-06
EMP-00191,1.6,3.3,2.9,2.2,3.0,2025-06
EMP-00192,3.6,3.6,3.4,4.1,2.3,2025-06
EMP-00193,4.2,4.3,5.0,4.5,3.7,2025-06
EMP-00194,3.9,2.4,3.6,2.3,3.1,2025-06
EMP-00195,5.0,4.0,3.7,3.1,4.1,2025-06
EMP-00196,4.0,2.2,4.0,2.9,3.6,2025-06
EMP-00197,3.2,4.0,2.8,2.9,3.0,2025-06
EMP-00198,4.1,4.1,4.5,4.0,5.0,2025-06
EMP-00199,4.4,4.9,3.4,4.4,5.0,2025-06
EMP-00200,2.3,1.8,1.7,1.3,2.0,2025-06
EMP-00201,2.0,2.4,2.8,2.1,2.3,2025-06
EMP-00202,2.4,3.9,2.9,2.4,4.0,2025-06
EMP-00203,4.9,4.5,3.1,3.4,4.3,2025-06
EMP-00204,4.6,5.0,4.2,5.0,3.6,2025-06
EMP-00205,3.8,2.4,2.9,4.2,3.9,2025-06
EMP-00206,4.4,4.1,5.0,5.0,5.0,2025-06
EMP-00207,3.6,3.2,3.5,2.5,2.9,2025-06
EMP-00208,3.5,2.5,2.8,2.3,2.4,2025-06
EMP-00209,3.1,3.1,3.7,3.0,2.6,2025-06
EMP-00210,2.8,2.8,2.4,1.8,1.0,2025-06
EMP-00211,4.6,4.6,4.3,4.8,4.0,2025-06
EMP-00212,1.1,1.0,2.1,1.0,1.0,2025-06
EMP-00213,3.2,3.5,2.8,2.9,2.6,2025-06
EMP-00214,4.6,4.1,5.0,3.4,4.6,2025-06
EMP-00215,3.0,3.5,2.7,3.1,2.4,2025-06
EMP-00216,3.7,4.3,4.4,4.3,5.0,2025-06
EMP-00217,5.0,5.0,4.5,4.4,5.0,2025-06
EMP-00218,4.0,4.4,3.5,3.6,3.6,2025-06
EMP-00219,4.9,5.0,4.6,4.3,4.9,2025-06
EMP-00220,5.0,5.0,5.0,5.0,4.0,2025-06
EMP-00221,4.7,3.7,3.5,4.2,3.9,2025-06
EMP-00222,3.8,3.1,3.3,2.7,2.6,2025-06
EMP-00223,4.3,3.5,4.9,4.3,3.2,2025-06
EMP-00224,4.7,4.7,3.8,4.6,3.7,2025-06
EMP-00225,3.1,3.4,1.9,4.1,3.3,2025-06
EMP-00226,3.5,3.0,2.6,3.5,3.0,2025-06
EMP-00227,5.0,4.4,5.0,4.7,4.9,2025-06
EMP-00228,3.8,3.4,3.2,2.9,2.5,2025-06
EMP-00229,4.8,4.3,3.9,4.6,4.6,2025-06
EMP-00230,3.5,3.3,3.6,2.9,3.2,2025-06
EMP-00231,4.8,5.0,4.8,4.4,5.0,2025-06
EMP-00232,2.5,2.6,1.7,2.3,2.5,2025-06
EMP-00233,2.2,1.7,2.4,1.2,1.5,2025-06
EMP-00234,4.4,3.7,4.6,3.6,3.8,2025-06
EMP-00235,1.0,2.7,2.2,2.2,2.7,2025-06
EMP-00236,3.2,3.5,2.6,5.0,4.0,2025-06
EMP-00237,4.8,3.6,5.0,4.4,4.1,2025-06
EMP-00238,3.3,2.2,1.2,2.2,1.3,2025-06
EMP-00239,3.8,3.8,4.0,3.7,3.5,2025-06
EMP-00240,4.5,3.9,5.0,4.8,5.0,2025-06
EMP-00241,2.9,3.0,3.7,2.8,3.7,2025-06
EMP-00242,3.6,2.7,2.5,1.7,1.8,2025-06
EMP-00243,2.7,1.9,2.1,4.0,3.5,2025-06
EMP-00244,3.8,2.9,3.3,1.8,3.4,2025-06
EMP-00245,3.1,4.1,2.8,4.4,3.6,2025-06
EMP-00246,3.8,3.7,3.8,3.0,2.7,2025-06
EMP-00247,2.9,3.6,3.6,2.4,3.4,2025-06
EMP-00248,3.5,3.3,3.1,3.5,3.9,2025-06
EMP-00249,5.0,5.0,4.1,5.0,4.7,2025-06
EMP-00250,4.5,3.9,3.5,3.3,4.2,2025-06
EMP-00251,4.5,4.1,5.0,4.4,4.6,2025-06
EMP-00252,4.8,5.0,4.4,5.0,4.8,2025-06
EMP-00253,2.7,3.2,3.0,3.2,3.4,2025-06
EMP-00254,3.7,4.5,3.3,4.8,3.3,2025-06
EMP-00255,2.3,3.7,3.5,3.7,2.3,2025-06
EMP-00256,1.0,1.7,1.7,1.7,2.3,2025-06
EMP-00257,2.6,3.9,3.3,4.5,4.6,2025-06
EMP-00258,2.4,2.7,1.9,1.3,1.1,2025-06
EMP-00259,3.2,4.0,3.2,4.3,4.2,2025-06
EMP-00260,1.9,1.8,2.6,1.6,2.0,2025-06
EMP-00261,3.3,4.7,3.4,4.0,3.3,2025-06
EMP-00262,1.6,1.6,1.4,3.2,1.6,2025-06
EMP-00263,3.6,5.0,3.0,3.0,4.5,2025-06
EMP-00264,3.6,2.1,2.8,3.6,3.4,2025-06
EMP-00265,3.1,2.8,2.5,3.5,2.4,2025-06
EMP-00266,5.0,4.9,3.8,4.8,4.6,2025-06
EMP-00267,3.2,2.5,2.6,2.5,3.9,2025-06
EMP-00268,2.4,3.1,3.6,3.4,3.9,2025-06
EMP-00269,2.6,3.5,2.5,2.6,2.2,2025-06
EMP-00270,4.0,2.9,3.7,4.2,4.3,2025-06
EMP-00271,4.4,5.0,4.8,3.5,3.6,2025-06
EMP-00272,3.8,5.0,3.9,3.9,4.3,2025-06
EMP-00273,2.5,3.9,2.4,3.4,2.6,2025-06
EMP-00274,4.1,4.7,5.0,4.1,4.7,2025-06
EMP-00275,2.5,2.3,2.5,2.4,2.2,2025-06
EMP-00276,2.7,2.5,2.6,2.2,2.1,2025-06
EMP-00277,2.6,3.5,3.6,3.5,3.5,2025-06
EMP-00278,4.4,4.4,4.2,4.2,4.4,2025-06
EMP-00279,2.4,2.1,2.3,1.9,2.8,2025-06
EMP-00280,4.1,5.0,3.3,3.8,3.9,2025-06
EMP-00281,3.0,3.3,2.9,3.5,2.5,2025-06
EMP-00282,3.4,3.9,4.1,2.4,3.4,2025-06
EMP-00283,5.0,4.5,3.8,4.4,5.0,2025-06
EMP-00284,2.4,2.7,2.7,2.7,2.4,2025-06
EMP-00285,4.6,5.0,5.0,5.0,5.0,2025-06
EMP-00286,3.5,3.5,3.6,2.9,3.0,2025-06
EMP-00287,2.8,3.4,3.7,3.9,4.7,2025-06
EMP-00288,4.0,5.0,4.3,5.0,4.5,2025-06
EMP-00289,3.2,4.0,3.2,4.0,3.6,2025-06
EMP-00290,4.7,5.0,4.3,4.6,3.3,2025-06
EMP-00291,1.1,1.6,1.8,1.0,2.5,2025-06
EMP-00292,3.0,2.5,3.8,4.0,2.7,2025-06
EMP-00293,2.6,3.4,3.9,3.8,4.6,2025-06
EMP-00294,4.8,5.0,4.1,4.6,4.0,2025-06
EMP-00295,5.0,3.0,4.0,3.7,4.1,2025-06
EMP-00296,3.5,3.3,4.3,3.9,3.5,2025-06
EMP-00297,4.7,4.4,4.6,5.0,3.8,2025-06
EMP-00298,3.7,3.4,3.7,4.3,3.6,2025-06
EMP-00299,1.6,2.0,1.0,1.3,1.4,2025-06
EMP-00300,4.6,5.0,5.0,5.0,4.5,2025-06
EMP-00301,2.4,2.3,2.4,2.0,1.7,2025-06
EMP-00302,3.2,4.6,3.8,2.7,3.9,2025-06
EMP-00303,2.9,2.9,3.2,2.4,2.4,2025-06
EMP-00304,4.1,3.0,3.0,3.9,3.2,2025-06
EMP-00305,1.4,3.3,2.7,2.0,1.5,2025-06
EMP-00306,1.7,1.0,1.0,1.6,2.2,2025-06
EMP-00307,2.5,2.7,1.8,3.2,3.2,2025-06
EMP-00308,4.1,5.0,5.0,4.3,4.5,2025-06
EMP-00309,2.5,1.0,2.6,1.4,1.8,2025-06
EMP-00310,2.4,2.4,2.9,3.6,2.2,2025-06
EMP-00311,4.2,4.4,3.2,3.6,3.6,2025-06
EMP-00312,3.7,2.3,2.6,2.5,2.5,2025-06
EMP-00313,2.8,2.9,2.9,2.5,3.2,2025-06
EMP-00314,2.3,3.6,3.2,2.8,3.7,2025-06
EMP-00315,3.6,3.9,3.6,3.8,2.5,2025-06
EMP-00316,2.4,2.0,1.6,1.6,2.9,2025-06
EMP-00317,3.7,4.0,2.3,3.5,3.7,2025-06
EMP-00318,2.6,4.0,4.0,4.8,3.3,2025-06
EMP-00319,2.5,1.6,2.4,2.8,1.7,2025-06
EMP-00320,3.3,3.3,3.8,3.7,3.6,2025-06
EMP-00321,3.3,2.0,3.3,2.1,2.9,2025-06
EMP-00322,3.2,3.6,3.8,3.5,2.8,2025-06
EMP-00323,4.6,4.4,5.0,3.6,4.1,2025-06
EMP-00324,2.3,3.3,3.9,4.1,3.3,2025-06
EMP-00325,4.2,4.5,4.2,3.9,4.7,2025-06
EMP-00326,3.5,4.2,4.2,3.6,4.0,2025-06
EMP-00327,3.9,4.7,4.3,4.1,3.0,2025-06
EMP-00328,5.0,3.7,2.9,3.3,4.0,2025-06
EMP-00329,3.8,4.8,5.0,4.5,3.4,2025-06
EMP-00330,3.5,2.9,4.1,4.8,3.2,2025-06
EMP-00331,1.2,1.1,1.0,1.9,1.1,2025-06
EMP-00332,2.5,2.8,3.6,2.1,3.0,2025-06
EMP-00333,3.1,3.6,2.9,3.1,2.5,2025-06
EMP-00334,2.9,3.1,3.2,2.5,3.9,2025-06
EMP-00335,4.6,4.1,3.6,5.0,3.0,2025-06
EMP-00336,3.4,2.9,2.6,3.8,1.5,2025-06
EMP-00337,4.4,3.8,5.0,5.0,4.8,2025-06
EMP-00338,3.8,4.7,3.1,3.8,2.5,2025-06
EMP-00339,3.1,2.6,3.2,3.3,4.2,2025-06
EMP-00340,2.1,2.2,2.8,2.7,2.4,2025-06
EMP-00341,2.1,3.2,2.0,2.4,3.2,2025-06
EMP-00342,2.5,3.3,3.5,4.7,3.1,2025-06
EMP-00343,4.0,2.9,2.9,3.3,3.6,2025-06
EMP-00344,2.8,3.0,3.6,3.0,3.0,2025-06
EMP-00345,5.0,4.4,4.3,4.8,5.0,2025-06
EMP-00346,3.4,2.8,2.9,3.6,2.6,2025-06
EMP-00347,3.1,3.8,2.7,1.2,1.5,2025-06
EMP-00348,3.8,3.8,3.8,4.3,4.3,2025-06
EMP-00349,4.3,2.6,2.1,1.7,2.6,2025-06
EMP-00350,3.9,3.4,2.4,4.8,4.0,2025-06
EMP-00351,1.9,2.1,2.0,1.2,2.2,2025-06
EMP-00352,2.8,1.9,1.4,1.8,2.0,2025-06
EMP-00353,3.9,3.3,4.5,2.3,3.3,2025-06
EMP-00354,2.6,3.4,3.0,4.3,3.4,2025-06
EMP-00355,2.7,2.4,3.1,2.7,2.5,2025-06
EMP-00356,2.4,3.0,3.7,4.8,3.4,2025-06
EMP-00357,3.6,3.2,3.0,4.8,3.3,2025-06
EMP-00358,3.0,3.6,2.5,3.5,3.8,2025-06
EMP-00359,3.2,4.2,3.3,2.1,3.7,2025-06
EMP-00360,3.0,3.6,4.0,3.7,2.7,2025-06
EMP-00361,2.1,2.9,3.0,3.3,2.5,2025-06
EMP-00362,3.0,2.3,2.5,3.1,2.4,2025-06
EMP-00363,4.7,3.5,4.3,3.7,3.2,2025-06
EMP-00364,3.5,3.7,3.0,3.6,1.5,2025-06
EMP-00365,2.7,1.6,3.6,3.3,2.8,2025-06
EMP-00366,3.2,3.1,3.2,1.7,2.5,2025-06
EMP-00367,2.6,2.2,1.7,2.2,3.3,2025-06
EMP-00368,3.4,2.7,3.5,3.7,3.9,2025-06
EMP-00369,5.0,5.0,4.3,5.0,5.0,2025-06
EMP-00370,3.8,4.8,4.4,4.0,4.3,2025-06
EMP-00371,1.6,2.0,1.5,2.0,2.7,2025-06
EMP-00372,3.9,4.2,4.2,3.9,4.3,2025-06
EMP-00373,3.4,3.0,3.1,2.2,3.5,2025-06
EMP-00374,4.5,3.5,3.4,3.3,2.6,2025-06
EMP-00375,2.2,2.3,3.4,3.4,2.6,2025-06
EMP-00376,5.0,5.0,5.0,5.0,4.6,2025-06
EMP-00377,2.2,2.5,3.3,1.7,2.1,2025-06
EMP-00378,3.7,2.1,3.0,4.5,3.6,2025-06
EMP-00379,3.8,3.3,2.6,3.0,3.8,2025-06
EMP-00380,3.9,3.2,2.9,3.1,4.6,2025-06
EMP-00381,3.5,3.8,3.5,3.6,4.4,2025-06
EMP-00382,4.1,5.0,3.8,4.4,4.5,2025-06
EMP-00383,4.0,3.9,3.2,4.0,3.9,2025-06
EMP-00384,3.0,2.2,1.9,3.4,3.1,2025-06
EMP-00385,4.6,5.0,4.7,5.0,5.0,2025-06
EMP-00386,4.8,4.7,4.1,4.7,4.2,2025-06
EMP-00387,2.5,2.2,3.2,3.0,4.3,2025-06
EMP-00388,3.9,2.2,4.2,3.8,4.0,2025-06
EMP-00389,4.0,4.7,4.6,5.0,3.5,2025-06
EMP-00390,4.6,4.4,3.2,3.3,3.5,2025-06
EMP-00391,3.3,4.0,3.4,4.5,4.3,2025-06
EMP-00392,4.6,3.2,4.4,3.6,4.8,2025-06
EMP-00393,5.0,4.6,4.3,3.3,4.8,2025-06
EMP-00394,1.7,3.2,3.4,3.0,2.9,2025-06
EMP-00395,4.5,5.0,4.8,4.0,4.4,2025-06
EMP-00396,5.0,4.8,5.0,4.8,5.0,2025-06
EMP-00397,4.0,4.2,4.0,4.9,4.9,2025-06
EMP-00398,3.5,2.1,3.6,2.9,3.2,2025-06
EMP-00399,3.3,4.1,3.7,4.6,3.7,2025-06
EMP-00400,4.1,3.7,3.1,1.7,3.2,2025-06
EMP-00401,2.2,3.4,2.6,3.8,3.0,2025-06
EMP-00402,2.1,2.1,1.6,1.0,1.0,2025-06
EMP-00403,3.9,4.3,5.0,4.7,5.0,2025-06
EMP-00404,3.6,4.4,4.6,4.6,3.6,2025-06
EMP-00405,1.2,1.8,1.0,1.7,1.5,2025-06
EMP-00406,4.1,4.9,4.1,4.0,5.0,2025-06
EMP-00407,3.0,4.1,3.8,2.5,3.6,2025-06
EMP-00408,2.7,3.4,2.6,4.0,3.4,2025-06
EMP-00409,3.2,4.0,4.4,3.1,3.6,2025-06
EMP-00410,1.3,2.1,1.4,1.1,1.0,2025-06
EMP-00411,2.8,3.2,3.2,3.3,3.6,2025-06
EMP-00412,3.6,4.3,3.6,3.1,3.8,2025-06
EMP-00413,3.1,3.2,2.9,4.0,4.0,2025-06
EMP-00414,1.0,2.5,2.7,1.9,2.0,2025-06
EMP-00415,3.8,3.4,4.6,3.8,3.6,2025-06
EMP-00416,4.8,5.0,3.7,4.5,4.7,2025-06
EMP-00417,3.6,3.7,3.7,4.4,3.0,2025-06
EMP-00418,2.4,4.4,4.3,2.9,3.7,2025-06
EMP-00419,5.0,4.9,5.0,4.0,4.9,2025-06
EMP-00420,1.8,3.2,1.6,2.1,2.8,2025-06
EMP-00421,3.9,3.7,4.8,4.8,5.0,2025-06
EMP-00422,3.6,3.4,1.5,3.8,3.4,2025-06
EMP-00423,5.0,5.0,5.0,4.8,5.0,2025-06
EMP-00424,4.0,3.9,3.2,3.7,3.7,2025-06
EMP-00425,4.0,3.5,4.2,3.7,2.7,2025-06
EMP-00426,4.5,3.6,4.0,4.4,4.3,2025-06
EMP-00427,1.7,2.5,2.5,2.6,1.0,2025-06
EMP-00428,3.5,2.8,3.0,2.4,3.1,2025-06
EMP-00429,1.4,3.2,2.9,3.8,2.8,2025-06
EMP-00430,5.0,4.2,3.9,5.0,3.9,2025-06
EMP-00431,3.1,2.8,4.2,3.0,3.6,2025-06
EMP-00432,3.4,3.5,3.2,2.7,2.4,2025-06
EMP-00433,5.0,5.0,4.3,5.0,4.5,2025-06
EMP-00434,1.9,2.2,1.5,2.0,1.0,2025-06
