emp_id,department,sub_function,band,tenure_years,attrition_month,attrition_reason
EMP-00247,Legal,Contracts,M3,6.0,2025-09-26,low engagement
EMP-00253,Manufacturing,Maintenance,M2,4.2,2025-10-28,below-band pay
EMP-00258,Legal,Compliance,M1,0.4,2025-07-19,low performance rating
EMP-00259,Finance,Accounts Payable,M1,6.7,2025-12-21,below-band pay
EMP-00260,IT,Applications,M3,3.3,2025-01-17,low engagement
EMP-00262,Supply Chain,Warehouse,M4,6.8,2025-04-12,low engagement
EMP-00277,R&D,Product Dev,M2,4.5,2025-08-05,below-band pay
EMP-00281,Sales,Field Sales,M1,3.7,2025-04-05,no recent promotion
EMP-00284,Legal,Compliance,M1,2.8,2025-12-22,low engagement
EMP-00292,Manufacturing,Maintenance,M1,3.3,2025-05-28,long commute
EMP-00299,Finance,Accounts Payable,M3,9.6,2025-07-14,low engagement
EMP-00301,R&D,Product Dev,M3,11.4,2025-06-28,low engagement
EMP-00314,HR,Talent Acquisition,M2,1.6,2025-02-21,low performance rating
EMP-00322,Legal,Contracts,M2,1.9,2025-04-28,below-band pay
EMP-00335,Marketing,Trade Marketing,M1,3.8,2025-07-09,no recent promotion
EMP-00341,R&D,Packaging Dev,M1,0.5,2025-05-21,low engagement
EMP-00355,R&D,Product Dev,M2,3.9,2025-03-09,low performance rating
EMP-00361,Legal,Compliance,M5,2.2,2025-11-20,low engagement
EMP-00367,Sales,Sales Ops,M3,0.4,2025-04-13,low engagement
EMP-00379,Manufacturing,Production,M2,5.3,2025-04-04,low performance rating
EMP-00384,R&D,Product Dev,M2,7.2,2025-03-07,no recent promotion
EMP-00385,Customer Service,Consumer Care,M2,3.4,2025-01-08,low performance rating
EMP-00400,R&D,Product Dev,M2,9.5,2025-05-15,below-band pay
EMP-00410,Finance,Controllership,M6,2.0,2025-08-18,low engagement
EMP-00411,HR,Payroll,M3,0.4,2025-07-14,low performance rating
EMP-00412,Supply Chain,Warehouse,M3,8.8,2025-11-02,below-band pay
EMP-00414,IT,Data & Analytics,M4,1.8,2025-04-06,low engagement
EMP-00438,HR,Payroll,M2,0.9,2025-05-05,no recent promotion
EMP-00447,Marketing,Digital,M6,10.6,2025-01-09,low engagement
EMP-00451,Manufacturing,Quality,M1,14.5,2025-05-22,no recent promotion
EMP-00457,IT,Applications,M6,1.5,2025-09-06,long commute
EMP-00459,Customer Service,Distributor Care,M4,2.3,2025-11-28,low performance rating
EMP-00468,Manufacturing,Quality,M5,2.3,2025-01-24,low engagement
EMP-00473,Marketing,Digital,M1,2.1,2025-08-26,below-band pay
EMP-00476,Customer Service,Consumer Care,M2,2.2,2025-01-02,low engagement
EMP-00481,Supply Chain,Logistics,M2,4.8,2025-02-11,long commute
EMP-00485,IT,Infrastructure,M1,3.2,2025-10-10,low performance rating
EMP-00488,HR,Talent Acquisition,M1,3.5,2025-02-14,below-band pay
EMP-00494,Marketing,Trade Marketing,M2,2.2,2025-06-22,below-band pay
EMP-00508,Finance,Controllership,M4,1.6,2025-11-03,low engagement
EMP-00511,Finance,Accounts Payable,M1,0.2,2025-07-27,below-band pay
EMP-00516,Legal,Compliance,M1,2.0,2025-12-27,below-band pay
EMP-00520,IT,Data & Analytics,M4,0.7,2025-03-08,low performance rating
EMP-00537,Finance,Accounts Payable,M2,4.5,2025-02-19,low engagement
EMP-00541,Legal,Contracts,M6,0.9,2025-12-17,low engagement
EMP-00548,Customer Service,Distributor Care,M1,8.0,2025-02-17,no recent promotion
EMP-00557,HR,Payroll,M1,3.8,2025-11-27,low engagement
EMP-00562,Legal,Compliance,M1,5.4,2025-10-25,low performance rating
EMP-00563,Manufacturing,Maintenance,M4,4.3,2025-09-09,below-band pay
EMP-00567,Marketing,Trade Marketing,M3,1.2,2025-08-03,low engagement
EMP-00570,Manufacturing,Maintenance,M2,6.5,2025-04-20,below-band pay
EMP-00583,IT,Data & Analytics,M1,1.7,2025-02-25,low performance rating
EMP-00586,IT,Infrastructure,M3,0.9,2025-06-11,below-band pay
EMP-00587,IT,Applications,M1,0.4,2025-10-24,low engagement
EMP-00591,IT,Data & Analytics,M5,0.2,2025-07-26,low engagement
EMP-00593,Sales,Key Accounts,M2,2.5,2025-12-24,below-band pay
EMP-00605,IT,Infrastructure,M5,1.0,2025-04-14,low engagement
EMP-00612,Legal,Compliance,M3,15.1,2025-04-05,low performance rating
EMP-00615,Customer Service,Distributor Care,M1,2.4,2025-02-06,low engagement
EMP-00623,Supply Chain,Planning,M6,0.6,2025-04-09,low engagement
EMP-00628,IT,Applications,M1,1.4,2025-08-14,no recent promotion
EMP-00642,Sales,Field Sales,M4,3.4,2025-05-28,low performance rating
EMP-00646,Sales,Field Sales,M4,8.5,2025-10-02,no recent promotion
EMP-00655,Legal,Contracts,M4,3.3,2025-08-18,no recent promotion
EMP-00657,R&D,Packaging Dev,M4,0.7,2025-06-23,below-band pay
EMP-00663,R&D,Packaging Dev,M1,0.4,2025-02-11,low engagement
EMP-00668,Manufacturing,Production,M6,2.6,2025-09-14,low performance rating
EMP-00669,R&D,Packaging Dev,M1,3.8,2025-08-22,below-band pay
EMP-00671,HR,HRBP,M1,11.1,2025-04-09,below-band pay
EMP-00673,IT,Applications,M6,2.2,2025-03-12,below-band pay
EMP-00682,Manufacturing,Maintenance,M1,3.0,2025-08-23,below-band pay
EMP-00686,Customer Service,Consumer Care,M2,18.8,2025-06-27,below-band pay
EMP-00689,Manufacturing,Maintenance,M3,5.5,2025-05-01,low engagement
EMP-00701,Supply Chain,Logistics,M1,1.3,2025-11-20,below-band pay
EMP-00702,Customer Service,Distributor Care,M2,2.0,2025-01-27,long commute
EMP-00703,HR,Payroll,M1,0.9,2025-12-22,low engagement
EMP-00705,Customer Service,Consumer Care,M1,1.5,2025-01-23,low engagement
EMP-00725,Supply Chain,Logistics,M1,14.3,2025-11-08,no recent promotion
EMP-00729,HR,Talent Acquisition,M2,2.4,2025-05-18,low engagement
EMP-00740,IT,Data & Analytics,M2,12.7,2025-07-10,low engagement
EMP-00742,Customer Service,Consumer Care,M1,3.3,2025-11-23,low engagement
EMP-00743,Finance,Controllership,M4,1.3,2025-06-26,below-band pay
EMP-00745,Legal,Compliance,M2,0.3,2025-11-04,low engagement
EMP-00746,Legal,Compliance,M2,3.3,2025-09-28,low engagement
EMP-00759,Marketing,Digital,M1,6.1,2025-04-28,low engagement
EMP-00760,IT,Data & Analytics,M2,0.2,2025-08-13,below-band pay
EMP-00770,Finance,Accounts Payable,M3,3.3,2025-01-13,below-band pay
EMP-00774,Supply Chain,Logistics,M4,1.6,2025-05-10,long commute
EMP-00780,Customer Service,Consumer Care,M4,1.4,2025-02-27,low performance rating
EMP-00790,Sales,Sales Ops,M3,2.6,2025-04-10,low engagement
EMP-00794,Sales,Sales Ops,M1,1.2,2025-04-28,low engagement
EMP-00797,HR,Talent Acquisition,M1,4.1,2025-03-15,low engagement
EMP-00798,Supply Chain,Warehouse,M1,5.3,2025-11-11,low engagement
EMP-00799,Legal,Compliance,M3,0.2,2025-11-14,below-band pay
EMP-00804,Legal,Contracts,M3,1.9,2025-01-09,below-band pay
EMP-00814,IT,Data & Analytics,M3,0.2,2025-02-27,low engagement
EMP-00820,Supply Chain,Logistics,M1,7.0,2025-08-16,low performance rating
EMP-00821,R&D,Packaging Dev,M1,4.2,2025-12-14,low engagement
EMP-00830,R&D,Product Dev,M1,18.4,2025-06-23,no recent promotion
EMP-00833,IT,Data & Analytics,M2,1.6,2025-07-27,low engagement
EMP-00841,R&D,Product Dev,M1,1.5,2025-02-27,low engagement
EMP-00845,Finance,Accounts Payable,M1,8.2,2025-03-23,low engagement
EMP-00855,Sales,Field Sales,M1,6.2,2025-05-17,low engagement
EMP-00863,HR,Talent Acquisition,M4,9.1,2025-02-12,long commute
EMP-00866,Manufacturing,Maintenance,M4,4.9,2025-07-20,low engagement
EMP-00869,R&D,Product Dev,M1,3.9,2025-12-27,below-band pay
EMP-00876,HR,Payroll,M4,5.2,2025-09-24,below-band pay
EMP-00877,Supply Chain,Logistics,M2,0.4,2025-06-15,long commute
EMP-00878,Manufacturing,Production,M2,5.6,2025-12-01,low engagement
EMP-00880,Supply Chain,Logistics,M3,0.2,2025-01-21,below-band pay
EMP-00887,Legal,Contracts,M2,3.2,2025-11-06,long commute
EMP-00890,HR,HRBP,M3,11.8,2025-11-15,below-band pay
EMP-00892,Customer Service,Distributor Care,M5,20.0,2025-11-05,no recent promotion
EMP-00909,R&D,Product Dev,M1,1.1,2025-01-13,below-band pay
EMP-00912,Legal,Compliance,M4,2.2,2025-04-21,below-band pay
EMP-00941,IT,Applications,M1,6.1,2025-05-11,long commute
EMP-00946,IT,Infrastructure,M1,1.5,2025-10-03,long commute
EMP-00948,Finance,FP&A,M4,4.1,2025-02-06,low engagement
EMP-00951,R&D,Product Dev,M2,1.8,2025-04-17,low performance rating
EMP-00953,Legal,Contracts,M1,0.6,2025-12-25,below-band pay
EMP-00954,Sales,Field Sales,M1,0.4,2025-11-25,low engagement
EMP-00960,Legal,Contracts,M2,5.4,2025-03-28,below-band pay
EMP-00963,Sales,Field Sales,M1,2.8,2025-10-22,low engagement
EMP-00967,HR,Talent Acquisition,M5,2.3,2025-07-26,long commute
EMP-00973,Finance,FP&A,M1,8.3,2025-06-15,low engagement
EMP-00976,Manufacturing,Quality,M3,2.9,2025-08-28,low engagement
EMP-00977,Supply Chain,Planning,M2,0.3,2025-12-05,below-band pay
EMP-00979,HR,Talent Acquisition,M2,11.3,2025-05-06,no recent promotion
EMP-00981,HR,Payroll,M6,5.4,2025-11-19,low engagement
EMP-00984,Legal,Contracts,M2,9.2,2025-06-26,below-band pay
EMP-00985,Finance,Controllership,M1,1.8,2025-05-07,low engagement
EMP-00989,IT,Data & Analytics,M2,13.6,2025-02-14,below-band pay
EMP-00990,Finance,Accounts Payable,M4,7.2,2025-06-06,no recent promotion
EMP-00994,Manufacturing,Production,M1,6.4,2025-07-13,below-band pay
EMP-00996,IT,Applications,M2,1.5,2025-10-08,low performance rating
EMP-01001,HR,HRBP,M1,2.9,2025-01-01,low engagement
EMP-01013,Customer Service,Consumer Care,M2,4.4,2025-09-21,below-band pay
EMP-01029,Legal,Compliance,M3,2.4,2025-10-21,low engagement
EMP-01030,Sales,Field Sales,M2,2.6,2025-04-03,low engagement
EMP-01043,Supply Chain,Logistics,M3,0.7,2025-08-07,low engagement
EMP-01050,Manufacturing,Quality,M1,1.8,2025-05-23,low performance rating
EMP-01055,Legal,Compliance,M1,4.8,2025-03-02,no recent promotion
EMP-01060,Finance,FP&A,M3,1.2,2025-07-20,low performance rating
EMP-01065,Manufacturing,Quality,M2,0.3,2025-07-20,low engagement
EMP-01084,Supply Chain,Logistics,M4,11.8,2025-05-05,no recent promotion
EMP-01088,IT,Data & Analytics,M3,2.2,2025-02-12,long commute
EMP-01092,R&D,Product Dev,M3,5.8,2025-03-19,low engagement
EMP-01095,Legal,Contracts,M3,4.8,2025-02-01,below-band pay
EMP-01100,Legal,Compliance,M1,7.1,2025-12-17,below-band pay
EMP-01109,IT,Infrastructure,M6,2.1,2025-07-25,no recent promotion
EMP-01118,IT,Infrastructure,M4,1.3,2025-08-27,low engagement
EMP-01120,Marketing,Brand,M4,3.5,2025-11-16,low engagement
EMP-01124,Sales,Sales Ops,M1,1.2,2025-02-08,low engagement
EMP-01148,Supply Chain,Logistics,M4,0.2,2025-12-07,below-band pay
EMP-01151,Marketing,Digital,M1,0.5,2025-04-28,low performance rating
EMP-01154,Finance,Controllership,M1,11.0,2025-05-10,no recent promotion
EMP-01158,Customer Service,Consumer Care,M1,0.5,2025-12-16,below-band pay
EMP-01169,Supply Chain,Logistics,M4,2.7,2025-07-05,low engagement
EMP-01176,Sales,Field Sales,M3,0.2,2025-07-28,low engagement
EMP-01186,Manufacturing,Production,M4,1.9,2025-04-20,low engagement
EMP-01211,Legal,Contracts,M3,0.4,2025-04-27,low engagement
EMP-01216,Supply Chain,Warehouse,M2,2.8,2025-05-24,below-band pay
EMP-01217,IT,Infrastructure,M2,2.5,2025-11-07,low engagement
EMP-01223,Sales,Sales Ops,M4,4.3,2025-07-06,low performance rating
EMP-01225,Finance,FP&A,M1,7.1,2025-07-26,low engagement
EMP-01232,Customer Service,Distributor Care,M3,10.0,2025-03-01,low engagement
EMP-01234,Sales,Field Sales,M3,1.9,2025-05-09,low performance rating
EMP-01235,IT,Data & Analytics,M1,7.4,2025-04-20,low engagement
EMP-01237,Finance,Accounts Payable,M1,2.7,2025-08-08,low performance rating
EMP-01239,Legal,Contracts,M1,1.2,2025-06-19,low engagement
EMP-01244,Sales,Field Sales,M1,1.4,2025-11-21,below-band pay
EMP-01250,Manufacturing,Quality,M5,3.8,2025-08-03,low performance rating
EMP-01261,Supply Chain,Planning,M1,6.7,2025-01-16,low performance rating
EMP-01266,Manufacturing,Production,M4,8.4,2025-03-28,low performance rating
EMP-01273,Marketing,Brand,M2,3.7,2025-06-23,long commute
EMP-01278,Supply Chain,Logistics,M1,4.9,2025-07-22,below-band pay
EMP-01283,Legal,Compliance,M2,2.6,2025-04-23,low engagement
EMP-01284,Legal,Contracts,M3,1.4,2025-07-23,no recent promotion
EMP-01297,Sales,Key Accounts,M1,6.6,2025-07-24,no recent promotion
EMP-01302,Manufacturing,Quality,M2,14.3,2025-10-09,low performance rating
EMP-01310,Manufacturing,Maintenance,M5,3.7,2025-02-04,low engagement
EMP-01313,R&D,Packaging Dev,M2,3.3,2025-09-02,long commute
EMP-01321,Legal,Contracts,M2,0.2,2025-01-11,low engagement
EMP-01325,Manufacturing,Production,M2,1.2,2025-04-16,low engagement
EMP-01327,Customer Service,Consumer Care,M2,3.2,2025-06-20,low engagement
EMP-01334,Legal,Compliance,M5,3.5,2025-11-26,long commute
EMP-01342,Marketing,Digital,M4,11.9,2025-10-23,below-band pay
EMP-01347,Manufacturing,Quality,M2,7.1,2025-12-26,low engagement
EMP-01351,Marketing,Digital,M4,9.9,2025-01-01,no recent promotion
EMP-01368,Manufacturing,Quality,M1,0.7,2025-05-17,low performance rating
EMP-01374,Finance,FP&A,M4,2.1,2025-10-13,low engagement
EMP-01375,Manufacturing,Maintenance,M6,2.0,2025-05-13,below-band pay
EMP-01379,Manufacturing,Quality,M3,9.7,2025-11-12,no recent promotion
EMP-01390,HR,Payroll,M1,11.8,2025-03-18,low engagement
EMP-01391,Sales,Key Accounts,M5,3.8,2025-01-19,low performance rating
EMP-01392,Supply Chain,Logistics,M4,9.6,2025-03-09,no recent promotion
EMP-01393,HR,Payroll,M1,0.8,2025-03-17,below-band pay
EMP-01394,HR,Talent Acquisition,M1,7.2,2025-08-11,low engagement
EMP-01399,Supply Chain,Logistics,M2,4.1,2025-08-05,below-band pay
EMP-01401,IT,Infrastructure,M2,1.1,2025-02-11,long commute
EMP-01404,Sales,Field Sales,M2,3.6,2025-12-17,below-band pay
EMP-01405,Manufacturing,Production,M1,0.5,2025-07-05,low engagement
EMP-01406,Customer Service,Distributor Care,M1,7.5,2025-05-04,low engagement
EMP-01407,Finance,Controllership,M5,1.2,2025-06-02,low engagement
EMP-01411,Marketing,Brand,M4,0.2,2025-03-16,low engagement
EMP-01422,R&D,Product Dev,M2,0.4,2025-05-24,no recent promotion
EMP-01434,Customer Service,Consumer Care,M1,1.0,2025-06-14,low engagement
EMP-01439,HR,HRBP,M5,11.2,2025-05-09,below-band pay
EMP-01449,Sales,Key Accounts,M3,3.9,2025-10-27,low engagement
EMP-01450,Finance,Accounts Payable,M1,1.0,2025-05-17,below-band pay
EMP-01455,HR,Payroll,M2,6.0,2025-06-14,low performance rating
EMP-01459,Legal,Compliance,M5,1.9,2025-03-11,low engagement
EMP-01470,IT,Infrastructure,M1,2.5,2025-12-16,low performance rating
EMP-01479,R&D,Product Dev,M2,6.8,2025-03-18,low engagement
EMP-01480,IT,Infrastructure,M2,7.4,2025-11-21,below-band pay
EMP-01484,IT,Applications,M1,0.9,2025-08-02,low engagement
EMP-01485,Sales,Sales Ops,M3,15.6,2025-04-05,below-band pay
EMP-01487,Supply Chain,Warehouse,M6,1.9,2025-01-08,no recent promotion
EMP-01489,Legal,Contracts,M4,10.5,2025-03-02,low performance rating
EMP-01497,IT,Applications,M4,5.2,2025-08-09,low engagement
EMP-01509,Customer Service,Distributor Care,M1,14.6,2025-03-23,below-band pay
EMP-01514,Supply Chain,Planning,M3,2.5,2025-08-14,low engagement
EMP-01520,Supply Chain,Warehouse,M1,4.3,2025-02-16,low performance rating
EMP-01523,Manufacturing,Production,M4,1.0,2025-01-15,low engagement
EMP-01530,R&D,Packaging Dev,M1,1.4,2025-06-23,low engagement
EMP-01543,Marketing,Brand,M2,2.9,2025-09-16,low performance rating
EMP-01544,Customer Service,Consumer Care,M1,3.3,2025-08-16,low performance rating
EMP-01545,Manufacturing,Quality,M2,14.5,2025-02-28,below-band pay
EMP-01561,Customer Service,Distributor Care,M6,3.6,2025-12-28,below-band pay
EMP-01564,R&D,Product Dev,M4,1.8,2025-03-04,below-band pay
EMP-01573,Manufacturing,Quality,M2,9.9,2025-06-03,no recent promotion
EMP-01574,Marketing,Brand,M4,1.3,2025-04-28,below-band pay
EMP-01575,Manufacturing,Production,M1,9.2,2025-05-06,below-band pay
EMP-01576,Customer Service,Distributor Care,M1,5.3,2025-03-24,no recent promotion
EMP-01582,Customer Service,Consumer Care,M2,3.9,2025-09-27,low engagement
EMP-01587,Marketing,Digital,M2,2.8,2025-05-19,low performance rating
EMP-01592,R&D,Product Dev,M1,1.4,2025-11-19,low performance rating
EMP-01600,HR,Talent Acquisition,M1,5.1,2025-04-19,low engagement
EMP-01606,R&D,Product Dev,M1,7.6,2025-01-17,low engagement
EMP-01614,HR,Payroll,M2,4.1,2025-10-06,below-band pay
EMP-01615,Customer Service,Distributor Care,M4,5.6,2025-07-03,low engagement
EMP-01617,Marketing,Brand,M1,4.3,2025-04-25,low performance rating
EMP-01622,Customer Service,Consumer Care,M2,2.0,2025-08-22,below-band pay
EMP-01633,Supply Chain,Logistics,M3,0.8,2025-02-11,low engagement
EMP-01634,Supply Chain,Warehouse,M3,5.8,2025-01-10,below-band pay
EMP-01660,Legal,Compliance,M1,4.2,2025-11-22,low performance rating
EMP-01661,Finance,Accounts Payable,M1,1.1,2025-02-13,low engagement
EMP-01668,R&D,Packaging Dev,M1,1.4,2025-06-19,below-band pay
EMP-01676,Supply Chain,Logistics,M5,7.6,2025-02-27,below-band pay
EMP-01677,Finance,FP&A,M3,17.3,2025-06-05,low engagement
EMP-01678,R&D,Packaging Dev,M2,2.3,2025-01-03,low engagement
EMP-01689,Manufacturing,Quality,M3,12.9,2025-08-27,long commute
EMP-01690,Supply Chain,Logistics,M2,7.5,2025-12-22,below-band pay
EMP-01692,Legal,Compliance,M5,1.3,2025-08-15,low engagement
EMP-01717,Sales,Field Sales,M2,4.4,2025-11-09,below-band pay
EMP-01721,Legal,Compliance,M1,3.3,2025-10-22,low performance rating
EMP-01743,Legal,Compliance,M1,2.8,2025-01-11,low engagement
EMP-01745,Manufacturing,Production,M3,12.6,2025-01-21,below-band pay
EMP-01749,Sales,Field Sales,M2,7.1,2025-10-15,low engagement
EMP-01751,R&D,Product Dev,M3,0.7,2025-06-24,below-band pay
EMP-01761,IT,Data & Analytics,M2,6.6,2025-12-26,low engagement
EMP-01764,Customer Service,Consumer Care,M1,1.5,2025-10-05,low engagement
EMP-01766,Manufacturing,Production,M1,17.4,2025-04-28,low engagement
EMP-01780,Marketing,Digital,M2,1.1,2025-01-26,low performance rating
EMP-01782,Marketing,Trade Marketing,M4,6.0,2025-11-10,below-band pay
EMP-01795,Supply Chain,Logistics,M4,0.2,2025-06-26,long commute
EMP-01802,Sales,Field Sales,M3,8.8,2025-01-24,no recent promotion
EMP-01804,Sales,Field Sales,M3,7.4,2025-02-18,low engagement
EMP-01809,Customer Service,Distributor Care,M2,7.7,2025-10-13,no recent promotion
EMP-01811,HR,HRBP,M1,9.2,2025-02-13,low engagement
EMP-01816,Sales,Field Sales,M2,0.5,2025-05-06,low engagement
EMP-01817,Marketing,Digital,M3,10.5,2025-04-25,no recent promotion
EMP-01822,IT,Data & Analytics,M2,3.1,2025-07-03,no recent promotion
EMP-01838,Customer Service,Consumer Care,M2,3.9,2025-01-28,low engagement
EMP-01840,Marketing,Brand,M3,2.6,2025-04-06,below-band pay
EMP-01849,Supply Chain,Logistics,M2,0.2,2025-07-25,below-band pay
EMP-01852,Legal,Compliance,M4,2.9,2025-07-10,low engagement
EMP-01855,R&D,Packaging Dev,M4,9.8,2025-11-25,no recent promotion
EMP-01858,Sales,Key Accounts,M1,0.6,2025-11-05,low engagement
EMP-01859,Manufacturing,Quality,M1,0.6,2025-02-10,low performance rating
EMP-01860,IT,Infrastructure,M1,5.4,2025-08-26,low engagement
EMP-01866,R&D,Product Dev,M4,1.3,2025-07-24,low engagement
EMP-01869,Supply Chain,Warehouse,M2,0.5,2025-05-22,below-band pay
EMP-01880,Marketing,Digital,M2,3.3,2025-10-05,below-band pay
EMP-01883,Manufacturing,Quality,M2,3.0,2025-06-22,long commute
EMP-01900,HR,Payroll,M1,3.8,2025-02-27,below-band pay
EMP-01902,Legal,Contracts,M1,5.4,2025-06-17,low engagement
EMP-01903,Finance,Accounts Payable,M4,2.9,2025-04-16,low performance rating
EMP-01917,Manufacturing,Quality,M3,7.3,2025-08-13,below-band pay
EMP-01922,Supply Chain,Warehouse,M2,1.6,2025-08-09,below-band pay
EMP-01923,Supply Chain,Warehouse,M2,2.1,2025-10-20,low performance rating
EMP-01931,Legal,Contracts,M3,0.9,2025-07-03,low engagement
EMP-01940,R&D,Product Dev,M1,2.4,2025-07-26,low performance rating
EMP-01943,HR,Talent Acquisition,M2,3.4,2025-06-20,below-band pay
EMP-01948,IT,Applications,M5,1.4,2025-03-14,low engagement
EMP-01957,Marketing,Trade Marketing,M2,8.0,2025-11-14,low engagement
EMP-01964,Customer Service,Distributor Care,M1,1.4,2025-02-02,low engagement
EMP-01965,Sales,Field Sales,M3,0.7,2025-09-11,below-band pay
EMP-01968,Supply Chain,Logistics,M4,6.6,2025-08-22,no recent promotion
EMP-01969,HR,Talent Acquisition,M2,1.0,2025-04-21,low engagement
EMP-01970,Supply Chain,Logistics,M2,7.7,2025-11-23,no recent promotion
EMP-01971,Supply Chain,Logistics,M2,4.9,2025-03-16,low engagement
EMP-01974,Marketing,Digital,M2,16.0,2025-09-21,low engagement
EMP-01976,HR,Talent Acquisition,M1,1.6,2025-11-17,low performance rating
EMP-01996,R&D,Product Dev,M3,4.8,2025-02-10,low performance rating
EMP-01997,Sales,Key Accounts,M1,1.3,2025-08-14,below-band pay
EMP-02003,Finance,Controllership,M5,2.5,2025-02-26,below-band pay
EMP-02007,Sales,Sales Ops,M2,14.2,2025-08-10,long commute
EMP-02025,Marketing,Trade Marketing,M2,0.6,2025-03-05,below-band pay
EMP-02033,Marketing,Brand,M2,1.0,2025-11-10,below-band pay
EMP-02035,Customer Service,Consumer Care,M1,0.2,2025-04-17,below-band pay
EMP-02036,Manufacturing,Production,M4,13.8,2025-07-10,no recent promotion
EMP-02037,Marketing,Digital,M5,0.2,2025-10-02,low performance rating
EMP-02038,Finance,FP&A,M1,3.4,2025-09-03,low engagement
EMP-02039,Legal,Contracts,M3,4.1,2025-01-17,low engagement
EMP-02048,IT,Data & Analytics,M2,1.4,2025-02-17,low engagement
EMP-02055,Marketing,Trade Marketing,M2,2.4,2025-07-14,no recent promotion
EMP-02061,Legal,Contracts,M5,6.3,2025-02-15,low engagement
EMP-02068,Legal,Compliance,M6,0.5,2025-11-24,below-band pay
EMP-02073,Sales,Field Sales,M1,1.5,2025-10-27,low engagement
EMP-02077,R&D,Product Dev,M6,0.4,2025-05-12,low engagement
EMP-02078,Legal,Compliance,M1,3.5,2025-05-19,below-band pay
EMP-02084,Supply Chain,Warehouse,M1,9.7,2025-02-25,no recent promotion
EMP-02091,Sales,Field Sales,M2,5.3,2025-09-01,below-band pay
EMP-02094,Finance,Accounts Payable,M1,7.1,2025-02-24,below-band pay
EMP-02096,Customer Service,Consumer Care,M2,20.9,2025-11-15,low performance rating
EMP-02105,R&D,Packaging Dev,M3,3.1,2025-03-26,low performance rating
EMP-02109,IT,Applications,M2,1.1,2025-03-27,no recent promotion
EMP-02127,Legal,Compliance,M2,8.0,2025-07-02,low engagement
EMP-02131,Supply Chain,Planning,M1,0.6,2025-02-14,low performance rating
EMP-02145,R&D,Packaging Dev,M2,0.8,2025-12-10,below-band pay
EMP-02150,Marketing,Trade Marketing,M1,11.0,2025-06-19,below-band pay
EMP-02155,Sales,Sales Ops,M3,8.7,2025-12-15,below-band pay
EMP-02157,Legal,Contracts,M1,1.2,2025-11-15,low engagement
