sku,brand,category,pack,mrp,unit_cost,unit_margin,launch_week,cat_true_elasticity
FMCG-BEVE-064,MangoDew,Beverages,50g,76.0,37.11,38.89,,1.33
FMCG-BEVE-065,MangoDew,Beverages,500ml,58.0,38.78,19.22,,1.33
FMCG-BEVE-066,MangoDew,Beverages,18g,35.0,22.55,12.45,,1.33
FMCG-BEVE-067,AquaFresh,Beverages,500ml,50.0,24.3,25.7,2025-04-21,1.33
FMCG-BEVE-068,MangoDew,Beverages,1L,28.0,13.52,14.48,,1.33
FMCG-BEVE-069,MangoDew,Beverages,200g,20.0,11.53,8.47,,1.33
FMCG-BEVE-070,MangoDew,Beverages,10g,56.0,28.0,28.0,,1.33
FMCG-BEVE-071,MangoDew,Beverages,18g,67.0,42.53,24.47,,1.33
FMCG-BEVE-072,MangoDew,Beverages,6-pack,20.0,13.64,6.36,,1.33
FMCG-BEVE-073,AquaFresh,Beverages,250ml,34.0,19.45,14.55,,1.33
FMCG-BEVE-074,ZingCola,Beverages,200g,86.0,44.86,41.14,,1.33
FMCG-BEVE-075,AquaFresh,Beverages,50g,12.0,7.07,4.93,,1.33
FMCG-BEVE-076,AquaFresh,Beverages,10g,18.0,8.73,9.27,,1.33
FMCG-BEVE-077,MangoDew,Beverages,200g,87.0,52.11,34.89,,1.33
FMCG-BEVE-078,MangoDew,Beverages,50g,74.0,41.95,32.05,,1.33
FMCG-BEVE-079,MangoDew,Beverages,18g,11.0,5.25,5.75,,1.33
FMCG-BEVE-080,MangoDew,Beverages,200g,74.0,37.6,36.4,,1.33
FMCG-BEVE-081,MangoDew,Beverages,6-pack,58.0,38.68,19.32,,1.33
FMCG-BEVE-082,MangoDew,Beverages,100g,43.0,23.37,19.63,,1.33
FMCG-DAIR-083,DairyBest,Dairy,250ml,98.0,65.35,32.65,,1.2
FMCG-DAIR-084,DairyBest,Dairy,6-pack,50.0,25.46,24.54,,1.2
FMCG-DAIR-085,DairyBest,Dairy,pouch,118.0,56.21,61.79,2024-12-16,1.2
FMCG-DAIR-086,PureWhite,Dairy,1L,38.0,24.93,13.07,,1.2
FMCG-DAIR-087,DairyBest,Dairy,18g,37.0,25.17,11.83,,1.2
FMCG-DAIR-088,PureWhite,Dairy,200g,54.0,26.37,27.63,,1.2
FMCG-DAIR-089,DairyBest,Dairy,10g,23.0,10.67,12.33,,1.2
FMCG-DAIR-090,DairyBest,Dairy,pouch,26.0,15.54,10.46,,1.2
FMCG-DAIR-091,DairyBest,Dairy,18g,67.0,35.48,31.52,,1.2
FMCG-DAIR-092,PureWhite,Dairy,18g,125.0,82.85,42.15,2025-01-27,1.2
FMCG-DAIR-093,DairyBest,Dairy,50g,42.0,21.39,20.61,,1.2
FMCG-DAIR-094,PureWhite,Dairy,6-pack,89.0,49.31,39.69,2024-07-08,1.2
FMCG-DAIR-095,DairyBest,Dairy,200g,83.0,39.46,43.54,,1.2
FMCG-DAIR-096,PureWhite,Dairy,100g,26.0,17.71,8.29,2024-11-11,1.2
FMCG-DAIR-097,DairyBest,Dairy,200g,121.0,81.76,39.24,,1.2
FMCG-DAIR-098,PureWhite,Dairy,250ml,116.0,74.8,41.2,,1.2
FMCG-DAIR-099,PureWhite,Dairy,6-pack,113.0,54.65,58.35,,1.2
FMCG-DAIR-100,PureWhite,Dairy,18g,82.0,54.48,27.52,,1.2
FMCG-SNAC-101,CrispKing,Snacks,100g,26.0,15.86,10.14,,1.45
FMCG-SNAC-102,CrispKing,Snacks,250ml,13.0,7.4,5.6,,1.45
FMCG-SNAC-103,CrispKing,Snacks,pouch,18.0,9.75,8.25,,1.45
FMCG-SNAC-104,CrispKing,Snacks,pouch,23.0,12.53,10.47,,1.45
FMCG-SNAC-105,CrispKing,Snacks,10g,21.0,14.43,6.57,,1.45
FMCG-SNAC-106,CrispKing,Snacks,10g,31.0,16.49,14.51,,1.45
FMCG-SNAC-107,CrispKing,Snacks,18g,52.0,31.88,20.12,,1.45
FMCG-SNAC-108,CrispKing,Snacks,250ml,34.0,20.68,13.32,,1.45
FMCG-SNAC-109,CrispKing,Snacks,6-pack,45.0,22.53,22.47,,1.45
FMCG-SNAC-110,CrispKing,Snacks,200g,52.0,25.12,26.88,,1.45
FMCG-SNAC-111,NamkeenCo,Snacks,100g,10.0,6.31,3.69,2025-01-06,1.45
FMCG-SNAC-112,CrispKing,Snacks,pouch,13.0,8.97,4.03,,1.45
FMCG-SNAC-113,NamkeenCo,Snacks,100g,38.0,24.53,13.47,,1.45
FMCG-SNAC-114,NamkeenCo,Snacks,500ml,57.0,29.26,27.74,,1.45
FMCG-SNAC-115,CrispKing,Snacks,18g,10.0,6.04,3.96,,1.45
FMCG-SNAC-116,CrispKing,Snacks,500ml,36.0,21.35,14.65,,1.45
FMCG-SNAC-117,NamkeenCo,Snacks,500ml,34.0,21.79,12.21,,1.45
FMCG-SNAC-118,NamkeenCo,Snacks,1L,32.0,19.2,12.8,,1.45
FMCG-SPIC-119,MasalaMagic,Spices,18g,67.0,32.11,34.89,2025-05-26,0.9
FMCG-SPIC-120,MasalaMagic,Spices,500ml,209.0,115.92,93.08,,0.9
FMCG-SPIC-121,SpiceKart,Spices,18g,213.0,113.62,99.38,,0.9
FMCG-SPIC-122,MasalaMagic,Spices,100g,237.0,122.68,114.32,,0.9
FMCG-SPIC-123,MasalaMagic,Spices,6-pack,118.0,57.75,60.25,,0.9
FMCG-SPIC-124,SpiceKart,Spices,50g,283.0,158.33,124.67,,0.9
FMCG-SPIC-125,SpiceKart,Spices,50g,228.0,134.12,93.88,,0.9
FMCG-SPIC-126,SpiceKart,Spices,1L,242.0,137.9,104.1,,0.9
FMCG-SPIC-127,MasalaMagic,Spices,18g,296.0,186.31,109.69,,0.9
FMCG-SPIC-128,SpiceKart,Spices,6-pack,66.0,43.73,22.27,,0.9
FMCG-SPIC-129,MasalaMagic,Spices,10g,67.0,40.0,27.0,,0.9
FMCG-SPIC-130,MasalaMagic,Spices,18g,38.0,21.42,16.58,,0.9
FMCG-SPIC-131,MasalaMagic,Spices,50g,113.0,63.8,49.2,,0.9
FMCG-SPIC-132,SpiceKart,Spices,1L,115.0,78.16,36.84,,0.9
FMCG-SPIC-133,SpiceKart,Spices,100g,64.0,44.75,19.25,,0.9
FMCG-SPIC-134,SpiceKart,Spices,10g,110.0,72.51,37.49,,0.9
FMCG-SPIC-135,MasalaMagic,Spices,500ml,300.0,184.93,115.07,,0.9
FMCG-SPIC-136,MasalaMagic,Spices,500ml,59.0,39.78,19.22,2024-09-30,0.9
FMCG-SPIC-137,SpiceKart,Spices,1L,73.0,47.03,25.97,,0.9
FMCG-SPIC-138,SpiceKart,Spices,500ml,276.0,169.48,106.52,2024-09-30,0.9
