week_start,week_idx,month,quarter,festival,is_festive
2024-11-25,60,2024-11,2024-Q4,,0
2024-12-02,61,2024-12,2024-Q4,,0
2024-12-09,62,2024-12,2024-Q4,,0
2024-12-16,63,2024-12,2024-Q4,,0
2024-12-23,64,2024-12,2024-Q4,Christmas/NewYear,1
2024-12-30,65,2024-12,2024-Q4,Christmas/NewYear,1
2025-01-06,66,2025-01,2025-Q1,,0
2025-01-13,67,2025-01,2025-Q1,,0
2025-01-20,68,2025-01,2025-Q1,,0
2025-01-27,69,2025-01,2025-Q1,,0
2025-02-03,70,2025-02,2025-Q1,,0
2025-02-10,71,2025-02,2025-Q1,,0
2025-02-17,72,2025-02,2025-Q1,,0
2025-02-24,73,2025-02,2025-Q1,,0
2025-03-03,74,2025-03,2025-Q1,Holi,1
2025-03-10,75,2025-03,2025-Q1,Holi,1
2025-03-17,76,2025-03,2025-Q1,Holi,1
2025-03-24,77,2025-03,2025-Q1,,0
2025-03-31,78,2025-03,2025-Q1,,0
2025-04-07,79,2025-04,2025-Q2,,0
2025-04-14,80,2025-04,2025-Q2,,0
2025-04-21,81,2025-04,2025-Q2,,0
2025-04-28,82,2025-04,2025-Q2,,0
2025-05-05,83,2025-05,2025-Q2,,0
2025-05-12,84,2025-05,2025-Q2,,0
2025-05-19,85,2025-05,2025-Q2,,0
2025-05-26,86,2025-05,2025-Q2,,0
2025-06-02,87,2025-06,2025-Q2,,0
2025-06-09,88,2025-06,2025-Q2,,0
2025-06-16,89,2025-06,2025-Q2,,0
2025-06-23,90,2025-06,2025-Q2,,0
2025-06-30,91,2025-06,2025-Q2,,0
2025-07-07,92,2025-07,2025-Q3,,0
2025-07-14,93,2025-07,2025-Q3,,0
2025-07-21,94,2025-07,2025-Q3,,0
2025-07-28,95,2025-07,2025-Q3,,0
2025-08-04,96,2025-08,2025-Q3,RakshaBandhan,1
2025-08-11,97,2025-08,2025-Q3,RakshaBandhan,1
2025-08-18,98,2025-08,2025-Q3,RakshaBandhan,1
2025-08-25,99,2025-08,2025-Q3,RakshaBandhan,1
2025-09-01,100,2025-09,2025-Q3,,0
2025-09-08,101,2025-09,2025-Q3,,0
2025-09-15,102,2025-09,2025-Q3,,0
2025-09-22,103,2025-09,2025-Q3,,0
2025-09-29,104,2025-09,2025-Q3,,0
2025-10-06,105,2025-10,2025-Q4,Diwali,1
2025-10-13,106,2025-10,2025-Q4,Diwali,1
2025-10-20,107,2025-10,2025-Q4,Diwali,1
2025-10-27,108,2025-10,2025-Q4,Diwali,1
2025-11-03,109,2025-11,2025-Q4,Diwali,1
2025-11-10,110,2025-11,2025-Q4,Diwali,1
2025-11-17,111,2025-11,2025-Q4,,0
2025-11-24,112,2025-11,2025-Q4,,0
2025-12-01,113,2025-12,2025-Q4,,0
2025-12-08,114,2025-12,2025-Q4,,0
2025-12-15,115,2025-12,2025-Q4,,0
2025-12-22,116,2025-12,2025-Q4,Christmas/NewYear,1
2025-12-29,117,2025-12,2025-Q4,Christmas/NewYear,1
2026-01-05,118,2026-01,2026-Q1,,0
2026-01-12,119,2026-01,2026-Q1,,0
